scenario,month,openingAssetJpy,depositJpy,closingAssetJpy,tradingPnlJpy,timeWeightedReturnPct,V12,PENGU,Q102,FET,V52,OTHER,logicPnlSumJpy,reconciliationResidualJpy
NORMAL,2025-08,10000.0,0.0,17191.48297494,7191.48297494,71.91482975,949.9539406899997,-245.09553943999998,175.23561991999998,73.60469913,6237.784254560001,0.0,7191.4829748600005,7.999915396794677e-08
NORMAL,2025-09,17191.48297494,10000.0,49100.93890545,21909.45593051,80.57470036,4834.975071080001,5136.4494673399995,-3153.7358563400003,1217.60933819,13874.157910249998,0.0,21909.45593052,-9.997165761888027e-09
NORMAL,2025-10,49100.93890545,10000.0,193878.29191006,134777.35300461,228.04604377,7585.043059999995,57155.51750259,34839.94367996999,488.36648729,34708.48227467,0.0,134777.35300452,8.998904377222061e-08
NORMAL,2025-11,193878.29191006,10000.0,1800019.1109106,1596140.81900054,782.88904819,328469.08639466,21413.236421089994,1303971.98256019,-113012.63305147,55299.14667612001,0.0,1596140.81900059,-4.98257577419281e-08
NORMAL,2025-12,1800019.1109106,10000.0,2495492.0748714,685472.9639608,37.87103461,287780.38352601,355203.88612618,5848.922632859962,0.0,36639.7716757,0.0,685472.9639607499,5.005858838558197e-08
NORMAL,2026-01,2495492.0748714,10000.0,14149921.09390965,11644429.01903825,464.75617049,4468061.00128806,2875151.9971869104,4143978.6058860198,157237.41467724997,0.0,0.0,11644429.01903824,1.1175870895385742e-08
NORMAL,2026-02,14149921.09390965,10000.0,34906676.38264612,20746755.28873647,146.51744986,8012109.677335239,2752554.34316744,4365229.125376019,5616862.1428578,0.0,0.0,20746755.2887365,-2.9802322387695312e-08
NORMAL,2026-03,34906676.38264612,10000.0,142335704.84629995,107419028.46365383,307.64390999,17636157.57386193,16629167.21076289,22680103.1080072,34171217.12059341,16302383.4504284,0.0,107419028.46365383,0.0
NORMAL,2026-04,142335704.84629995,10000.0,256802864.5832604,114457159.73696044,80.40787733,5649015.47705904,46929798.67241007,38549505.48080208,0.0,23328840.106689446,0.0,114457159.73696063,-1.9371509552001953e-07
NORMAL,2026-05,256802864.5832604,10000.0,437140227.21317405,180327362.62991366,70.21741801,16119354.41685104,38993959.69165284,23550670.852873724,114813621.26311842,-13150243.59458252,0.0,180327362.6299135,1.4901161193847656e-07
NORMAL,2026-06,437140227.21317405,10000.0,1297521304.2017653,860371076.9885912,196.81359483,298929895.2963052,26474924.53732992,369987715.1855999,31514990.99980211,133463550.9695541,0.0,860371076.9885912,0.0
