ts,iso_time,equity,cash,position_symbol,position_side,position_qty,position_entry_price
1739620800000,2025-02-15T12:00:00.000Z,10000,10000,CASH,cash,0,0
1739664000000,2025-02-16T00:00:00.000Z,10000,10000,CASH,cash,0,0
1739707200000,2025-02-16T12:00:00.000Z,10000,10000,CASH,cash,0,0
1739750400000,2025-02-17T00:00:00.000Z,10000,10000,CASH,cash,0,0
1739793600000,2025-02-17T12:00:00.000Z,10000,10000,CASH,cash,0,0
1739836800000,2025-02-18T00:00:00.000Z,10000,10000,CASH,cash,0,0
1739880000000,2025-02-18T12:00:00.000Z,10000,10000,CASH,cash,0,0
1739923200000,2025-02-19T00:00:00.000Z,10000,10000,CASH,cash,0,0
1739966400000,2025-02-19T12:00:00.000Z,10000,10000,CASH,cash,0,0
1740009600000,2025-02-20T00:00:00.000Z,10000,10000,CASH,cash,0,0
1740052800000,2025-02-20T12:00:00.000Z,10000,10000,CASH,cash,0,0
1740096000000,2025-02-21T00:00:00.000Z,9847.119745200001,-28.555679999999484,SOL,range,56.81,176
1740139200000,2025-02-21T12:00:00.000Z,10065.182089700002,-28.555679999999484,SOL,range,56.81,176
1740182400000,2025-02-22T00:00:00.000Z,9647.182063100001,-28.555679999999484,SOL,range,56.81,176
1740225600000,2025-02-22T12:00:00.000Z,9821.065543,-28.555679999999484,SOL,range,56.81,176
1740268800000,2025-02-23T00:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
1740312000000,2025-02-23T12:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
1740355200000,2025-02-24T00:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
1740398400000,2025-02-24T12:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
1740441600000,2025-02-25T00:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
1740484800000,2025-02-25T12:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
1740528000000,2025-02-26T00:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
1740571200000,2025-02-26T12:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
1740614400000,2025-02-27T00:00:00.000Z,9717.4151299,9717.4151299,CASH,cash,0,0
