trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,range,range-atr_snapback,SOL,2025-02-21T00:00:00.000Z,2025-02-23T00:00:00.000Z,176,172.07,56.81,-223.26330000000053,59.3215701,-282.58487010000056,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0002,range,range-reclaim,ETH,2025-04-11T12:00:00.000Z,2025-04-13T00:00:00.000Z,1558.8,1644.19,6.2330000000000005,532.2358700000004,59.89271001000001,472.3431599900004,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0003,trend,trend,PENGU,2025-04-22T12:00:00.000Z,2025-04-23T00:00:00.000Z,0.005265,0.007044,1935376.693,3443.035136847,71.467655142411,3371.567481704589,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,strict-extra-trailing
retq22-0004,trend,trend,ETH,2025-04-28T00:00:00.000Z,2025-04-29T00:00:00.000Z,1791.29,1799.88,7.57,65.02630000000136,81.5554707,-16.529170699998645,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0005,trend,trend,PENGU,2025-04-29T00:00:00.000Z,2025-05-09T00:00:00.000Z,0.01208,0.014129,1121257.996,2297.4576338039988,88.161152451492,2209.296481352507,20,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0006,trend,trend,ETH,2025-05-09T00:00:00.000Z,2025-05-25T12:00:00.000Z,2207.39,2497.91,7.136,2073.1507199999996,100.73106239999998,1972.4196575999997,33,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0007,trend,trend,SOL,2025-05-25T12:00:00.000Z,2025-05-30T00:00:00.000Z,171.99,166.71,103.06,-544.1568000000007,104.719266,-648.8760660000007,9,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,ETH,2025-06-05T12:00:00.000Z,2025-06-06T00:00:00.000Z,2608.01,2414.02,6.548,-1270.2465200000024,98.65275732,-1368.8992773200025,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0009,trend,trend,ETH,2025-06-11T00:00:00.000Z,2025-06-13T12:00:00.000Z,2816.41,2545.41,5.577,-1511.3670000000002,89.70861041999999,-1601.0756104200002,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,ETH,2025-06-16T12:00:00.000Z,2025-06-17T00:00:00.000Z,2617.01,2544.17,5.39,-392.6076000000012,83.4562806,-476.0638806000012,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0011,range,range-atr_snapback,AVAX,2025-06-27T12:00:00.000Z,2025-06-29T12:00:00.000Z,17.48,18.07,779.83,460.09970000000067,83.16886950000001,376.93083050000064,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-momentum
retq22-0012,trend,trend,ETH,2025-07-03T00:00:00.000Z,2025-07-04T00:00:00.000Z,2570.41,2591.26,5.449,113.61165000000256,84.37781949000001,29.233830510002548,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0013,trend,trend,PENGU,2025-07-04T00:00:00.000Z,2025-07-08T12:00:00.000Z,0.016818,0.015104,834686.797,-1430.653170058,79.93461580150199,-1510.5877858595018,9,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0014,trend,trend,ETH,2025-07-08T12:00:00.000Z,2025-07-09T12:00:00.000Z,2575.16,2626.43,4.864,249.3772800000006,75.90160128,173.47567872000062,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0015,trend,trend,PENGU,2025-07-09T12:00:00.000Z,2025-07-12T12:00:00.000Z,0.014723,0.022621,862640.118,6813.131651963999,96.643297699776,6716.488354264223,6,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,strict-extra-trailing
retq22-0016,trend,trend,SOL,2025-07-14T00:00:00.000Z,2025-07-15T00:00:00.000Z,161.15,162.21,120.49000000000001,127.71940000000177,116.88493920000002,10.83446080000175,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0017,trend,trend,PENGU,2025-07-15T00:00:00.000Z,2025-07-19T12:00:00.000Z,0.0299,0.031203,649764.992,846.643784576001,119.10777091852799,727.5360136574731,9,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0018,trend,trend,ETH,2025-07-19T12:00:00.000Z,2025-07-25T00:00:00.000Z,3552.75,3706.95,5.673,874.776600000001,123.5528343,751.2237657000011,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0019,trend,trend,SOL,2025-07-25T00:00:00.000Z,2025-07-26T12:00:00.000Z,182.88,187.75,114.31,556.689699999999,127.1001459,429.58955409999896,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0020,trend,trend,DOGE,2025-07-26T12:00:00.000Z,2025-07-30T12:00:00.000Z,0.23666,0.21608,90156.015,-1855.4107887000027,122.4517026933,-1977.8624913933027,8,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,sma-break
retq22-0021,trend,trend,ETH,2025-07-30T12:00:00.000Z,2025-08-02T00:00:00.000Z,3758.18,3488.21,5.151,-1390.615469999997,111.97846467,-1502.593934669997,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0022,range,range-atr_snapback,SOL,2025-08-05T00:00:00.000Z,2025-08-07T00:00:00.000Z,169.55,168.1,105.31,-152.69950000000244,106.67376450000002,-259.37326450000245,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0023,trend,trend,ETH,2025-08-10T12:00:00.000Z,2025-08-18T12:00:00.000Z,4180.58,4274.36,4.2090000000000005,394.720019999997,106.76052738000001,287.95949261999704,16,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0024,trend,trend,SOL,2025-09-12T12:00:00.000Z,2025-09-18T00:00:00.000Z,239.18,244.84,74.77,423.1981999999989,108.5705262,314.6276737999989,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0025,trend,trend,AVAX,2025-09-18T00:00:00.000Z,2025-09-22T12:00:00.000Z,31.82,31.11,571.9300000000001,-406.0702999999994,107.9746647,-514.0449646999994,9,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,risk-off
retq22-0026,trend,trend,ETH,2025-10-04T12:00:00.000Z,2025-10-11T00:00:00.000Z,4483.84,3829.72,3.944,-2579.849280000002,98.36604191999999,-2678.215321920002,13,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0027,trend,trend,ETH,2026-01-06T00:00:00.000Z,2026-01-07T12:00:00.000Z,3224.99,3220.25,4.6530000000000005,-22.05521999999837,89.96910516,-112.02432515999837,3,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0028,trend,trend,DOGE,2026-01-07T12:00:00.000Z,2026-01-11T12:00:00.000Z,0.1489,0.13972,100032.205,-918.2956419000002,86.6138850213,-1004.9095269213002,8,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0029,trend,trend,SOL,2026-01-11T12:00:00.000Z,2026-01-13T00:00:00.000Z,136.58,139.21,101.69,267.4447,84.13525530000001,183.3094447,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0030,trend,trend,PENGU,2026-01-13T00:00:00.000Z,2026-01-19T00:00:00.000Z,0.011794,0.010704,1193250.414,-1300.6429512600007,80.537243442516,-1381.1801947025167,12,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,sma-break
retq22-0031,trend,trend,ETH,2026-03-18T12:00:00.000Z,2026-03-22T12:00:00.000Z,2269.33,2069.97,5.5920000000000005,-1114.8211200000005,72.79609680000002,-1187.6172168000005,8,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
