time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T12:00:00.000Z,SOL,exit,trend,trend,1,22.77,420.34000000000003,sma40-break,retq22-0001
2023-03-07T12:00:00.000Z,SOL,enter,range,range-primary,0.5,20.31,234.18,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0002
2023-03-15T12:00:00.000Z,SOL,exit,range,range-primary,0.5,20.59,234.18,range-time,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.266,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.266,trend-switch,retq22-0003
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,444.90000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0004
2023-04-21T00:00:00.000Z,SOL,exit,trend,trend,1,22.19,444.90000000000003,sma40-break,retq22-0004
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.139,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,5.139,risk-off,retq22-0005
2023-06-09T00:00:00.000Z,SOL,enter,range,range-primary,0.5,18.88,257.5,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0006
2023-06-17T00:00:00.000Z,SOL,exit,range,range-primary,0.5,15.32,257.5,range-time,retq22-0006
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.5760000000000005,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,4.5760000000000005,trend-switch,retq22-0007
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,466.73,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,466.73,trend-switch,retq22-0008
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,6.598,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,6.598,sma40-break,retq22-0009
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,506.61,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0010
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,506.61,sma40-break,retq22-0010
2023-08-03T00:00:00.000Z,SOL,enter,range,range-primary,0.5,23.14,256.98,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0011
2023-08-09T12:00:00.000Z,SOL,exit,range,range-primary,0.5,24.85,256.98,mean-revert,retq22-0011
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,515.97,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0012
2023-10-08T00:00:00.000Z,SOL,exit,trend,trend,1,23.29,515.97,trend-switch,retq22-0012
2023-10-08T00:00:00.000Z,ETH,enter,trend,strict6,1,1633.56,7.311,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0013
2023-10-08T12:00:00.000Z,ETH,exit,trend,trend,1,1617.85,7.311,sma40-break,retq22-0013
