trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T12:00:00.000Z,23.79,22.77,420.34000000000003,-428.746799999999,58.71309120000001,-487.459891199999,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0002,range,range-primary,SOL,2023-03-07T12:00:00.000Z,2023-03-15T12:00:00.000Z,20.31,20.59,234.18,65.57040000000052,28.733886,36.83651400000052,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0003,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.266,1510.4467799999984,61.819943699999996,1448.6268362999983,55,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0004,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,24.72,22.19,444.90000000000003,-1125.596999999998,62.610777000000006,-1188.207776999998,12,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0005,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.139,-27.647820000000138,58.76806230000001,-86.41588230000015,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0006,range,range-primary,SOL,2023-06-09T00:00:00.000Z,2023-06-17T00:00:00.000Z,18.88,15.32,257.5,-916.6999999999994,26.4195,-943.1194999999993,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0007,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,4.5760000000000005,70.60768000000098,52.88258976,17.72509024000098,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0008,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,466.73,3869.1916999999994,64.39473810000001,3804.7969618999996,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,6.598,-105.17211999999745,75.30112656,-180.47324655999745,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0010,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,24.52,23.62,506.61,-455.9489999999987,73.16461620000001,-529.1136161999987,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0011,range,range-primary,SOL,2023-08-03T00:00:00.000Z,2023-08-09T12:00:00.000Z,23.14,24.85,256.98,439.4358000000002,36.9974106,402.4383894000002,13,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,mean-revert
retq22-0012,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-08T00:00:00.000Z,23.83,23.29,515.97,-278.6237999999994,72.9375192,-351.5613191999994,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0013,trend,trend,ETH,2023-10-08T00:00:00.000Z,2023-10-08T12:00:00.000Z,1633.56,1617.85,7.311,-114.85581000000093,71.31317553,-186.16898553000092,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0014,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,23.41,41.52,502.25,9095.747500000001,97.83327750000001,8997.914222500001,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0015,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,11.295,3205.9727999999996,134.1446157,3071.8281842999995,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0016,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,525.99,9299.503200000003,170.8625916,9128.640608400003,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0017,trend,trend,AVAX,2023-11-15T12:00:00.000Z,2023-11-26T12:00:00.000Z,19.64,21.05,1678.01,2365.9941000000035,204.8346807,2161.1594193000037,22,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0018,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-11-30T00:00:00.000Z,2084.65,2028.8,16.845,-940.7932500000024,207.87319575,-1148.6664457500024,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0019,trend,trend,SOL,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,59.74,64.18,568.61,2524.6284000000014,211.38645360000004,2313.2419464000013,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0020,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,1368.1000000000001,29441.512000000002,306.016608,29135.495392,33,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0021,trend,trend,ETH,2023-12-24T00:00:00.000Z,2023-12-26T12:00:00.000Z,2308.2,2242.6,28.341,-1859.169600000001,386.9226684,-2246.092268400001,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0022,trend,trend,SOL,2023-12-29T12:00:00.000Z,2024-01-06T12:00:00.000Z,107.56,94.45,587.3100000000001,-7699.634100000003,355.9274793000001,-8055.561579300003,16,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0023,trend,trend,ETH,2024-01-09T12:00:00.000Z,2024-01-13T00:00:00.000Z,2298.77,2522.55,23.976,5365.3492800000095,346.78790496,5018.56137504001,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0024,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,109.71,110.32,548.12,334.35319999999774,361.80853079999997,-27.45533080000223,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0025,trend,trend,ETH,2024-02-17T00:00:00.000Z,2024-03-04T12:00:00.000Z,2801.81,3506.92,21.452,15126.019720000004,406.00462788000004,14720.015092120004,33,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0026,trend,trend,SOL,2024-03-04T12:00:00.000Z,2024-04-02T12:00:00.000Z,132.59,179.87,564.34,26681.995200000005,529.0010292000001,26152.994170800004,58,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0027,range,range-primary,ETH,2024-05-15T00:00:00.000Z,2024-05-18T00:00:00.000Z,2881.93,3092,17.519000000000002,3680.216330000003,313.97183901000005,3366.2444909900028,6,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,mean-revert
retq22-0028,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-05-31T12:00:00.000Z,177.72,168.74,587.13,-5272.4274000000005,610.2511794,-5882.678579400001,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0029,trend,trend,ETH,2024-05-31T12:00:00.000Z,2024-06-08T00:00:00.000Z,3802.62,3678.31,25.893,-3218.758830000006,581.1111614700001,-3799.8699914700064,15,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0030,range,range-primary,SOL,2024-06-17T00:00:00.000Z,2024-06-25T00:00:00.000Z,151.3,132.34,312.83,-5931.256800000003,266.19330360000004,-6197.450103600003,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0031,trend,trend,SOL,2024-07-20T00:00:00.000Z,2024-08-02T00:00:00.000Z,169.12,167.37,523.09,-915.4075000000012,528.0436623,-1443.4511623000012,26,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0032,trend,trend,SOL,2024-08-27T12:00:00.000Z,2024-08-28T00:00:00.000Z,154.26,146.78,564.13,-4219.6924,509.4770856,-4729.1694855999995,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,risk-off
retq22-0033,trend,trend,ETH,2024-09-24T00:00:00.000Z,2024-09-29T12:00:00.000Z,2646.98,2652.49,31.089000000000002,171.30038999998942,494.26566849000005,-322.96527849001063,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0034,trend,trend,SOL,2024-09-29T12:00:00.000Z,2024-10-03T00:00:00.000Z,156.76,140.18,522.9,-8669.681999999986,465.809778,-9135.491777999987,7,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0035,trend,trend,SOL,2024-10-16T00:00:00.000Z,2024-11-03T12:00:00.000Z,154.76,163.62,470.63,4169.781799999997,449.5175382,3720.2642617999973,37,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0036,trend,trend,SOL,2024-11-07T00:00:00.000Z,2024-11-12T12:00:00.000Z,186.59,211.12,410.28000000000003,10064.168399999995,489.51737640000005,9574.651023599996,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0037,trend,trend,AVAX,2024-11-12T12:00:00.000Z,2024-11-18T00:00:00.000Z,34.43,34.72,2501.59,725.4611000000004,518.9548455,206.5062545000004,11,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0038,trend,trend,SOL,2024-11-18T00:00:00.000Z,2024-11-23T12:00:00.000Z,237.47,256.13,363.56,6784.029599999994,538.3596480000001,6245.669951999995,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0039,trend,trend,AVAX,2024-11-23T12:00:00.000Z,2024-11-29T00:00:00.000Z,42.31,42.78,2188.18,1028.4446000000025,558.5767086000001,469.86789140000246,11,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
