time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-04-04T00:00:00.000Z,ETH,enter,trend,strict6,1,1810.51,5.523,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0001
2023-04-20T12:00:00.000Z,ETH,exit,trend,trend,1,1939.97,5.523,daily-switch,baseline-0001
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.581,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0002
2023-06-02T00:00:00.000Z,ETH,exit,trend,trend,1,1861.78,5.581,risk-off,baseline-0002
2023-07-06T12:00:00.000Z,SOL,enter,trend,strict6,1,19.89,519.26,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0003
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,519.26,daily-switch,baseline-0003
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,7.339,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0004
2023-07-23T00:00:00.000Z,ETH,exit,trend,trend,1,1866.52,7.339,daily-switch,baseline-0004
2023-10-08T00:00:00.000Z,SOL,enter,trend,strict6,1,23.29,584.65,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0005
2023-10-10T00:00:00.000Z,SOL,exit,trend,trend,1,22.09,584.65,risk-off,baseline-0005
2023-10-24T12:00:00.000Z,ETH,enter,trend,strict6,1,1845.69,6.954,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0006
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,6.954,daily-switch,baseline-0006
2023-11-15T12:00:00.000Z,AVAX,enter,trend,strict6,1,19.64,746.92,daily-lead|close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0007
2023-11-21T00:00:00.000Z,AVAX,exit,trend,trend,1,20.86,746.92,daily-switch,baseline-0007
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,7.43,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0008
2023-12-02T00:00:00.000Z,ETH,exit,trend,trend,1,2087.24,7.43,daily-risk-off,baseline-0008
2023-12-07T12:00:00.000Z,SOL,enter,trend,strict6,1,64.18,240.20000000000002,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0009
2023-12-13T00:00:00.000Z,SOL,exit,trend,trend,1,68.6,240.20000000000002,daily-switch,baseline-0009
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,149.32,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0010
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,149.32,daily-switch,baseline-0010
2024-02-22T12:00:00.000Z,ETH,enter,trend,strict6,1,2990.8,5.4750000000000005,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0011
2024-03-15T12:00:00.000Z,ETH,exit,trend,trend,1,3689.33,5.4750000000000005,daily-switch,baseline-0011
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,113.04,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0012
2024-05-26T00:00:00.000Z,SOL,exit,trend,trend,1,168.35,113.04,daily-switch,baseline-0012
2024-06-06T00:00:00.000Z,ETH,enter,trend,strict6,1,3866,4.892,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0013
2024-06-11T12:00:00.000Z,ETH,exit,trend,trend,1,3529.56,4.892,daily-risk-off,baseline-0013
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,101.45,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0014
2024-07-31T00:00:00.000Z,SOL,exit,trend,trend,1,179.16,101.45,daily-risk-off,baseline-0014
2024-10-16T00:00:00.000Z,SOL,enter,trend,strict6,1,154.76,116.76,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0015
2024-10-27T00:00:00.000Z,SOL,exit,trend,trend,1,170.87,116.76,daily-risk-off,baseline-0015
2024-11-23T12:00:00.000Z,AVAX,enter,trend,strict6,1,42.31,468.87,daily-lead|close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0016
2024-11-29T00:00:00.000Z,AVAX,exit,trend,trend,1,42.78,468.87,daily-switch,baseline-0016
2024-12-04T12:00:00.000Z,AVAX,enter,trend,strict6,1,53.93,369.71,daily-lead|close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0017
2024-12-15T12:00:00.000Z,AVAX,exit,trend,trend,1,49.49,369.71,daily-switch,baseline-0017
2025-01-17T12:00:00.000Z,SOL,enter,trend,strict6,1,218.77,83.11,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0018
2025-02-02T00:00:00.000Z,SOL,exit,trend,trend,1,213.03,83.11,sma40-break,baseline-0018
2025-05-02T00:00:00.000Z,ETH,enter,trend,strict6,1,1838.1,9.573,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0019
2025-05-18T12:00:00.000Z,ETH,exit,trend,trend,1,2501.74,9.573,daily-switch,baseline-0019
2025-07-07T00:00:00.000Z,ETH,enter,trend,strict6,1,2570.35,9.269,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0020
2025-07-29T00:00:00.000Z,ETH,exit,trend,trend,1,3799,9.269,daily-switch,baseline-0020
2025-08-09T00:00:00.000Z,ETH,enter,trend,strict6,1,4009.51,8.738,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0021
2025-08-26T00:00:00.000Z,ETH,exit,trend,trend,1,4376.17,8.738,risk-off,baseline-0021
2025-09-11T00:00:00.000Z,AVAX,enter,trend,strict6,1,29.47,1290.17,daily-lead|close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0022
2025-09-16T12:00:00.000Z,AVAX,exit,trend,trend,1,30.45,1290.17,daily-switch,baseline-0022
2025-09-16T12:00:00.000Z,SOL,enter,trend,strict6,1,235.36,165.93,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,baseline-0023
2025-09-22T00:00:00.000Z,SOL,exit,trend,trend,1,236.16,165.93,daily-risk-off,baseline-0023
