trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
baseline-0001,trend,trend,ETH,2023-04-04T00:00:00.000Z,2023-04-20T12:00:00.000Z,1810.51,1939.97,5.523,715.0075799999995,62.141703119999995,652.8658768799995,33,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,daily-switch
baseline-0002,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-06-02T00:00:00.000Z,1908.64,1861.78,5.581,-261.52566000000115,63.12814206,-324.65380206000117,8,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,risk-off
baseline-0003,trend,trend,SOL,2023-07-06T12:00:00.000Z,2023-07-17T12:00:00.000Z,19.89,27.14,519.26,3764.6349999999984,73.26239340000001,3691.3726065999986,22,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,daily-switch
baseline-0004,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-23T00:00:00.000Z,1910.09,1866.52,7.339,-319.76022999999805,83.14962237,-402.909852369998,11,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,daily-switch
baseline-0005,trend,trend,SOL,2023-10-08T00:00:00.000Z,2023-10-10T00:00:00.000Z,23.29,22.09,584.65,-701.5799999999999,79.594251,-781.1742509999999,4,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,risk-off
baseline-0006,trend,trend,ETH,2023-10-24T12:00:00.000Z,2023-11-10T00:00:00.000Z,1845.69,2121.33,6.954,1916.8005599999979,82.75997124,1834.040588759998,33,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,daily-switch
baseline-0007,trend,trend,AVAX,2023-11-15T12:00:00.000Z,2023-11-21T00:00:00.000Z,19.64,20.86,746.92,911.2423999999992,90.75077999999999,820.4916199999992,11,daily-lead|close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,daily-switch
baseline-0008,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-12-02T00:00:00.000Z,2084.65,2087.24,7.43,19.24369999999726,92.99142810000001,-73.74772810000275,11,daily-lead|close>sma40|mom20-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,daily-risk-off
baseline-0009,trend,trend,SOL,2023-12-07T12:00:00.000Z,2023-12-13T00:00:00.000Z,64.18,68.6,240.20000000000002,1061.6839999999993,95.68126800000002,966.0027319999992,11,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,daily-switch
baseline-0010,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,109.71,110.32,149.32,91.08519999999953,98.56463879999998,-7.479438800000452,11,daily-lead|close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off|assist-close>sma40|assist-mom20-ok|assist-accel-ok,daily-switch
