time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-03-18T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.07792,128336.755,trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-03-19T00:00:00.000Z,DOGE,exit,trend,trend,1,0.07296,128336.755,sma-break,retq22-0001
2023-03-24T00:00:00.000Z,DOGE,enter,trend,strict6,1,0.07736,120286.444,trend-close>sma40|mom20-ok|retq22-off,retq22-0002
2023-04-21T00:00:00.000Z,DOGE,exit,trend,trend,1,0.0839,120286.444,sma-break,retq22-0002
2023-05-29T00:00:00.000Z,DOGE,enter,trend,strict6,1,0.07353,136459.139,trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-05-29T12:00:00.000Z,DOGE,exit,trend,trend,1,0.07327,136459.139,risk-off,retq22-0003
2023-06-25T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.06773,146733.567,trend-close>sma40|mom20-ok|retq22-off,retq22-0004
2023-06-29T00:00:00.000Z,DOGE,exit,trend,trend,1,0.06257,146733.567,sma-break,retq22-0004
2023-07-01T00:00:00.000Z,DOGE,enter,trend,strict6,1,0.06646,137281.991,trend-close>sma40|mom20-ok|retq22-off,retq22-0005
2023-07-07T00:00:00.000Z,DOGE,exit,trend,trend,1,0.06484,137281.991,sma-break,retq22-0005
2023-07-17T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.06937,127537.681,trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-07-24T12:00:00.000Z,DOGE,exit,trend,trend,1,0.07614,127537.681,off22-strong,retq22-0006
2023-10-02T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.06361,151785.018,trend-close>sma40|mom20-ok|retq22-off,retq22-0007
2023-10-04T00:00:00.000Z,DOGE,exit,trend,trend,1,0.06138,151785.018,sma-break,retq22-0007
2023-10-24T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.0679,136371.864,trend-close>sma40|mom20-ok|retq22-off,retq22-0008
2023-11-22T00:00:00.000Z,DOGE,exit,trend,trend,1,0.07175,136371.864,sma-break,retq22-0008
