trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,DOGE,2023-03-18T12:00:00.000Z,2023-03-19T00:00:00.000Z,0.07792,0.07296,128336.755,-636.550304800001,58.0903487832,-694.6406535832009,1,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0002,trend,trend,DOGE,2023-03-24T00:00:00.000Z,2023-04-21T00:00:00.000Z,0.07736,0.0839,120286.444,786.6733437599996,58.19217587832,728.4811678816797,56,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0003,trend,trend,DOGE,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,0.07353,0.07327,136459.139,-35.47937613999966,60.0966048156,-95.57598095559966,1,trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0004,trend,trend,DOGE,2023-06-25T12:00:00.000Z,2023-06-29T00:00:00.000Z,0.06773,0.06257,146733.567,-757.1452057200004,57.358151340300005,-814.5033570603003,7,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0005,trend,trend,DOGE,2023-07-01T00:00:00.000Z,2023-07-07T00:00:00.000Z,0.06646,0.06484,137281.991,-222.39682542000082,54.07537625490001,-276.4722016749008,12,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0006,trend,trend,DOGE,2023-07-17T12:00:00.000Z,2023-07-24T12:00:00.000Z,0.06937,0.07614,127537.681,863.4301003700002,55.67402388693,807.7560764830703,14,trend-close>sma40|mom20-ok|retq22-off,off22-strong
retq22-0007,trend,trend,DOGE,2023-10-02T12:00:00.000Z,2023-10-04T00:00:00.000Z,0.06361,0.06138,151785.018,-338.48059013999955,56.914828199460004,-395.3954183394595,3,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0008,trend,trend,DOGE,2023-10-24T12:00:00.000Z,2023-11-22T00:00:00.000Z,0.0679,0.07175,136371.864,525.0316763999981,57.1329924228,467.8986839771981,57,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0009,trend,trend,DOGE,2023-12-02T00:00:00.000Z,2023-12-18T12:00:00.000Z,0.08384,0.08836,116025.14600000001,524.4336599199996,59.938590423600004,464.49506949639965,33,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0010,trend,trend,DOGE,2024-02-11T12:00:00.000Z,2024-02-12T12:00:00.000Z,0.08255,0.07981,123465.092,-338.29435207999995,60.13737701136,-398.43172909135995,2,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0011,trend,trend,DOGE,2024-02-17T00:00:00.000Z,2024-03-17T00:00:00.000Z,0.08591,0.14253,113998.50600000001,6454.595409719999,78.12545613192,6376.469953588079,58,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0012,trend,trend,DOGE,2024-03-26T12:00:00.000Z,2024-04-05T12:00:00.000Z,0.18375,0.16908,88000.444,-1290.966513479998,93.14758996956002,-1384.114103449558,20,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0013,trend,trend,DOGE,2024-05-26T00:00:00.000Z,2024-06-03T00:00:00.000Z,0.17402,0.1571,84967.058,-1437.6426213600025,84.40287673488001,-1522.0454980948825,16,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0014,trend,trend,DOGE,2024-07-20T00:00:00.000Z,2024-08-01T00:00:00.000Z,0.12543,0.12192,105747.604,-371.17409004000183,78.47000954820001,-449.6440995882018,24,trend-close>sma40|mom20-ok|retq22-off,sma-break
