period,start_equity,end_equity,return_pct
2023-02,10000,9550.257217000002,-4.497427829999978
2023-03,9550.257217000002,9095.704530330004,-4.759585803206101
2023-04,9095.704530330004,9607.943869630008,5.631662039943364
2023-05,9607.943869630008,9523.310451530006,-0.8808691979094729
2023-06,9523.310451530006,8902.944276130009,-6.5141862019244545
2023-07,8721.67492053001,12810.103430270014,46.87664407344769
2023-08,12810.103430270014,12803.394422850017,-0.05237278103581433
2023-09,12803.394422850017,13011.73687245002,1.627243859864036
2023-10,13011.73687245002,19764.50477865003,51.89751354792429
2023-11,19492.843913550023,31318.07276189004,60.66446179318128
2023-12,31318.07276189004,54488.20575068006,73.98326571673664
2024-01,54488.20575068006,55809.38094088008,2.424699385854767
2024-02,55809.38094088008,66900.65582620009,19.87349563520371
2024-03,67069.9701248901,82013.9747317101,22.28121554101332
2024-04,80474.5524949101,77497.14217811011,-3.699815934966899
2024-05,77497.14217811011,69885.35227519015,-9.822026579284614
2024-06,69885.35227519015,66908.05106151015,-4.260265015129583
2024-07,66908.05106151015,66449.91174531014,-0.6847297282338127
2024-08,66449.91174531014,66449.91174531014,0
2024-09,66449.91174531014,64701.69347897016,-2.6308812463748055
2024-10,65825.66551667017,65858.71317207017,0.05020481774185015
2024-11,65858.71317207017,82017.20572343019,24.53508696585438
2024-12,82269.64058011021,73867.89305024022,-10.212451969677405
2025-01,73867.89305024022,75583.79745572024,2.322936711235246
2025-02,75583.79745572024,75160.63387232026,-0.5598601785625767
2025-03,75160.63387232026,75160.63387232026,0
2025-04,75160.63387232026,124785.21582194968,66.02469855952728
2025-05,124785.21582194968,109906.89121077048,-11.923146915423377
2025-06,109906.89121077048,116251.95826907051,5.773129408357103
2025-07,116251.95826907051,130774.71319480357,12.492481969309676
2025-08,130774.71319480357,139817.0893338036,6.914468338791457
2025-09,139817.0893338036,132969.8826697036,-4.897260196679365
2025-10,132969.8826697036,121782.43196940361,-8.413522277138163
2025-11,121782.43196940361,121782.43196940361,0
2025-12,121782.43196940361,121782.43196940361,0
2026-01,121782.43196940361,109341.69506358367,-10.215543165491658
2026-02,109341.69506358367,109341.69506358367,0
2026-03,109341.69506358367,98215.16606800369,-10.175925102596729
2026-04,98215.16606800369,105629.1302049833,7.548695821423568
