trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-24T18:00:00.000Z,23.79,22.86,420.34000000000003,-390.91619999999966,58.82658300000001,-449.7427829999997,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-03-24T18:00:00.000Z,1813.16,1737.51,5.267,-398.44854999999916,56.10413667,-454.55268666999916,25,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0003,trend,trend,ETH,2023-04-04T00:00:00.000Z,2023-04-15T00:00:00.000Z,1810.51,2099.99,5.023,1454.05804,58.92732449999999,1395.1307155,44,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0004,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-19T12:00:00.000Z,24.72,23.21,424.38,-640.8137999999999,61.0216002,-701.8354001999999,18,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0005,trend,trend,SOL,2023-04-20T12:00:00.000Z,2023-04-20T18:00:00.000Z,22.34,22.06,438.18,-122.6903999999995,58.365576000000004,-181.0559759999995,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0006,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.033,-27.077540000002045,57.5558781,-84.63341810000205,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0007,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-06-29T00:00:00.000Z,1918.37,1828.03,4.964,-448.4477599999991,55.79138880000001,-504.2391487999991,14,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,478.46000000000004,3966.4334,66.01312620000002,3900.4202738,66,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-17T18:00:00.000Z,1910.09,1896.03,6.763,-95.08777999999984,77.22236868,-172.31014867999983,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-23T06:00:00.000Z,24.52,24.83,519.86,161.15659999999843,76.965273,84.19132699999844,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0011,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-29T06:00:00.000Z,1866.63,1874.76,6.8740000000000006,55.88561999999911,77.15494458,-21.269324580000898,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0012,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-03T18:00:00.000Z,1839.9,1846.66,6.962,47.06312000000071,76.99749216000001,-29.9343721599993,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0013,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-08T18:00:00.000Z,1839.08,1853.5,6.949,100.20457999999962,76.97921526,23.22536473999962,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0014,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,8.032,286.01952000000165,77.6770704,208.34244960000166,2,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0015,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-09T12:00:00.000Z,23.83,22.18,546.02,-900.9329999999991,75.3671406,-976.300140599999,28,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0016,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,23.41,41.52,514.11,9310.532100000004,100.14348690000001,9210.388613100004,66,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0017,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,11.562,3281.7580799999996,137.31563051999998,3144.4424494799996,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0018,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,538.41,9519.088799999998,174.8971044,9344.191695599999,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0019,trend,trend,ETH,2023-11-15T12:00:00.000Z,2023-11-17T00:00:00.000Z,2013.16,1961.77,16.756,-861.0908399999971,199.81178124000002,-1060.9026212399972,6,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0020,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-11-27T18:00:00.000Z,2084.65,2010.45,15.673,-1162.936600000001,192.5475069,-1355.4841069000008,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0021,trend,trend,ETH,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,2087.24,2236.04,15.004,2232.5952000000034,194.59947935999998,2037.9957206400034,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0022,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,1257.77,27067.210399999996,281.3379936,26785.872406399998,66,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0023,trend,trend,ETH,2023-12-24T00:00:00.000Z,2023-12-26T06:00:00.000Z,2308.2,2234.69,26.055,-1915.303049999995,355.09499685000003,-2270.398046849995,9,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0024,trend,trend,SOL,2023-12-29T12:00:00.000Z,2023-12-31T00:00:00.000Z,107.56,101.9,538.03,-3045.249799999998,338.0872914,-3383.337091399998,6,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0025,range,range-atr_snapback,AVAX,2024-01-04T00:00:00.000Z,2024-01-05T00:00:00.000Z,36.79,38.72,1481.06,2858.4458000000013,335.5045218,2522.9412782000013,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0026,trend,trend,ETH,2024-01-09T12:00:00.000Z,2024-01-09T18:00:00.000Z,2298.77,2264,24.8,-862.2959999999948,339.47008800000003,-1201.7660879999949,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0027,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,109.71,110.32,508.69,310.3008999999947,335.7811821,-25.480282100005297,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0028,trend,trend,ETH,2024-02-17T00:00:00.000Z,2024-03-10T00:00:00.000Z,2801.81,3905.2,19.909,21967.39151,400.58958627000004,21566.80192373,88,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0029,trend,trend,SOL,2024-03-10T00:00:00.000Z,2024-03-20T06:00:00.000Z,144.3,166.05,536.04,11658.869999999995,499.080042,11159.789957999996,41,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0030,trend,trend,SOL,2024-03-26T12:00:00.000Z,2024-03-27T18:00:00.000Z,194.8,183.14,454.36,-5297.8376000000135,515.1624552,-5813.000055200014,5,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0031,trend,trend,SOL,2024-04-01T00:00:00.000Z,2024-04-02T06:00:00.000Z,202.45,184.5,408.48,-7332.216,474.184008,-7806.4000080000005,5,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0032,range,range-atr_snapback,AVAX,2024-04-06T12:00:00.000Z,2024-04-07T06:00:00.000Z,46.92,48.84,1596.14,3064.5888000000123,458.5390992,2606.049700800012,3,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-momentum
retq22-0033,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-05-24T12:00:00.000Z,177.72,166.34,436.06,-4962.362799999988,450.09241080000004,-5412.455210799988,16,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0034,trend,trend,SOL,2024-05-26T00:00:00.000Z,2024-05-26T06:00:00.000Z,168.35,166.71,428.18,-702.2151999999915,430.39797240000007,-1132.6131723999915,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0035,trend,trend,ETH,2024-05-31T12:00:00.000Z,2024-05-31T18:00:00.000Z,3802.62,3768.16,18.658,-642.9546799999953,423.76683972,-1066.7215197199953,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0036,trend,trend,ETH,2024-06-06T00:00:00.000Z,2024-06-07T18:00:00.000Z,3866,3724.06,18.076,-2565.7074399999983,411.59377368,-2977.3012136799985,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0037,trend,trend,SOL,2024-07-20T00:00:00.000Z,2024-07-30T18:00:00.000Z,169.12,177.38,395.62,3267.821199999991,411.24699,2856.574209999991,43,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0038,trend,trend,SOL,2024-07-31T00:00:00.000Z,2024-08-01T00:00:00.000Z,179.16,171.7,389.39,-2904.8494000000064,409.8641262,-3314.7135262000065,4,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0039,trend,trend,ETH,2024-09-24T00:00:00.000Z,2024-09-29T12:00:00.000Z,2646.98,2652.49,25.104,138.32304000000295,399.11368464,-260.790644639997,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0040,trend,trend,SOL,2024-09-29T12:00:00.000Z,2024-10-01T18:00:00.000Z,156.76,147.68,422.23,-3833.8483999999953,385.6311036,-4219.479503599995,9,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0041,range,range-atr_snapback,AVAX,2024-10-05T00:00:00.000Z,2024-10-06T00:00:00.000Z,26.27,25.67,2358.9500000000003,-1415.3699999999953,367.571589,-1782.9415889999955,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0042,trend,trend,SOL,2024-10-16T00:00:00.000Z,2024-10-31T18:00:00.000Z,154.76,170.32,388.90000000000003,6051.284,379.27083600000003,5672.013164,63,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0043,trend,trend,SOL,2024-11-07T00:00:00.000Z,2024-11-12T12:00:00.000Z,186.59,211.12,352.95,8657.863500000007,421.11523350000004,8236.748266500006,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0044,trend,trend,AVAX,2024-11-12T12:00:00.000Z,2024-11-18T00:00:00.000Z,34.43,34.72,2152.06,624.0973999999987,446.444847,177.65255299999876,22,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0045,trend,trend,SOL,2024-11-18T00:00:00.000Z,2024-11-23T12:00:00.000Z,237.47,256.13,312.76,5836.101600000009,463.13500799999997,5372.966592000009,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0046,trend,trend,AVAX,2024-11-23T12:00:00.000Z,2024-11-29T00:00:00.000Z,42.31,42.78,1882.44,884.7467999999935,480.5304588000001,404.21634119999345,22,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0047,trend,trend,ETH,2024-11-29T00:00:00.000Z,2024-12-04T12:00:00.000Z,3578.8,3729.09,22.367,3361.536429999993,490.3667268900001,2871.169703109993,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0048,trend,trend,AVAX,2024-12-04T12:00:00.000Z,2024-12-09T18:00:00.000Z,53.93,48.76,1537.57,-7949.2369000000035,473.6791899,-8422.916089900003,21,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,sma-break
retq22-0049,trend,trend,ETH,2024-12-10T00:00:00.000Z,2024-12-10T06:00:00.000Z,3712,3702.82,20.069,-184.23342000000412,446.42406773999994,-630.6574877400041,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0050,trend,trend,ETH,2025-01-06T12:00:00.000Z,2025-01-07T18:00:00.000Z,3654.51,3442.56,20.212,-4283.933400000009,430.33793651999997,-4714.271336520009,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0051,trend,trend,SOL,2025-01-17T12:00:00.000Z,2025-01-27T00:00:00.000Z,218.77,240.49,316.1,6865.6919999999955,435.5162580000001,6430.175741999996,38,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0052,range,range-atr_snapback,SOL,2025-02-19T12:00:00.000Z,2025-02-20T12:00:00.000Z,173.92,173.99,434.58,30.4206000000122,453.5841834,-423.1635833999878,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0053,range,range-atr_snapback,SOL,2025-04-10T00:00:00.000Z,2025-04-11T00:00:00.000Z,119.05,112.8,631.33,-3945.8125,439.12158150000005,-4384.9340815,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0054,trend,trend,SOL,2025-04-15T12:00:00.000Z,2025-04-16T00:00:00.000Z,132.14,126.1,535.61,-3235.0843999999925,414.9477792,-3650.0321791999922,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,risk-off
retq22-0055,trend,trend,SOL,2025-04-21T00:00:00.000Z,2025-04-23T00:00:00.000Z,137.86,148.78,486.91,5317.057199999996,418.7036472000001,4898.353552799996,8,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0056,trend,trend,PENGU,2025-04-23T00:00:00.000Z,2025-04-28T12:00:00.000Z,0.007044,0.012262,10224875.236,53353.398981448,592.204323918648,52761.194657529355,22,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,strict-extra-trailing
retq22-0057,trend,trend,ETH,2025-05-02T00:00:00.000Z,2025-05-02T12:00:00.000Z,1838.1,1833.39,67.888,-319.75247999999556,747.7503393600001,-1067.5028193599956,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0058,trend,trend,PENGU,2025-05-02T12:00:00.000Z,2025-05-03T12:00:00.000Z,0.010389,0.011188,11908529.502,9514.915072097996,770.8510231939621,8744.064048904034,4,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,strict-extra-trailing
