time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-03-18T12:00:00.000Z,SOL,enter,trend,strict6,1,22.48,444.83,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0001
2023-03-26T00:00:00.000Z,SOL,exit,trend,trend,1,20.4,444.83,sma-break,retq22-0001
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,4.724,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0002
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,4.724,risk-off,retq22-0002
2023-07-06T12:00:00.000Z,SOL,enter,trend,strict6,1,19.89,449.37,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0003
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,449.37,off22-strong,retq22-0003
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,5.654,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0004
2023-07-30T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1880.45,5.654,range-time,retq22-0004
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,5.744,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0005
2023-08-04T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1834.6,5.744,range-time,retq22-0005
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,5.696,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0006
2023-08-10T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1855.36,5.696,range-time,retq22-0006
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,6.59,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0007
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,6.59,mean-revert,retq22-0007
2023-10-24T12:00:00.000Z,ETH,enter,trend,strict6,1,1845.69,5.784,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0008
2023-11-22T00:00:00.000Z,ETH,exit,trend,trend,1,1933.01,5.784,sma-break,retq22-0008
2023-12-07T12:00:00.000Z,SOL,enter,trend,strict6,1,64.18,173.20000000000002,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0009
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,173.20000000000002,sma-break,retq22-0009
2024-01-09T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,36.44,446.67,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0010
2024-01-11T12:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,39.72,446.67,range-time,retq22-0010
2024-04-06T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,46.92,375.95,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0011
2024-04-08T12:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,50.43,375.95,range-time,retq22-0011
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,106.06,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0012
2024-06-03T00:00:00.000Z,SOL,exit,trend,trend,1,163.14,106.06,sma-break,retq22-0012
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,101.67,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0013
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,101.67,sma-break,retq22-0013
2024-10-05T00:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,26.27,632.24,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0014
2024-10-07T00:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,26.93,632.24,mean-revert,retq22-0014
2024-11-07T00:00:00.000Z,ETH,enter,trend,strict6,1,2721.88,6.218,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0015
2024-12-04T12:00:00.000Z,ETH,exit,trend,trend,1,3729.09,6.218,trend-switch,retq22-0015
