trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-03-18T12:00:00.000Z,2023-03-26T00:00:00.000Z,22.48,20.4,444.83,-925.2464,57.22293119999999,-982.4693311999999,15,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,4.724,-25.41511999999966,54.022246800000005,-79.43736679999967,1,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,risk-off
retq22-0003,trend,trend,SOL,2023-07-06T12:00:00.000Z,2023-07-24T12:00:00.000Z,19.89,23.62,449.37,1676.1501000000007,58.65626610000001,1617.4938339000007,36,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,off22-strong
retq22-0004,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-30T00:00:00.000Z,1866.63,1880.45,5.654,78.13827999999921,63.557970960000006,14.580309039999207,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0005,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-04T12:00:00.000Z,1839.9,1834.6,5.744,-30.443199999999706,63.318984,-93.7621839999997,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0006,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-10T00:00:00.000Z,1839.08,1855.36,5.696,92.73088000000098,63.13059072,29.60028928000098,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0007,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,6.59,234.66990000000078,63.7315605,170.93833950000078,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0008,trend,trend,ETH,2023-10-24T12:00:00.000Z,2023-11-22T00:00:00.000Z,1845.69,1933.01,5.784,505.0588799999987,65.5680024,439.49087759999867,57,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,SOL,2023-12-07T12:00:00.000Z,2024-01-06T12:00:00.000Z,64.18,94.45,173.20000000000002,5242.763999999999,82.42414800000002,5160.339851999999,60,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0010,range,range-atr_snapback,AVAX,2024-01-09T12:00:00.000Z,2024-01-11T12:00:00.000Z,36.44,39.72,446.67,1465.0776000000005,102.0551616,1363.0224384000005,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0011,range,range-atr_snapback,AVAX,2024-04-06T12:00:00.000Z,2024-04-08T12:00:00.000Z,46.92,50.43,375.95,1319.5844999999972,109.7961975,1209.7883024999971,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0012,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-06-03T00:00:00.000Z,177.72,163.14,106.06,-1546.354800000001,108.45483479999999,-1654.809634800001,27,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0013,trend,trend,SOL,2024-07-20T00:00:00.000Z,2024-08-02T12:00:00.000Z,169.12,164.36,101.67,-483.9491999999991,101.7147348,-585.6639347999991,27,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0014,range,range-atr_snapback,AVAX,2024-10-05T00:00:00.000Z,2024-10-07T00:00:00.000Z,26.27,26.93,632.24,417.27839999999924,100.90550400000001,316.37289599999923,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,mean-revert
retq22-0015,trend,trend,ETH,2024-11-07T00:00:00.000Z,2024-12-04T12:00:00.000Z,2721.88,3729.09,6.218,6262.83178,120.33639438000003,6142.49538562,55,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0016,trend,trend,AVAX,2024-12-04T12:00:00.000Z,2024-12-11T00:00:00.000Z,53.93,44.6,427.73,-3990.7209000000003,126.43271070000002,-4117.1536107,13,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0017,range,range-atr_snapback,SOL,2025-02-19T12:00:00.000Z,2025-02-21T12:00:00.000Z,173.92,177.2,108.96000000000001,357.38880000000063,114.7741056,242.61469440000064,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0018,range,range-atr_snapback,SOL,2025-04-10T00:00:00.000Z,2025-04-12T00:00:00.000Z,119.05,121.41,161.22,380.4792000000016,116.30088359999999,264.17831640000156,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0019,range,range-atr_snapback,AVAX,2025-06-09T12:00:00.000Z,2025-06-10T00:00:00.000Z,20.82,21.94,934.5600000000001,1046.7072000000007,119.88535680000003,926.8218432000007,1,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,mean-revert
retq22-0020,range,range-atr_snapback,SOL,2025-06-15T00:00:00.000Z,2025-06-16T00:00:00.000Z,144.65,152.97,140.92000000000002,1172.4544000000024,125.82183120000002,1046.6325688000024,2,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-momentum
retq22-0021,trend,trend,AVAX,2025-07-18T00:00:00.000Z,2025-08-01T00:00:00.000Z,23.91,22.47,896.32,-1290.7008000000023,124.7139648,-1415.4147648000023,28,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0022,range,range-atr_snapback,SOL,2025-08-03T12:00:00.000Z,2025-08-05T12:00:00.000Z,161.47,170.89,123.95,1167.6090000000004,123.588066,1044.0209340000004,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0023,trend,trend,ETH,2025-08-09T00:00:00.000Z,2025-08-18T12:00:00.000Z,4009.51,4274.36,5.252,1390.992199999997,130.52065572,1260.471544279997,19,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,risk-off
retq22-0024,trend,trend,SOL,2025-10-03T00:00:00.000Z,2025-10-08T00:00:00.000Z,234.74,219.98,95.08,-1403.3808000000026,129.7043328,-1533.0851328000026,10,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0025,trend,trend,PENGU,2026-01-04T12:00:00.000Z,2026-01-19T00:00:00.000Z,0.012572,0.010704,1653441.494,-3088.6287107919998,115.456512643032,-3204.085223435032,29,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off|idle-extra,sma-break
