time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-03-18T12:00:00.000Z,SOL,enter,trend,strict6,1,22.48,444.83,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0001
2023-03-24T18:00:00.000Z,SOL,exit,trend,trend,1,20.42,444.83,sma-break,retq22-0001
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,4.729,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0002
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,4.729,risk-off,retq22-0002
2023-07-06T12:00:00.000Z,SOL,enter,trend,strict6,1,19.89,449.81,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0003
2023-07-21T12:00:00.000Z,SOL,exit,trend,trend,1,25.28,449.81,sma-break,retq22-0003
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,6.059,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0004
2023-07-29T06:00:00.000Z,ETH,exit,range,range-reclaim,1,1874.76,6.059,range-time,retq22-0004
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,6.1370000000000005,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0005
2023-08-03T18:00:00.000Z,ETH,exit,range,range-reclaim,1,1846.66,6.1370000000000005,range-time,retq22-0005
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,6.125,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0006
2023-08-08T18:00:00.000Z,ETH,exit,range,range-reclaim,1,1853.5,6.125,mean-revert,retq22-0006
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,7.08,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0007
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,7.08,mean-revert,retq22-0007
2023-10-24T12:00:00.000Z,ETH,enter,trend,strict6,1,1845.69,6.214,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0008
2023-11-03T12:00:00.000Z,ETH,exit,trend,trend,1,1789.65,6.214,sma-break,retq22-0008
2023-11-10T00:00:00.000Z,ETH,enter,trend,strict6,1,2121.33,5.21,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0009
2023-11-17T00:00:00.000Z,ETH,exit,trend,trend,1,1961.77,5.21,sma-break,retq22-0009
2023-12-07T12:00:00.000Z,SOL,enter,trend,strict6,1,64.18,158.27,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0010
2023-12-12T18:00:00.000Z,SOL,exit,trend,trend,1,65.93,158.27,sma-break,retq22-0010
2024-01-04T00:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,36.79,281.96,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0011
2024-01-05T00:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,38.72,281.96,range-time,retq22-0011
2024-01-09T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,36.44,297.85,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0012
2024-01-10T12:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,34.95,297.85,range-time,retq22-0012
2024-04-06T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,46.92,220.5,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0013
2024-04-07T06:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,48.84,220.5,range-momentum,retq22-0013
