trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-03-18T12:00:00.000Z,2023-03-24T18:00:00.000Z,22.48,20.42,444.83,-916.3497999999981,57.249621000000005,-973.5994209999982,25,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,4.729,-25.44202000000041,54.079425300000004,-79.52144530000041,2,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,risk-off
retq22-0003,trend,trend,SOL,2023-07-06T12:00:00.000Z,2023-07-21T12:00:00.000Z,19.89,25.28,449.81,2424.4758999999995,60.9537531,2363.5221468999994,60,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0004,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-29T06:00:00.000Z,1866.63,1874.76,6.059,49.25966999999946,68.00724603,-18.747576030000545,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0005,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-03T18:00:00.000Z,1839.9,1846.66,6.1370000000000005,41.48611999999957,67.87325616000001,-26.387136160000438,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0006,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-08T18:00:00.000Z,1839.08,1853.5,6.125,88.32250000000022,67.8511575,20.47134250000022,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0007,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,7.08,252.118800000002,68.470326,183.648474000002,2,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0008,trend,trend,ETH,2023-10-24T12:00:00.000Z,2023-11-03T12:00:00.000Z,1845.69,1789.65,6.214,-348.2325600000004,67.77000828000001,-416.0025682800004,40,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,ETH,2023-11-10T00:00:00.000Z,2023-11-17T00:00:00.000Z,2121.33,1961.77,5.21,-831.3075999999983,63.818853000000004,-895.1264529999983,28,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,SOL,2023-12-07T12:00:00.000Z,2023-12-12T18:00:00.000Z,64.18,65.93,158.27,276.97249999999985,61.77752910000001,215.19497089999984,21,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,sma-break
