time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,LINK,enter,trend,expanded-universe,1,7.986,1252.1000000000001,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-02-27T12:00:00.000Z,LINK,exit,trend,expanded-universe,1,7.289,1252.1000000000001,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,BNB,enter,trend,expanded-universe,1,343.4,26.412,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0002
2023-03-24T00:00:00.000Z,BNB,exit,trend,expanded-universe,1,329.4,26.412,trend-switch,retq22-0002
2023-03-24T00:00:00.000Z,LINK,enter,trend,expanded-universe,1,7.608,1136.5,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-03-28T00:00:00.000Z,LINK,exit,trend,expanded-universe,1,6.871,1136.5,sma-break,retq22-0003
2023-03-29T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1811.23,4.284,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0004
2023-04-15T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2099.99,4.284,trend-switch,retq22-0004
2023-04-15T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,24.72,361.91,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0005
2023-04-21T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,22.02,361.91,sma-break,retq22-0005
2023-04-26T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,338.4,23.400000000000002,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-04-28T12:00:00.000Z,BNB,exit,trend,expanded-universe,1,322.2,23.400000000000002,sma-break,retq22-0006
2023-05-29T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1908.64,3.9250000000000003,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0007
2023-05-29T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1903.26,3.9250000000000003,risk-off,retq22-0007
2023-06-25T12:00:00.000Z,LINK,enter,trend,expanded-universe,1,6.315,1176.1000000000001,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0008
2023-07-06T12:00:00.000Z,LINK,exit,trend,expanded-universe,1,6.345,1176.1000000000001,trend-switch,retq22-0008
2023-07-06T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,19.89,372.94,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0009
2023-07-23T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,24.52,372.94,trend-switch,retq22-0009
2023-07-23T00:00:00.000Z,LINK,enter,trend,expanded-universe,1,7.88,1154.1000000000001,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0010
2023-07-24T12:00:00.000Z,LINK,exit,trend,expanded-universe,1,7.601,1154.1000000000001,off22-strong,retq22-0010
2023-10-02T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.83,365.89,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0011
2023-10-13T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,21.29,365.89,sma-break,retq22-0011
2023-10-19T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.41,330.64,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0012
2023-10-24T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,31.83,330.64,trend-switch,retq22-0012
2023-10-24T12:00:00.000Z,LINK,enter,trend,expanded-universe,1,10.531,994.1,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0013
2023-11-15T12:00:00.000Z,LINK,exit,trend,expanded-universe,1,15.132,994.1,trend-switch,retq22-0013
2023-11-15T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,19.64,762.0600000000001,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0014
2023-11-21T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,20.86,762.0600000000001,trend-switch,retq22-0014
2023-11-21T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,253.1,62.442,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0015
2023-11-22T00:00:00.000Z,BNB,exit,trend,expanded-universe,1,225.5,62.442,sma-break,retq22-0015
2023-11-26T12:00:00.000Z,LINK,enter,trend,expanded-universe,1,15.198,920.5,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0016
2023-11-27T12:00:00.000Z,LINK,exit,trend,expanded-universe,1,14.251,920.5,sma-break,retq22-0016
2023-12-02T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,59.74,218.24,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0017
2023-12-07T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,64.18,218.24,trend-switch,retq22-0017
2023-12-07T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,26.52,525.1,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0018
2023-12-24T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,48.04,525.1,trend-switch,retq22-0018
2023-12-24T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,271,92.651,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0019
2023-12-29T12:00:00.000Z,BNB,exit,trend,expanded-universe,1,317.9,92.651,trend-switch,retq22-0019
2023-12-29T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,107.56,272.31,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0020
2024-01-04T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,98.52,272.31,trend-switch,retq22-0020
2024-01-04T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,315.9,84.394,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0021
2024-01-09T12:00:00.000Z,BNB,exit,trend,expanded-universe,1,304.5,84.394,trend-switch,retq22-0021
2024-01-09T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2298.77,11.11,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0022
2024-01-13T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2522.55,11.11,risk-off,retq22-0022
2024-02-11T12:00:00.000Z,LINK,enter,trend,expanded-universe,1,20.548,1356.1000000000001,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0023
2024-02-17T00:00:00.000Z,LINK,exit,trend,expanded-universe,1,19.555,1356.1000000000001,trend-switch,retq22-0023
2024-02-17T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,2801.81,9.407,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0024
2024-02-22T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,2990.8,9.407,trend-switch,retq22-0024
2024-02-22T12:00:00.000Z,BNB,enter,trend,expanded-universe,1,382.9,73.05,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0025
2024-02-28T00:00:00.000Z,BNB,exit,trend,expanded-universe,1,394.6,73.05,trend-switch,retq22-0025
2024-02-28T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,3242.35,8.837,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0026
2024-03-04T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,3506.92,8.837,trend-switch,retq22-0026
2024-03-04T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,132.59,232.4,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0027
2024-03-15T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,170,232.4,trend-switch,retq22-0027
2024-03-15T12:00:00.000Z,BNB,enter,trend,expanded-universe,1,583.2,67.382,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0028
2024-03-21T00:00:00.000Z,BNB,exit,trend,expanded-universe,1,556.7,67.382,trend-switch,retq22-0028
2024-03-21T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,191.76,194.41,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0029
2024-04-02T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,179.87,194.41,sma-break,retq22-0029
2024-04-06T12:00:00.000Z,BNB,enter,trend,expanded-universe,1,581.3,59.785000000000004,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0030
2024-04-13T00:00:00.000Z,BNB,exit,trend,expanded-universe,1,595.6,59.785000000000004,risk-off,retq22-0030
2024-05-20T12:00:00.000Z,LINK,enter,trend,expanded-universe,1,16.709,2118.4,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0031
2024-06-06T00:00:00.000Z,LINK,exit,trend,expanded-universe,1,17.743,2118.4,trend-switch,retq22-0031
2024-06-06T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,698.8,53.475,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0032
2024-06-11T00:00:00.000Z,BNB,exit,trend,expanded-universe,1,625.1,53.475,sma-break,retq22-0032
2024-07-20T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,169.12,196.39000000000001,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0033
2024-08-02T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,164.36,196.39000000000001,sma-break,retq22-0033
2024-08-27T12:00:00.000Z,LINK,enter,trend,expanded-universe,1,11.63,2758.7000000000003,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0034
2024-08-28T00:00:00.000Z,LINK,exit,trend,expanded-universe,1,11.15,2758.7000000000003,risk-off,retq22-0034
2024-09-18T12:00:00.000Z,BNB,enter,trend,expanded-universe,1,540,56.613,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0035
2024-09-29T12:00:00.000Z,BNB,exit,trend,expanded-universe,1,597.4,56.613,trend-switch,retq22-0035
2024-09-29T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,156.76,214.51,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0036
2024-10-03T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,140.18,214.51,sma-break,retq22-0036
2024-10-16T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,154.76,193.07,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0037
2024-11-03T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,163.62,193.07,sma-break,retq22-0037
2024-11-07T00:00:00.000Z,LINK,enter,trend,expanded-universe,1,12.17,2580.6000000000004,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0038
2024-11-12T12:00:00.000Z,LINK,exit,trend,expanded-universe,1,14.19,2580.6000000000004,trend-switch,retq22-0038
2024-11-12T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,34.43,1057.64,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0039
2024-11-18T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,34.72,1057.64,trend-switch,retq22-0039
2024-11-18T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,237.47,153.71,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0040
2024-11-23T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,256.13,153.71,trend-switch,retq22-0040
2024-11-23T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,42.31,925.13,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0041
2024-11-29T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,42.78,925.13,trend-switch,retq22-0041
2024-11-29T00:00:00.000Z,LINK,enter,trend,expanded-universe,1,17.94,2192.9,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0042
2024-12-20T00:00:00.000Z,LINK,exit,trend,expanded-universe,1,22.81,2192.9,sma-break,retq22-0042
2025-01-06T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,216.26,230.05,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0043
2025-01-08T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,202.17,230.05,risk-off,retq22-0043
2025-01-17T12:00:00.000Z,LINK,enter,trend,expanded-universe,1,24.15,1913.9,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0044
2025-01-23T00:00:00.000Z,LINK,exit,trend,expanded-universe,1,25.29,1913.9,trend-switch,retq22-0044
2025-01-23T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,257.37,186.96,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0045
2025-01-27T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,225.84,186.96,risk-off,retq22-0045
2025-04-15T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,132.14,317.5,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0046
2025-04-16T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,126.1,317.5,risk-off,retq22-0046
2025-04-21T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,137.86,288.63,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0047
2025-04-26T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,148.51,288.63,trend-switch,retq22-0047
2025-04-26T12:00:00.000Z,LINK,enter,trend,expanded-universe,1,14.78,2883.4,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0048
2025-05-02T00:00:00.000Z,LINK,exit,trend,expanded-universe,1,14.74,2883.4,trend-switch,retq22-0048
2025-05-02T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1838.1,22.983,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0049
2025-05-31T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2531.35,22.983,sma-break,retq22-0049
2025-06-04T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,2593.35,22.317,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0050
2025-06-06T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2414.02,22.317,risk-off,retq22-0050
2025-07-07T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,151.86,352.56,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0051
2025-07-12T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,161.62,352.56,trend-switch,retq22-0051
2025-07-12T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2963.39,19.116,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0052
2025-07-29T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,3799,19.116,trend-switch,retq22-0052
2025-07-29T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,824.07,87.657,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0053
2025-08-03T00:00:00.000Z,BNB,exit,trend,expanded-universe,1,736.43,87.657,risk-off,retq22-0053
2025-08-09T00:00:00.000Z,LINK,enter,trend,expanded-universe,1,19.89,3224.8,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0054
2025-08-18T12:00:00.000Z,LINK,exit,trend,expanded-universe,1,24.54,3224.8,risk-off,retq22-0054
2025-09-16T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,30.45,2584.84,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0055
2025-09-22T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,33.05,2584.84,trend-switch,retq22-0055
2025-09-22T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,1047.8,81.061,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0056
2025-09-22T12:00:00.000Z,BNB,exit,trend,expanded-universe,1,1018.36,81.061,risk-off,retq22-0056
2025-10-03T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,1090.22,75.258,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0057
2025-10-11T00:00:00.000Z,BNB,exit,trend,expanded-universe,1,1102.57,75.258,risk-off,retq22-0057
2025-10-14T00:00:00.000Z,BNB,enter,trend,expanded-universe,1,1294.54,63.715,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0058
2025-10-14T12:00:00.000Z,BNB,exit,trend,expanded-universe,1,1170.35,63.715,risk-off,retq22-0058
