trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,expanded-universe,LINK,2023-02-19T00:00:00.000Z,2023-02-27T12:00:00.000Z,7.986,7.289,1252.1000000000001,-872.7137000000002,57.37748250000001,-930.0911825000003,17,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0002,trend,expanded-universe,BNB,2023-03-18T12:00:00.000Z,2023-03-24T00:00:00.000Z,343.4,329.4,26.412,-369.76800000000003,53.30998079999999,-423.07798080000003,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0003,trend,expanded-universe,LINK,2023-03-24T00:00:00.000Z,2023-03-28T00:00:00.000Z,7.608,6.871,1136.5,-837.6004999999996,49.3661505,-886.9666504999996,8,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0004,trend,expanded-universe,ETH,2023-03-29T12:00:00.000Z,2023-04-15T00:00:00.000Z,1811.23,2099.99,4.284,1237.0478400000002,50.26699944,1186.7808405600001,33,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0005,trend,expanded-universe,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,361.91,-977.1569999999992,50.747020199999994,-1027.9040201999992,13,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0006,trend,expanded-universe,BNB,2023-04-26T00:00:00.000Z,2023-04-28T12:00:00.000Z,338.4,322.2,23.400000000000002,-379.0799999999999,46.374120000000005,-425.45411999999993,5,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0007,trend,expanded-universe,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,3.9250000000000003,-21.116500000000997,44.88512250000001,-66.001622500001,1,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0008,trend,expanded-universe,LINK,2023-06-25T12:00:00.000Z,2023-07-06T12:00:00.000Z,6.315,6.345,1176.1000000000001,35.28299999999945,44.668278,-9.385278000000554,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0009,trend,expanded-universe,SOL,2023-07-06T12:00:00.000Z,2023-07-23T00:00:00.000Z,19.89,24.52,372.94,1726.712199999999,49.686796199999996,1677.0254037999991,33,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0010,trend,expanded-universe,LINK,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,7.88,7.601,1154.1000000000001,-321.9938999999995,53.59986630000001,-375.5937662999995,3,expanded-trend-close>sma40|mom20-ok|retq22-off,off22-strong
retq22-0011,trend,expanded-universe,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,365.89,-929.3606000000009,49.52687039999999,-978.8874704000009,21,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0012,trend,expanded-universe,SOL,2023-10-19T00:00:00.000Z,2023-10-24T12:00:00.000Z,23.41,31.83,330.64,2783.988799999999,54.7936608,2729.195139199999,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0013,trend,expanded-universe,LINK,2023-10-24T12:00:00.000Z,2023-11-15T12:00:00.000Z,10.531,15.132,994.1,4573.854099999999,76.5347649,4497.319335099999,44,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0014,trend,expanded-universe,AVAX,2023-11-15T12:00:00.000Z,2023-11-21T00:00:00.000Z,19.64,20.86,762.0600000000001,929.7132000000001,92.59029000000001,837.1229100000002,11,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0015,trend,expanded-universe,BNB,2023-11-21T00:00:00.000Z,2023-11-22T00:00:00.000Z,253.1,225.5,62.442,-1723.3991999999998,89.6542236,-1813.0534235999999,2,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0016,trend,expanded-universe,LINK,2023-11-26T12:00:00.000Z,2023-11-27T12:00:00.000Z,15.198,14.251,920.5,-871.7134999999998,81.3234135,-953.0369134999999,2,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0017,trend,expanded-universe,SOL,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,59.74,64.18,218.24,968.9856000000018,81.1329024,887.8526976000018,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0018,trend,expanded-universe,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,525.1,11300.152,117.454368,11182.697632,33,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0019,trend,expanded-universe,BNB,2023-12-24T00:00:00.000Z,2023-12-29T12:00:00.000Z,271,317.9,92.651,4345.331899999997,163.6865217,4181.645378299997,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0020,trend,expanded-universe,SOL,2023-12-29T12:00:00.000Z,2024-01-04T00:00:00.000Z,107.56,98.52,272.31,-2461.6824000000015,168.3529344,-2630.0353344000014,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0021,trend,expanded-universe,BNB,2024-01-04T00:00:00.000Z,2024-01-09T12:00:00.000Z,315.9,304.5,84.394,-962.0915999999997,157.07411280000002,-1119.1657127999997,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0022,trend,expanded-universe,ETH,2024-01-09T12:00:00.000Z,2024-01-13T00:00:00.000Z,2298.77,2522.55,11.11,2486.1958000000013,160.6945956,2325.5012044000014,7,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0023,trend,expanded-universe,LINK,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,20.548,19.555,1356.1000000000001,-1346.6072999999997,163.1510349,-1509.7583348999997,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0024,trend,expanded-universe,ETH,2024-02-17T00:00:00.000Z,2024-02-22T12:00:00.000Z,2801.81,2990.8,9.407,1777.8289300000033,163.47324680999998,1614.3556831900032,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0025,trend,expanded-universe,BNB,2024-02-22T12:00:00.000Z,2024-02-28T00:00:00.000Z,382.9,394.6,73.05,854.6850000000013,170.38912499999998,684.2958750000014,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0026,trend,expanded-universe,ETH,2024-02-28T00:00:00.000Z,2024-03-04T12:00:00.000Z,3242.35,3506.92,8.837,2338.0050900000024,178.92989697000002,2159.0751930300025,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0027,trend,expanded-universe,SOL,2024-03-04T12:00:00.000Z,2024-03-15T12:00:00.000Z,132.59,170,232.4,8694.083999999999,210.96574800000002,8483.118251999998,22,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0028,trend,expanded-universe,BNB,2024-03-15T12:00:00.000Z,2024-03-21T00:00:00.000Z,583.2,556.7,67.382,-1785.6229999999996,230.42622540000002,-2016.0492253999996,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0029,trend,expanded-universe,SOL,2024-03-21T00:00:00.000Z,2024-04-02T12:00:00.000Z,191.76,179.87,194.41,-2311.5348999999987,216.7457649,-2528.2806648999986,25,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0030,trend,expanded-universe,BNB,2024-04-06T12:00:00.000Z,2024-04-13T00:00:00.000Z,581.3,595.6,59.785000000000004,854.9255000000048,211.0828995,643.8426005000049,13,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0031,trend,expanded-universe,LINK,2024-05-20T12:00:00.000Z,2024-06-06T00:00:00.000Z,16.709,17.743,2118.4,2190.425599999995,218.94935040000001,1971.476249599995,33,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0032,trend,expanded-universe,BNB,2024-06-06T00:00:00.000Z,2024-06-11T00:00:00.000Z,698.8,625.1,53.475,-3941.1074999999983,212.3866575,-4153.494157499998,10,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0033,trend,expanded-universe,SOL,2024-07-20T00:00:00.000Z,2024-08-02T12:00:00.000Z,169.12,164.36,196.39000000000001,-934.8163999999997,196.47641160000003,-1131.2928115999998,27,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0034,trend,expanded-universe,LINK,2024-08-27T12:00:00.000Z,2024-08-28T00:00:00.000Z,11.63,11.15,2758.7000000000003,-1324.1759999999995,188.529558,-1512.7055579999994,1,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0035,trend,expanded-universe,BNB,2024-09-18T12:00:00.000Z,2024-09-29T12:00:00.000Z,540,597.4,56.613,3249.5862000000016,193.1748786,3056.4113214000017,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0036,trend,expanded-universe,SOL,2024-09-29T12:00:00.000Z,2024-10-03T00:00:00.000Z,156.76,140.18,214.51,-3556.5757999999987,191.08979820000002,-3747.665598199999,7,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0037,trend,expanded-universe,SOL,2024-10-16T00:00:00.000Z,2024-11-03T12:00:00.000Z,154.76,163.62,193.07,1710.6002000000008,184.4088798,1526.1913202000007,37,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0038,trend,expanded-universe,LINK,2024-11-07T00:00:00.000Z,2024-11-12T12:00:00.000Z,12.17,14.19,2580.6000000000004,5212.812000000002,204.07384800000005,5008.738152000002,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0039,trend,expanded-universe,AVAX,2024-11-12T12:00:00.000Z,2024-11-18T00:00:00.000Z,34.43,34.72,1057.64,306.7156000000032,219.407418,87.30818200000317,11,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0040,trend,expanded-universe,SOL,2024-11-18T00:00:00.000Z,2024-11-23T12:00:00.000Z,237.47,256.13,153.71,2868.228599999995,227.613768,2640.6148319999947,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0041,trend,expanded-universe,AVAX,2024-11-23T12:00:00.000Z,2024-11-29T00:00:00.000Z,42.31,42.78,925.13,434.811099999999,236.1579351,198.65316489999898,11,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0042,trend,expanded-universe,LINK,2024-11-29T00:00:00.000Z,2024-12-20T00:00:00.000Z,17.94,22.81,2192.9,10679.422999999995,268.08202500000004,10411.340974999996,42,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0043,trend,expanded-universe,SOL,2025-01-06T12:00:00.000Z,2025-01-08T00:00:00.000Z,216.26,202.17,230.05,-3241.404499999997,288.7794645,-3530.183964499997,3,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,risk-off
retq22-0044,trend,expanded-universe,LINK,2025-01-17T12:00:00.000Z,2025-01-23T00:00:00.000Z,24.15,25.29,1913.9,2181.846000000005,283.869648,1897.9763520000051,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
