period,start_equity,end_equity,return_pct
2023-02,10000,9329.437351750003,-6.705626482499971
2023-03,9329.437351750003,9323.170587400004,-0.06717194310569274
2023-04,9342.816821350005,9510.276608500004,1.7923907784141102
2023-05,9510.276608500004,9426.500791100003,-0.8808977998087331
2023-06,9426.500791100003,9323.914120670004,-1.0882794443390464
2023-07,9174.041092670006,11641.950287070003,26.90100436079188
2023-08,11641.950287070003,11641.950287070003,0
2023-09,11641.950287070003,11641.950287070003,0
2023-10,11641.950287070003,16971.93691627001,45.782592244185196
2023-11,17280.038829270008,30167.935491640015,74.58256772282064
2023-12,30722.417958880014,53822.337442600045,75.18913229628536
2024-01,55305.095782600045,54383.967447420044,-1.6655397159077046
2024-02,54383.967447420044,65192.23678480006,19.87399935069054
2024-03,66067.49834905006,102579.87311103006,55.26526003614754
2024-04,100005.09787943008,91324.13632783007,-8.68051902920599
2024-05,91324.13632783007,85800.57611103008,-6.048302714817733
2024-06,86522.1073639501,83912.84367904009,-3.0157190623366303
2024-07,83912.84367904009,84834.05274784009,1.0978165301173126
2024-08,84359.15851744007,76649.85959144011,-9.138662667440157
2024-09,76649.85959144011,74633.30276147011,-2.6308682634497593
2024-10,75555.90263347012,73695.73078777012,-2.4619808391726727
2024-11,73940.47035977013,88800.07500753013,20.096713715044046
2024-12,88657.14046145014,72301.76962418016,-18.447888971088133
2025-01,72301.76962418016,68932.76590818015,-4.65964212703488
2025-02,68932.76590818015,68932.76590818015,0
2025-03,68932.76590818015,68932.76590818015,0
2025-04,68932.76590818015,69765.61689028016,1.2082076950305165
2025-05,71704.12686128015,97446.06323148016,35.90021592481105
2025-06,97446.06323148016,90143.28269823016,-7.494177077120567
2025-07,90143.28269823016,117868.51138168019,30.756843830798687
2025-08,117264.60684678021,118329.6379501802,0.9082289465154547
2025-09,118329.6379501802,119018.60417018022,0.5822431572807485
2025-10,119018.60417018022,93984.13285392022,-21.0340824367795
2025-11,93984.13285392022,93984.13285392022,0
2025-12,93984.13285392022,93984.13285392022,0
