trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
baseline-0001,trend,trend,ETH,2023-02-19T00:00:00.000Z,2023-02-24T12:00:00.000Z,1691.62,1647.43,5.9110000000000005,-261.2070899999999,59.21137365,-320.41846364999986,11,baseline-close>sma40|mom20-ok|retq22-off,rebalance-switch
baseline-0002,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,406.87,-292.9463999999989,57.197784600000006,-350.1441845999989,1,baseline-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
baseline-0003,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.1450000000000005,1475.7403499999982,60.39947025,1415.3408797499983,55,baseline-close>sma40|mom20-ok|retq22-off,rebalance-switch
baseline-0004,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,434.65000000000003,-1173.5550000000003,60.946623,-1234.5016230000003,13,baseline-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
baseline-0005,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,4.982,-26.8031600000013,56.9726574,-83.7758174000013,1,baseline-close>sma40|mom20-ok|retq22-off,risk-off
baseline-0006,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,4.913,75.80759000000035,56.77713363000001,19.030456370000337,11,baseline-close>sma40|mom20-ok|retq22-off,rebalance-switch
baseline-0007,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-25T00:00:00.000Z,18.85,23.36,501.08,2259.870799999999,63.4517604,2196.419039599999,48,baseline-close>sma40|mom20-ok|sol-ok|retq22-off,risk-off
baseline-0008,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,488.54,-1240.891599999999,66.1287744,-1307.0203743999991,21,baseline-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
baseline-0009,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,23.41,41.52,441.47,7995.021700000003,85.99394130000002,7909.027758700003,33,baseline-close>sma40|mom20-ok|sol-ok|retq22-off,rebalance-switch
baseline-0010,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,9.928,2817.9635199999975,117.90949488000001,2700.0540251199973,11,baseline-close>sma40|mom20-ok|retq22-off,rebalance-switch
baseline-0011,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,462.34000000000003,8174.171200000001,150.1865256,8023.984674400001,11,baseline-close>sma40|mom20-ok|sol-ok|retq22-off,rebalance-switch
