trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T12:00:00.000Z,23.79,22.77,420.34000000000003,-428.746799999999,58.71309120000001,-487.459891199999,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.246,1504.7101799999982,61.585154700000004,1443.1250252999982,55,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,24.72,22.19,443.19,-1121.2706999999991,62.370128699999995,-1183.640828699999,12,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0004,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.119,-27.540220000000772,58.5393483,-86.07956830000077,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0005,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,5.049,77.90606999999909,58.34881899,19.557251009999092,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0006,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,514.88,4268.355199999998,71.03799360000001,4197.317206399998,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0007,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,7.2780000000000005,-116.0113199999978,83.06177616000001,-199.07309615999782,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0008,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,24.52,23.62,558.88,-502.9920000000002,80.7134496,-583.7054496000002,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0009,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-30T00:00:00.000Z,1866.63,1880.45,7.0280000000000005,97.1269599999996,79.00343472,18.123525279999598,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0010,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-04T12:00:00.000Z,1839.9,1834.6,7.140000000000001,-37.84200000000237,78.70779,-116.54979000000237,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0011,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-10T00:00:00.000Z,1839.08,1855.36,7.08,115.26239999999962,78.4699056,36.79249439999961,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0012,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,8.192,291.71712000000116,79.22442240000001,212.49269760000115,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0013,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-12T12:00:00.000Z,23.83,21.51,556.89,-1291.9847999999984,75.74817780000001,-1367.7329777999985,20,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0014,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-10-30T00:00:00.000Z,23.41,32.83,508.46000000000004,4789.6932,85.7873712,4703.9058288,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0015,trend,trend,DOGE,2023-10-30T00:00:00.000Z,2023-11-04T12:00:00.000Z,0.06936,0.06867,239432.99300000002,-165.20876517000215,99.14680807137,-264.35557324137216,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
