period,start_equity,end_equity,return_pct
2023-02,10000,9638.263802800002,-3.617361971999977
2023-03,9638.263802800002,9631.789973350002,-0.06716800434658499
2023-04,9632.902774900003,9510.038687750006,-1.2754627553196007
2023-05,9510.038687750006,9359.351039630006,-1.5845114101807223
2023-06,9359.351039630006,9257.49527175001,-1.0882781022820143
2023-07,9069.00863315001,12656.560048320012,39.55836365682133
2023-08,12656.560048320012,12677.719748480016,0.1671836587447295
2023-09,12677.719748480016,12884.01301313002,1.6272111132188183
2023-10,12884.01301313002,19203.903379130028,49.05218862756073
2023-11,18939.946731830023,30570.976770080037,61.410046199882814
2023-12,31210.02473744003,54715.27619920005,75.3131458866252
2024-01,54919.845444800056,55286.295367720064,0.6672450003311292
2024-02,55286.295367720064,66273.95030276009,19.874102364716183
2024-03,66441.68278119009,106709.25046193009,60.6058817223996
2024-04,104708.01662873008,97779.22452913011,-6.617250830151655
2024-05,97779.22452913011,90782.58680920015,-7.155546337806696
2024-06,91379.84311879016,86773.11364915014,-5.041297196857142
2024-07,86773.11364915014,87725.71850035015,1.0978110743515401
2024-08,85894.40257955015,83817.54709395017,-2.417917143875037
2024-09,83817.54709395017,80309.50583956015,-4.185330370570128
2024-10,81704.60155876016,73844.13212072021,-9.620595765817264
2024-11,72254.14852442022,88978.35875620026,23.14636678076367
2024-12,89252.22580284026,72446.99482700031,-18.828920875276545
2025-01,72446.99482700031,70620.10746622032,-2.5216882565557097
2025-02,70620.10746622032,70224.73413702032,-0.5598594272730573
2025-03,70224.73413702032,70224.73413702032,0
2025-04,70224.73413702032,116590.39870535443,66.0246922086837
2025-05,116590.39870535443,152096.56886265936,30.453768536323157
2025-06,152096.56886265936,159309.80713437943,4.74253845807231
2025-07,159309.80713437943,252163.41683536163,58.284930081334686
2025-08,254526.9648662139,273052.3743146993,7.278368112479883
2025-09,273052.3743146993,255371.20263769932,-6.475377378195601
2025-10,255371.20263769932,242545.37161669938,-5.022426525983914
2025-11,242545.37161669938,242545.37161669938,0
2025-12,242545.37161669938,242545.37161669938,0
2026-01,242545.37161669938,225103.69328057682,-7.191099223977815
2026-02,225103.69328057682,225103.69328057682,0
2026-03,225103.69328057682,196760.54407763685,-12.59115245506528
2026-04,196760.54407763685,211613.69503464314,7.54884625199328
