time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,420.34000000000003,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.315,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.315,trend-switch,retq22-0002
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,449.04,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0003
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,449.04,sma-break,retq22-0003
2023-04-29T00:00:00.000Z,SOL,enter,trend,idle-breakout,1,23.34,420.95,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off|idle-breakout-entry,retq22-0004
2023-05-01T00:00:00.000Z,SOL,exit,trend,idle-breakout,1,22.73,420.95,idle-breakout-time,retq22-0004
2023-05-04T00:00:00.000Z,ETH,enter,trend,idle-breakout,1,1905.12,4.9910000000000005,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off|idle-breakout-entry,retq22-0005
2023-05-04T06:00:00.000Z,ETH,exit,trend,idle-breakout,1,1903.02,4.9910000000000005,sma-break,retq22-0005
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,4.947,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,4.947,risk-off,retq22-0006
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.878,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,4.878,trend-switch,retq22-0007
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,497.51,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,497.51,trend-switch,retq22-0008
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,7.033,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,7.033,sma-break,retq22-0009
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,540.03,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0010
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,540.03,off22-strong,retq22-0010
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,6.791,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0011
2023-07-29T06:00:00.000Z,ETH,exit,range,range-reclaim,1,1874.76,6.791,range-time,retq22-0011
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,6.878,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0012
2023-08-03T18:00:00.000Z,ETH,exit,range,range-reclaim,1,1846.66,6.878,range-time,retq22-0012
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,6.865,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0013
2023-08-09T06:00:00.000Z,ETH,exit,range,range-reclaim,1,1857.56,6.865,range-time,retq22-0013
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,7.953,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0014
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,7.953,mean-revert,retq22-0014
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,540.66,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0015
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,540.66,sma-break,retq22-0015
2023-10-16T12:00:00.000Z,SOL,enter,trend,idle-breakout,1,23.15,494.06,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off|idle-breakout-entry,retq22-0016
2023-10-18T12:00:00.000Z,SOL,exit,trend,idle-breakout,1,23.81,494.06,idle-breakout-time,retq22-0016
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,499.53000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0017
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,499.53000000000003,trend-switch,retq22-0017
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,11.234,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0018
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,11.234,trend-switch,retq22-0018
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,523.14,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0019
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,523.14,trend-switch,retq22-0019
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,16.281,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0020
2023-11-22T00:00:00.000Z,ETH,exit,trend,trend,1,1933.01,16.281,sma-break,retq22-0020
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,15.004,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0021
2023-12-07T12:00:00.000Z,ETH,exit,trend,trend,1,2236.04,15.004,trend-switch,retq22-0021
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1257.8,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0022
2023-12-24T00:00:00.000Z,AVAX,exit,trend,trend,1,48.04,1257.8,trend-switch,retq22-0022
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,26.056,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0023
2023-12-26T12:00:00.000Z,ETH,exit,trend,trend,1,2242.6,26.056,sma-break,retq22-0023
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,539.96,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0024
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,539.96,sma-break,retq22-0024
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,22.043,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0025
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,22.043,risk-off,retq22-0025
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,503.93,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0026
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,503.93,trend-switch,retq22-0026
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,19.723,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0027
2024-03-10T00:00:00.000Z,ETH,exit,trend,trend,1,3905.2,19.723,trend-switch,retq22-0027
2024-03-10T00:00:00.000Z,SOL,enter,trend,strict6,1,144.3,531.02,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0028
2024-04-02T12:00:00.000Z,SOL,exit,trend,trend,1,179.87,531.02,sma-break,retq22-0028
2024-04-06T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,46.92,2024.68,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0029
2024-04-07T12:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,48.58,2024.68,range-time,retq22-0029
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,550.1800000000001,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0030
2024-05-31T12:00:00.000Z,SOL,exit,trend,trend,1,168.74,550.1800000000001,trend-switch,retq22-0030
2024-05-31T12:00:00.000Z,ETH,enter,trend,strict6,1,3802.62,24.263,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0031
2024-06-06T00:00:00.000Z,ETH,exit,trend,trend,1,3866,24.263,trend-switch,retq22-0031
2024-06-06T00:00:00.000Z,SOL,enter,trend,strict6,1,173.55,537.28,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0032
2024-06-08T00:00:00.000Z,SOL,exit,trend,trend,1,162.51,537.28,sma-break,retq22-0032
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,513.08,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0033
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,513.08,sma-break,retq22-0033
2024-09-14T00:00:00.000Z,ETH,enter,trend,idle-breakout,1,2439.19,34.362,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off|idle-breakout-entry,retq22-0034
2024-09-14T06:00:00.000Z,ETH,exit,trend,idle-breakout,1,2414.81,34.362,sma-break,retq22-0034
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,31.159,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0035
2024-09-29T12:00:00.000Z,ETH,exit,trend,trend,1,2652.49,31.159,trend-switch,retq22-0035
2024-09-29T12:00:00.000Z,SOL,enter,trend,strict6,1,156.76,524.08,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0036
2024-10-03T00:00:00.000Z,SOL,exit,trend,trend,1,140.18,524.08,sma-break,retq22-0036
2024-10-05T00:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,26.27,2778.82,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0037
2024-10-06T00:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,25.67,2778.82,range-time,retq22-0037
2024-10-16T00:00:00.000Z,ETH,enter,trend,strict6,1,2607.41,27.191,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0038
2024-10-21T12:00:00.000Z,ETH,exit,trend,trend,1,2704.77,27.191,trend-switch,retq22-0038
2024-10-21T12:00:00.000Z,SOL,enter,trend,strict6,1,166.42,439.33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0039
2024-11-03T12:00:00.000Z,SOL,exit,trend,trend,1,163.62,439.33,sma-break,retq22-0039
