time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-01-24T12:00:00.000Z,SOL,enter,trend,strict6,1,24.46,408.83,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0001
2023-01-25T00:00:00.000Z,SOL,exit,trend,trend,1,22.77,408.83,sma-break,retq22-0001
2023-01-30T00:00:00.000Z,SOL,enter,trend,strict6,1,26.07,354.85,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0002
2023-01-30T12:00:00.000Z,SOL,exit,trend,trend,1,24.01,354.85,sma-break,retq22-0002
2023-02-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1661.92,5.094,trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-02-05T20:00:00.000Z,ETH,exit,trend,trend,1,1619.48,5.094,sma-break,retq22-0003
2023-02-21T00:00:00.000Z,SOL,enter,trend,strict6,1,26.26,312.28000000000003,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0004
2023-02-22T08:00:00.000Z,SOL,exit,trend,trend,1,23.82,312.28000000000003,sma-break,retq22-0004
2023-03-15T00:00:00.000Z,ETH,enter,trend,strict6,1,1699.41,4.349,trend-close>sma40|mom20-ok|retq22-off,retq22-0005
2023-03-20T12:00:00.000Z,ETH,exit,trend,trend,1,1779.4,4.349,trend-switch,retq22-0005
2023-03-20T12:00:00.000Z,SOL,enter,trend,strict6,1,23.33,329.79,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0006
2023-03-22T20:00:00.000Z,SOL,exit,trend,trend,1,21.1,329.79,sma-break,retq22-0006
2023-03-31T12:00:00.000Z,ETH,enter,trend,strict6,1,1792.9,3.856,trend-close>sma40|mom20-ok|retq22-off,retq22-0007
2023-04-02T20:00:00.000Z,ETH,exit,trend,trend,1,1781.75,3.856,sma-break,retq22-0007
2023-04-06T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.68,3.5780000000000003,trend-close>sma40|mom20-ok|retq22-off,retq22-0008
2023-04-09T00:00:00.000Z,ETH,exit,trend,trend,1,1848.82,3.5780000000000003,sma-break,retq22-0008
2023-04-11T12:00:00.000Z,SOL,enter,trend,strict6,1,22.22,295.94,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0009
