time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-01-24T12:00:00.000Z,SOL,enter,trend,strict6,1,24.46,408.83,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0001
2023-01-25T00:00:00.000Z,SOL,exit,trend,trend,1,22.77,408.83,sma-break,retq22-0001
2023-01-30T00:00:00.000Z,SOL,enter,trend,strict6,1,26.07,354.85,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0002
2023-01-30T12:00:00.000Z,SOL,exit,trend,trend,1,24.01,354.85,sma-break,retq22-0002
2023-02-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1661.92,5.094,trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-02-07T00:00:00.000Z,ETH,exit,trend,trend,1,1614.28,5.094,sma-break,retq22-0003
2023-02-18T06:00:00.000Z,ETH,enter,trend,strict6,1,1698.45,4.812,trend-close>sma40|mom20-ok|retq22-off,retq22-0004
2023-02-21T00:00:00.000Z,ETH,exit,trend,trend,1,1703.27,4.812,trend-switch,retq22-0004
2023-02-21T00:00:00.000Z,SOL,enter,trend,strict6,1,26.26,310.28000000000003,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0005
2023-02-24T18:00:00.000Z,SOL,exit,trend,trend,1,22.86,310.28000000000003,risk-off,retq22-0005
2023-03-01T06:00:00.000Z,ETH,enter,trend,strict6,1,1650.58,4.269,trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-03-02T06:00:00.000Z,ETH,exit,trend,trend,1,1644.42,4.269,sma-break,retq22-0006
2023-03-15T00:00:00.000Z,ETH,enter,trend,strict6,1,1699.41,4.106,trend-close>sma40|mom20-ok|retq22-off,retq22-0007
2023-03-20T12:00:00.000Z,ETH,exit,trend,trend,1,1779.4,4.106,trend-switch,retq22-0007
2023-03-20T12:00:00.000Z,SOL,enter,trend,strict6,1,23.33,311.38,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0008
2023-03-24T18:00:00.000Z,SOL,exit,trend,trend,1,20.42,311.38,sma-break,retq22-0008
2023-03-31T12:00:00.000Z,ETH,enter,trend,strict6,1,1792.9,3.523,trend-close>sma40|mom20-ok|retq22-off,retq22-0009
