time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,420.34000000000003,sma-break,retq22-0001
2023-03-07T12:00:00.000Z,SOL,enter,range,range-primary,0.5,20.31,237.27,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0002
2023-03-15T12:00:00.000Z,SOL,exit,range,range-primary,0.5,20.59,237.27,range-time,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.336,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.336,trend-switch,retq22-0003
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,450.78000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0004
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,450.78000000000003,sma-break,retq22-0004
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.167,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,5.167,risk-off,retq22-0005
2023-06-09T00:00:00.000Z,SOL,enter,range,range-primary,0.5,18.88,258.9,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0006
2023-06-17T00:00:00.000Z,SOL,exit,range,range-primary,0.5,15.32,258.9,range-time,retq22-0006
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.601,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,4.601,trend-switch,retq22-0007
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,469.27,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-06T12:00:00.000Z,SOL,exit,trend,trend,1,19.89,469.27,trend-switch,retq22-0008
2023-07-06T12:00:00.000Z,ETH,enter,trend,strict6,1,1917.66,4.838,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2023-07-10T00:00:00.000Z,ETH,exit,trend,trend,1,1862.81,4.838,sma-break,retq22-0009
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,4.69,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0010
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,4.69,sma-break,retq22-0010
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,360.14,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0011
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,360.14,off22-strong,retq22-0011
2023-08-03T00:00:00.000Z,SOL,enter,range,range-primary,0.5,23.14,182.68,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0012
2023-08-09T12:00:00.000Z,SOL,exit,range,range-primary,0.5,24.85,182.68,mean-revert,retq22-0012
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,366.79,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0013
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,366.79,sma-break,retq22-0013
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,331.45,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0014
2023-12-02T00:00:00.000Z,SOL,exit,trend,trend,1,59.74,331.45,trend-switch,retq22-0014
2023-12-02T00:00:00.000Z,ETH,enter,trend,strict6,1,2087.24,9.447000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0015
2023-12-07T12:00:00.000Z,ETH,exit,trend,trend,1,2236.04,9.447000000000001,trend-switch,retq22-0015
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,791.91,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0016
2023-12-24T00:00:00.000Z,AVAX,exit,trend,trend,1,48.04,791.91,trend-switch,retq22-0016
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,16.405,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0017
2023-12-26T12:00:00.000Z,ETH,exit,trend,trend,1,2242.6,16.405,sma-break,retq22-0017
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,339.96,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0018
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,339.96,sma-break,retq22-0018
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,13.878,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0019
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,13.878,risk-off,retq22-0019
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,317.27,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0020
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,317.27,trend-switch,retq22-0020
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,12.417,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0021
2024-03-10T00:00:00.000Z,ETH,exit,trend,trend,1,3905.2,12.417,trend-switch,retq22-0021
2024-03-10T00:00:00.000Z,SOL,enter,trend,strict6,1,144.3,334.32,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0022
2024-04-02T12:00:00.000Z,SOL,exit,trend,trend,1,179.87,334.32,sma-break,retq22-0022
2024-05-15T00:00:00.000Z,ETH,enter,range,range-primary,0.5,2881.93,10.376,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0023
2024-05-18T00:00:00.000Z,ETH,exit,range,range-primary,0.5,3092,10.376,mean-revert,retq22-0023
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,347.75,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0024
2024-05-31T12:00:00.000Z,SOL,exit,trend,trend,1,168.74,347.75,trend-switch,retq22-0024
2024-05-31T12:00:00.000Z,ETH,enter,trend,strict6,1,3802.62,15.336,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0025
2024-06-09T00:00:00.000Z,ETH,exit,trend,trend,1,3681.58,15.336,sma-break,retq22-0025
2024-06-17T00:00:00.000Z,SOL,enter,range,range-primary,0.5,151.3,185.45000000000002,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0026
2024-06-25T00:00:00.000Z,SOL,exit,range,range-primary,0.5,132.34,185.45000000000002,range-time,retq22-0026
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,310.1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0027
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,310.1,sma-break,retq22-0027
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,19.138,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0028
2024-09-29T12:00:00.000Z,ETH,exit,trend,trend,1,2652.49,19.138,trend-switch,retq22-0028
2024-09-29T12:00:00.000Z,SOL,enter,trend,strict6,1,156.76,321.89,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0029
2024-10-03T00:00:00.000Z,SOL,exit,trend,trend,1,140.18,321.89,sma-break,retq22-0029
2024-10-16T00:00:00.000Z,SOL,enter,trend,strict6,1,154.76,289.71,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0030
2024-11-03T12:00:00.000Z,SOL,exit,trend,trend,1,163.62,289.71,sma-break,retq22-0030
2024-11-07T00:00:00.000Z,SOL,enter,trend,strict6,1,186.59,252.56,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0031
2024-11-12T12:00:00.000Z,SOL,exit,trend,trend,1,211.12,252.56,trend-switch,retq22-0031
2024-11-12T12:00:00.000Z,AVAX,enter,trend,strict6,1,34.43,1539.93,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0032
2024-11-18T00:00:00.000Z,AVAX,exit,trend,trend,1,34.72,1539.93,trend-switch,retq22-0032
2024-11-18T00:00:00.000Z,SOL,enter,trend,strict6,1,237.47,223.8,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0033
2024-11-23T12:00:00.000Z,SOL,exit,trend,trend,1,256.13,223.8,trend-switch,retq22-0033
2024-11-23T12:00:00.000Z,AVAX,enter,trend,strict6,1,42.31,1347,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0034
2024-11-29T00:00:00.000Z,AVAX,exit,trend,trend,1,42.78,1347,trend-switch,retq22-0034
2024-11-29T00:00:00.000Z,ETH,enter,trend,strict6,1,3578.8,16.005,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0035
2024-12-04T12:00:00.000Z,ETH,exit,trend,trend,1,3729.09,16.005,trend-switch,retq22-0035
2024-12-04T12:00:00.000Z,AVAX,enter,trend,strict6,1,53.93,1100.23,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0036
2024-12-10T00:00:00.000Z,AVAX,exit,trend,trend,1,45.02,1100.23,trend-switch,retq22-0036
2024-12-10T00:00:00.000Z,ETH,enter,trend,strict6,1,3712,13.255,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0037
2024-12-19T00:00:00.000Z,ETH,exit,trend,trend,1,3626.8,13.255,sma-break,retq22-0037
2025-01-06T12:00:00.000Z,ETH,enter,trend,strict6,1,3654.51,13.075000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0038
2025-01-08T00:00:00.000Z,ETH,exit,trend,trend,1,3381.31,13.075000000000001,risk-off,retq22-0038
2025-01-17T12:00:00.000Z,SOL,enter,trend,strict6,1,218.77,200.83,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0039
2025-01-27T12:00:00.000Z,SOL,exit,trend,trend,1,225.84,200.83,risk-off,retq22-0039
2025-02-03T00:00:00.000Z,SOL,enter,range,range-primary,0.5,203.52,110.77,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0040
2025-02-11T00:00:00.000Z,SOL,exit,range,range-primary,0.5,200.47,110.77,range-time,retq22-0040
