trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,420.34000000000003,-302.64480000000003,59.0913972,-361.73619720000005,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0002,range,range-primary,SOL,2023-03-07T12:00:00.000Z,2023-03-15T12:00:00.000Z,20.31,20.59,237.27,66.4355999999998,29.113029,37.3225709999998,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0003,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.336,1530.5248799999972,62.641705200000004,1467.8831747999973,55,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0004,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,450.78000000000003,-1217.1059999999998,63.2083716,-1280.3143715999997,13,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0005,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.167,-27.798460000001796,59.0882619,-86.88672190000179,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0006,range,range-primary,SOL,2023-06-09T00:00:00.000Z,2023-06-17T00:00:00.000Z,18.88,15.32,258.9,-921.6839999999997,26.563139999999997,-948.2471399999997,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0007,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,4.601,70.99343000000044,53.171502509999996,17.821927490000448,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0008,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-06T12:00:00.000Z,18.85,19.89,469.27,488.0408000000007,54.5385594,433.5022406000007,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,ETH,2023-07-06T12:00:00.000Z,2023-07-10T00:00:00.000Z,1917.66,1862.81,4.838,-265.3643000000011,54.86974158,-320.2340415800011,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,4.69,-74.7585999999992,53.52565680000001,-128.2842567999992,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0011,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,24.52,23.62,360.14,-324.1260000000002,52.0114188,-376.1374188000002,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,off22-strong
retq22-0012,range,range-primary,SOL,2023-08-03T00:00:00.000Z,2023-08-09T12:00:00.000Z,23.14,24.85,182.68,312.3828000000003,26.300439600000004,286.0823604000003,13,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,mean-revert
retq22-0013,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,366.79,-931.6466,49.6486944,-981.2952944,21,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0014,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-12-02T00:00:00.000Z,23.41,59.74,331.45,12041.5785,82.68020250000001,11958.8982975,88,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0015,trend,trend,ETH,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,2087.24,2236.04,9.447000000000001,1405.7136000000028,122.52607848000001,1283.1875215200027,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0016,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,791.91,17041.903199999997,177.1344288,16864.768771199997,33,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
