ts,iso_time,equity,cash,position_symbol,position_side,position_qty,position_entry_price
1676462400000,2023-02-15T12:00:00.000Z,10000,10000,CASH,cash,0,0
1676476800000,2023-02-15T16:00:00.000Z,10000,10000,CASH,cash,0,0
1676491200000,2023-02-15T20:00:00.000Z,10000,10000,CASH,cash,0,0
1676505600000,2023-02-16T00:00:00.000Z,10000,10000,CASH,cash,0,0
1676520000000,2023-02-16T04:00:00.000Z,10000,10000,CASH,cash,0,0
1676534400000,2023-02-16T08:00:00.000Z,10000,10000,CASH,cash,0,0
1676548800000,2023-02-16T12:00:00.000Z,10000,10000,CASH,cash,0,0
1676563200000,2023-02-16T16:00:00.000Z,10000,10000,CASH,cash,0,0
1676577600000,2023-02-16T20:00:00.000Z,10000,10000,CASH,cash,0,0
1676592000000,2023-02-17T00:00:00.000Z,10000,10000,CASH,cash,0,0
1676606400000,2023-02-17T04:00:00.000Z,10000,10000,CASH,cash,0,0
1676620800000,2023-02-17T08:00:00.000Z,10000,10000,CASH,cash,0,0
1676635200000,2023-02-17T12:00:00.000Z,10000,10000,CASH,cash,0,0
1676649600000,2023-02-17T16:00:00.000Z,10000,10000,CASH,cash,0,0
1676664000000,2023-02-17T20:00:00.000Z,10000,10000,CASH,cash,0,0
1676678400000,2023-02-18T00:00:00.000Z,10000,10000,CASH,cash,0,0
1676692800000,2023-02-18T04:00:00.000Z,10000,10000,CASH,cash,0,0
1676707200000,2023-02-18T08:00:00.000Z,10000,10000,CASH,cash,0,0
1676721600000,2023-02-18T12:00:00.000Z,10000,10000,CASH,cash,0,0
1676736000000,2023-02-18T16:00:00.000Z,10000,10000,CASH,cash,0,0
1676750400000,2023-02-18T20:00:00.000Z,10000,10000,CASH,cash,0,0
1676764800000,2023-02-19T00:00:00.000Z,9981.788268110002,-29.163317459999234,ETH,trend,5.9110000000000005,1691.62
1676779200000,2023-02-19T04:00:00.000Z,9975.953933780002,-29.163317459999234,ETH,trend,5.9110000000000005,1691.62
1676793600000,2023-02-19T08:00:00.000Z,9947.076925480002,-29.163317459999234,ETH,trend,5.9110000000000005,1691.62
1676808000000,2023-02-19T12:00:00.000Z,9971.65184887,-29.163317459999234,ETH,trend,5.9110000000000005,1691.62
1676822400000,2023-02-19T16:00:00.000Z,9982.43652748,-29.163317459999234,ETH,trend,5.9110000000000005,1691.62
1676836800000,2023-02-19T20:00:00.000Z,9912.601313530002,-29.163317459999234,ETH,trend,5.9110000000000005,1691.62
1676851200000,2023-02-20T00:00:00.000Z,9853.60971086,-29.163317459999234,ETH,trend,5.9110000000000005,1691.62
