time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,ETH,enter,trend,strict6,1,1691.62,5.9110000000000005,trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-02-22T00:00:00.000Z,ETH,exit,trend,trend,1,1659.77,5.9110000000000005,sma-break,retq22-0001
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,409.93,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0002
2023-02-24T16:00:00.000Z,SOL,exit,trend,trend,1,23.04,409.93,sma-break,retq22-0002
2023-03-07T12:00:00.000Z,SOL,enter,range,range-primary,0.5,20.31,231.09,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0003
2023-03-10T04:00:00.000Z,SOL,exit,range,range-primary,0.5,17.15,231.09,range-time,retq22-0003
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,4.76,trend-close>sma40|mom20-ok|retq22-off,retq22-0004
2023-03-21T08:00:00.000Z,ETH,exit,trend,trend,1,1730.34,4.76,sma-break,retq22-0004
2023-03-24T00:00:00.000Z,ETH,enter,trend,strict6,1,1813.78,4.513,trend-close>sma40|mom20-ok|retq22-off,retq22-0005
2023-03-24T16:00:00.000Z,ETH,exit,trend,trend,1,1767,4.513,sma-break,retq22-0005
2023-03-29T12:00:00.000Z,ETH,enter,trend,strict6,1,1811.23,4.376,trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-04-02T20:00:00.000Z,ETH,exit,trend,trend,1,1781.75,4.376,sma-break,retq22-0006
2023-04-04T00:00:00.000Z,ETH,enter,trend,strict6,1,1810.51,4.28,trend-close>sma40|mom20-ok|retq22-off,retq22-0007
2023-04-09T00:00:00.000Z,ETH,exit,trend,trend,1,1848.82,4.28,sma-break,retq22-0007
2023-04-09T12:00:00.000Z,ETH,enter,trend,strict6,1,1839.22,4.277,trend-close>sma40|mom20-ok|retq22-off,retq22-0008
2023-04-09T16:00:00.000Z,ETH,exit,trend,trend,1,1837.05,4.277,sma-break,retq22-0008
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,315.97,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0009
2023-04-19T08:00:00.000Z,SOL,exit,trend,trend,1,24.36,315.97,sma-break,retq22-0009
2023-04-20T12:00:00.000Z,SOL,enter,trend,strict6,1,22.34,342.46,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0010
2023-04-20T16:00:00.000Z,SOL,exit,trend,trend,1,22.13,342.46,sma-break,retq22-0010
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,3.946,trend-close>sma40|mom20-ok|retq22-off,retq22-0011
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,3.946,risk-off,retq22-0011
2023-06-09T00:00:00.000Z,SOL,enter,range,range-primary,0.5,18.88,197.74,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0012
2023-06-11T16:00:00.000Z,SOL,exit,range,range-primary,0.5,15.22,197.74,range-time,retq22-0012
2023-06-14T12:00:00.000Z,SOL,enter,range,range-primary,0.5,15.21,220.99,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0013
2023-06-17T00:00:00.000Z,SOL,exit,range,range-primary,0.5,15.32,220.99,mean-revert,retq22-0013
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,3.5060000000000002,trend-close>sma40|mom20-ok|retq22-off,retq22-0014
2023-06-28T04:00:00.000Z,ETH,exit,trend,trend,1,1866.46,3.5060000000000002,sma-break,retq22-0014
