trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,ETH,2023-02-19T00:00:00.000Z,2023-02-24T12:00:00.000Z,1691.62,1647.43,5.9110000000000005,-261.2070899999999,59.21137365,-320.41846364999986,11,trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0002,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T12:00:00.000Z,23.79,22.77,406.87,-415.0074000000004,56.8316016,-471.8390016000004,2,trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma40-break
retq22-0003,range,range-primary,SOL,2023-03-07T12:00:00.000Z,2023-03-15T12:00:00.000Z,20.31,20.59,226.68,63.470400000000154,27.813636,35.65676400000015,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0004,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.097,1461.9725099999996,59.835976650000006,1402.1365333499996,55,trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0005,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,24.72,22.19,430.64,-1089.5191999999988,60.6039672,-1150.1231671999988,12,trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma40-break
retq22-0006,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,4.974,-26.760120000000825,56.881171800000004,-83.64129180000083,1,trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0007,range,range-primary,SOL,2023-06-09T00:00:00.000Z,2023-06-17T00:00:00.000Z,18.88,15.32,249.25,-887.3299999999999,25.573050000000002,-912.9030499999999,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0008,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,4.43,68.35490000000027,51.19533929999999,17.159560700000277,11,trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0009,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,18.85,23.62,451.77,2154.9429,57.5600157,2097.3828843,47,trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma40-break
retq22-0010,range,range-primary,SOL,2023-08-03T00:00:00.000Z,2023-08-09T12:00:00.000Z,23.14,24.85,229.33,392.15430000000015,33.016640100000004,359.13765990000013,13,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,mean-revert
