time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2022-01-12T23:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,151.51,33,1h-entry-gpt-proxy,gpt_proxy-0001
2022-01-13T12:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,153.69,33,momentum-off,gpt_proxy-0001
2022-01-14T21:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,3331.04,1.5070000000000001,1h-entry-gpt-proxy,gpt_proxy-0002
2022-01-15T12:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,3282.8,1.5070000000000001,momentum-off,gpt_proxy-0002
2022-01-15T15:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,3361.97,1.478,1h-entry-gpt-proxy,gpt_proxy-0003
2022-01-16T12:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,3332.14,1.478,momentum-off,gpt_proxy-0003
2022-01-16T14:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,151.22,32.61,1h-entry-gpt-proxy,gpt_proxy-0004
2022-01-17T03:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,143.659,32.61,SL,gpt_proxy-0004
2022-01-20T14:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,141.57,33.86,1h-entry-gpt-proxy,gpt_proxy-0005
2022-01-20T21:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,134.49149999999997,33.86,SL,gpt_proxy-0005
2022-01-26T10:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,2526.1,1.845,1h-entry-gpt-proxy,gpt_proxy-0006
2022-01-27T00:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,2484.44,1.845,sma-break,gpt_proxy-0006
2022-01-28T20:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,2509.44,1.836,1h-entry-gpt-proxy,gpt_proxy-0007
2022-01-29T12:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,2574.28,1.836,sma-break,gpt_proxy-0007
2022-01-29T13:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,98.17,47.410000000000004,1h-entry-gpt-proxy,gpt_proxy-0008
2022-01-30T12:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,95.35,47.410000000000004,sma-break,gpt_proxy-0008
2022-01-31T15:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,2620.66,1.745,1h-entry-gpt-proxy,gpt_proxy-0009
2022-02-01T13:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,2791.61,1.745,sma-break,gpt_proxy-0009
2022-02-04T06:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,2796.79,1.683,1h-entry-gpt-proxy,gpt_proxy-0010
2022-02-05T13:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,3023.07,1.683,TP,gpt_proxy-0010
2022-02-06T23:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,3054.99,1.598,1h-entry-gpt-proxy,gpt_proxy-0011
2022-02-11T22:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,2902.2405,1.598,SL,gpt_proxy-0011
2022-02-12T16:00:00.000Z,AVAX,enter,trend,gpt_proxy,0.5,18.18,261.17,1h-entry-gpt-proxy,gpt_proxy-0012
2023-01-01T00:00:00.000Z,AVAX,exit,trend,gpt_proxy,0.5,17.270999999999997,261.17,SL,gpt_proxy-0012
2023-01-02T03:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,9.99,462.01,1h-entry-gpt-proxy,gpt_proxy-0013
2023-01-02T23:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,11.28,462.01,sma-break,gpt_proxy-0013
2023-01-04T04:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,13.4,365.58,1h-entry-gpt-proxy,gpt_proxy-0014
2023-01-06T13:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,12.73,365.58,SL,gpt_proxy-0014
2023-01-06T16:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,1264.19,3.766,1h-entry-gpt-proxy,gpt_proxy-0015
2023-01-11T23:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,1389.39,3.766,TP,gpt_proxy-0015
2023-01-12T00:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,16.9,294.83,1h-entry-gpt-proxy,gpt_proxy-0016
2023-01-12T08:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,16.054999999999996,294.83,SL,gpt_proxy-0016
2023-01-12T09:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,1400.03,3.459,1h-entry-gpt-proxy,gpt_proxy-0017
2023-01-14T11:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,1530.09,3.459,TP,gpt_proxy-0017
2023-01-16T06:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,24.64,205.08,1h-entry-gpt-proxy,gpt_proxy-0018
2023-01-16T08:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,23.407999999999998,205.08,SL,gpt_proxy-0018
2023-01-16T18:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,1572.55,3.123,1h-entry-gpt-proxy,gpt_proxy-0019
2023-01-31T11:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,1570.91,3.123,momentum-off,gpt_proxy-0019
2023-01-31T13:00:00.000Z,LINK,enter,trend,gpt_proxy,0.5,15.866,308.51,1h-entry-gpt-proxy,gpt_proxy-0020
2023-01-31T14:00:00.000Z,LINK,exit,trend,gpt_proxy,0.5,15.0727,308.51,SL,gpt_proxy-0020
2023-01-31T16:00:00.000Z,LINK,enter,trend,gpt_proxy,0.5,15.883,299.58,1h-entry-gpt-proxy,gpt_proxy-0021
2023-01-31T17:00:00.000Z,LINK,exit,trend,gpt_proxy,0.5,15.088849999999999,299.58,SL,gpt_proxy-0021
2023-01-31T18:00:00.000Z,LINK,enter,trend,gpt_proxy,0.5,15.828,292.22,1h-entry-gpt-proxy,gpt_proxy-0022
2023-01-31T19:00:00.000Z,LINK,exit,trend,gpt_proxy,0.5,15.036599999999998,292.22,SL,gpt_proxy-0022
2023-01-31T20:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,1586.96,2.833,1h-entry-gpt-proxy,gpt_proxy-0023
2023-02-01T11:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,1580.87,2.833,momentum-off,gpt_proxy-0023
2023-02-01T21:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,24.8,180.4,1h-entry-gpt-proxy,gpt_proxy-0024
2023-02-03T11:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,24.49,180.4,momentum-off,gpt_proxy-0024
2023-02-03T15:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,1663.93,2.664,1h-entry-gpt-proxy,gpt_proxy-0025
2023-02-09T19:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,1580.7335,2.664,SL,gpt_proxy-0025
2023-02-14T14:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,21.95,196.31,1h-entry-gpt-proxy,gpt_proxy-0026
2023-02-15T11:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,22.11,196.31,sma-break,gpt_proxy-0026
2023-02-15T12:00:00.000Z,AVAX,enter,trend,gpt_proxy,0.5,42.25,102.05,1h-entry-gpt-proxy,gpt_proxy-0027
2023-02-15T13:00:00.000Z,AVAX,exit,trend,gpt_proxy,0.5,40.137499999999996,102.05,SL,gpt_proxy-0027
2023-02-15T14:00:00.000Z,SOL,enter,trend,gpt_proxy,0.5,22.34,187.61,1h-entry-gpt-proxy,gpt_proxy-0028
2023-02-17T11:00:00.000Z,SOL,exit,trend,gpt_proxy,0.5,22.6,187.61,sma-break,gpt_proxy-0028
2023-02-17T16:00:00.000Z,ETH,enter,trend,gpt_proxy,0.5,1672.92,2.512,1h-entry-gpt-proxy,gpt_proxy-0029
2023-02-24T16:00:00.000Z,ETH,exit,trend,gpt_proxy,0.5,1589.274,2.512,SL,gpt_proxy-0029
