trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
gpt_proxy-0001,trend,gpt_proxy,SOL,2022-01-12T23:00:00.000Z,2022-01-13T12:00:00.000Z,151.51,153.69,33,71.9399999999996,30.214799999999997,41.7251999999996,13,1h-entry-gpt-proxy,momentum-off
gpt_proxy-0002,trend,gpt_proxy,ETH,2022-01-14T21:00:00.000Z,2022-01-15T12:00:00.000Z,3331.04,3282.8,1.5070000000000001,-72.69768000000022,29.901170640000004,-102.59885064000022,15,1h-entry-gpt-proxy,momentum-off
gpt_proxy-0003,trend,gpt_proxy,ETH,2022-01-15T15:00:00.000Z,2022-01-16T12:00:00.000Z,3361.97,3332.14,1.478,-44.08874000000014,29.681683739999997,-73.77042374000014,21,1h-entry-gpt-proxy,momentum-off
gpt_proxy-0004,trend,gpt_proxy,SOL,2022-01-16T14:00:00.000Z,2022-01-17T03:00:00.000Z,151.22,143.659,32.61,-246.56421000000046,28.84801257,-275.41222257000044,13,1h-entry-gpt-proxy,SL
gpt_proxy-0005,trend,gpt_proxy,SOL,2022-01-20T14:00:00.000Z,2022-01-20T21:00:00.000Z,141.57,134.49149999999997,33.86,-239.67801000000054,28.04232717,-267.72033717000056,7,1h-entry-gpt-proxy,SL
gpt_proxy-0006,trend,gpt_proxy,ETH,2022-01-26T10:00:00.000Z,2022-01-27T00:00:00.000Z,2526.1,2484.44,1.845,-76.86269999999968,27.7333389,-104.59603889999968,14,1h-entry-gpt-proxy,sma-break
gpt_proxy-0007,trend,gpt_proxy,ETH,2022-01-28T20:00:00.000Z,2022-01-29T12:00:00.000Z,2509.44,2574.28,1.836,119.04623999999967,28.001129760000005,91.04511023999967,16,1h-entry-gpt-proxy,sma-break
gpt_proxy-0008,trend,gpt_proxy,SOL,2022-01-29T13:00:00.000Z,2022-01-30T12:00:00.000Z,98.17,95.35,47.410000000000004,-133.69620000000032,27.5243496,-161.2205496000003,23,1h-entry-gpt-proxy,sma-break
gpt_proxy-0009,trend,gpt_proxy,ETH,2022-01-31T15:00:00.000Z,2022-02-01T13:00:00.000Z,2620.66,2791.61,1.745,298.30775000000085,28.33323345,269.9745165500008,21,1h-entry-gpt-proxy,sma-break
gpt_proxy-0010,trend,gpt_proxy,ETH,2022-02-04T06:00:00.000Z,2022-02-05T13:00:00.000Z,2796.79,3023.07,1.683,380.82924,29.384473140000004,351.44476686,31,1h-entry-gpt-proxy,TP
gpt_proxy-0011,trend,gpt_proxy,ETH,2022-02-06T23:00:00.000Z,2022-02-11T22:00:00.000Z,3054.99,2902.2405,1.598,-244.09370099999978,28.558963017000004,-272.6526640169998,119,1h-entry-gpt-proxy,SL
gpt_proxy-0012,trend,gpt_proxy,AVAX,2022-02-12T16:00:00.000Z,2023-01-01T00:00:00.000Z,18.18,17.270999999999997,261.17,-237.4035300000005,27.77621301,-265.1797430100005,7726,1h-entry-gpt-proxy,SL
gpt_proxy-0013,trend,gpt_proxy,SOL,2023-01-02T03:00:00.000Z,2023-01-02T23:00:00.000Z,9.99,11.28,462.01,595.9928999999993,29.4808581,566.5120418999993,20,1h-entry-gpt-proxy,sma-break
gpt_proxy-0014,trend,gpt_proxy,SOL,2023-01-04T04:00:00.000Z,2023-01-06T13:00:00.000Z,13.4,12.73,365.58,-244.9386000000004,28.6578162,-273.5964162000004,57,1h-entry-gpt-proxy,SL
gpt_proxy-0015,trend,gpt_proxy,ETH,2023-01-06T16:00:00.000Z,2023-01-11T23:00:00.000Z,1264.19,1389.39,3.766,471.5032000000001,29.980146840000003,441.52305316000013,127,1h-entry-gpt-proxy,TP
gpt_proxy-0016,trend,gpt_proxy,SOL,2023-01-12T00:00:00.000Z,2023-01-12T08:00:00.000Z,16.9,16.054999999999996,294.83,-249.13135000000057,29.148367949999994,-278.27971795000053,8,1h-entry-gpt-proxy,SL
