trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
no_gpt-0001,trend,no_gpt,SOL,2022-01-12T23:00:00.000Z,2022-01-13T12:00:00.000Z,151.51,153.69,33,71.9399999999996,30.214799999999997,41.7251999999996,13,1h-entry-no-gpt,momentum-off
no_gpt-0002,trend,no_gpt,ETH,2022-01-14T21:00:00.000Z,2022-01-15T12:00:00.000Z,3331.04,3282.8,1.5070000000000001,-72.69768000000022,29.901170640000004,-102.59885064000022,15,1h-entry-no-gpt,momentum-off
no_gpt-0003,trend,no_gpt,ETH,2022-01-15T15:00:00.000Z,2022-01-16T12:00:00.000Z,3361.97,3332.14,1.478,-44.08874000000014,29.681683739999997,-73.77042374000014,21,1h-entry-no-gpt,momentum-off
no_gpt-0004,trend,no_gpt,SOL,2022-01-16T14:00:00.000Z,2022-01-17T03:00:00.000Z,151.22,143.659,32.61,-246.56421000000046,28.84801257,-275.41222257000044,13,1h-entry-no-gpt,SL
no_gpt-0005,trend,no_gpt,SOL,2022-01-20T14:00:00.000Z,2022-01-20T21:00:00.000Z,141.57,134.49149999999997,33.86,-239.67801000000054,28.04232717,-267.72033717000056,7,1h-entry-no-gpt,SL
no_gpt-0006,trend,no_gpt,ETH,2022-01-26T10:00:00.000Z,2022-01-27T00:00:00.000Z,2526.1,2484.44,1.845,-76.86269999999968,27.7333389,-104.59603889999968,14,1h-entry-no-gpt,sma-break
no_gpt-0007,trend,no_gpt,ETH,2022-01-28T20:00:00.000Z,2022-01-29T12:00:00.000Z,2509.44,2574.28,1.836,119.04623999999967,28.001129760000005,91.04511023999967,16,1h-entry-no-gpt,sma-break
no_gpt-0008,trend,no_gpt,SOL,2022-01-29T13:00:00.000Z,2022-01-30T12:00:00.000Z,98.17,95.35,47.410000000000004,-133.69620000000032,27.5243496,-161.2205496000003,23,1h-entry-no-gpt,sma-break
no_gpt-0009,trend,no_gpt,ETH,2022-01-31T15:00:00.000Z,2022-02-01T13:00:00.000Z,2620.66,2791.61,1.745,298.30775000000085,28.33323345,269.9745165500008,21,1h-entry-no-gpt,sma-break
no_gpt-0010,trend,no_gpt,ETH,2022-02-04T06:00:00.000Z,2022-02-05T13:00:00.000Z,2796.79,3023.07,1.683,380.82924,29.384473140000004,351.44476686,31,1h-entry-no-gpt,TP
no_gpt-0011,trend,no_gpt,ETH,2022-02-06T23:00:00.000Z,2022-02-11T22:00:00.000Z,3054.99,2902.2405,1.598,-244.09370099999978,28.558963017000004,-272.6526640169998,119,1h-entry-no-gpt,SL
