time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,INJ,enter,trend,strict6,1,4.417,2263.98,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,INJ,exit,trend,trend,1,3.644,2263.98,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,INJ,enter,trend,strict6,1,4.77,1718.06,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-03-28T00:00:00.000Z,INJ,exit,trend,trend,1,3.794,1718.06,sma-break,retq22-0002
2023-04-04T00:00:00.000Z,INJ,enter,trend,strict6,1,5.872,1102.55,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-04-22T12:00:00.000Z,INJ,exit,trend,trend,1,7.224,1102.55,risk-off,retq22-0003
2023-04-26T00:00:00.000Z,INJ,enter,trend,strict6,1,8.272,957.63,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-05-01T12:00:00.000Z,INJ,exit,trend,trend,1,7.818,957.63,off22-strong,retq22-0004
2023-05-29T00:00:00.000Z,INJ,enter,trend,strict6,1,7.085,1050.18,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-05-29T12:00:00.000Z,INJ,exit,trend,trend,1,7.545,1050.18,risk-off,retq22-0005
2023-07-01T00:00:00.000Z,INJ,enter,trend,strict6,1,8.024,981.74,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-07-24T12:00:00.000Z,INJ,exit,trend,trend,1,8.166,981.74,sma-break,retq22-0006
2023-10-02T12:00:00.000Z,INJ,enter,trend,strict6,1,7.783,1023.9300000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-10-11T00:00:00.000Z,INJ,exit,trend,trend,1,7.339,1023.9300000000001,sma-break,retq22-0007
2023-10-19T00:00:00.000Z,INJ,enter,trend,strict6,1,8.122,919.5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0008
2023-11-18T12:00:00.000Z,INJ,exit,trend,trend,1,15.69,919.5,sma-break,retq22-0008
2023-12-02T00:00:00.000Z,INJ,enter,trend,strict6,1,17.963,799.49,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2023-12-04T12:00:00.000Z,INJ,exit,trend,trend,1,16.533,799.49,sma-break,retq22-0009
2023-12-13T00:00:00.000Z,INJ,enter,trend,strict6,1,25.627,512.55,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0010
2024-01-03T12:00:00.000Z,INJ,exit,trend,trend,1,36,512.55,sma-break,retq22-0010
2024-01-09T12:00:00.000Z,INJ,enter,trend,strict6,1,42.317,433.8,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0011
2024-01-10T12:00:00.000Z,INJ,exit,trend,trend,1,38.057,433.8,sma-break,retq22-0011
2024-02-11T12:00:00.000Z,INJ,enter,trend,strict6,1,35.89,457.08,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0012
2024-02-16T00:00:00.000Z,INJ,exit,trend,trend,1,34.13,457.08,sma-break,retq22-0012
2024-02-22T12:00:00.000Z,INJ,enter,trend,strict6,1,35.1,441.71000000000004,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0013
2024-02-23T00:00:00.000Z,INJ,exit,trend,trend,1,34.14,441.71000000000004,sma-break,retq22-0013
2024-02-28T00:00:00.000Z,INJ,enter,trend,strict6,1,39.96,375.08,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0014
2024-03-17T00:00:00.000Z,INJ,exit,trend,trend,1,40.72,375.08,sma-break,retq22-0014
2024-05-26T00:00:00.000Z,INJ,enter,trend,strict6,1,25.34,599.15,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0015
2024-05-31T00:00:00.000Z,INJ,exit,trend,trend,1,24.92,599.15,sma-break,retq22-0015
2024-06-06T00:00:00.000Z,INJ,enter,trend,strict6,1,26.8,553.75,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0016
2024-06-14T00:00:00.000Z,INJ,exit,trend,trend,1,28.84,553.75,off22-strong,retq22-0016
2024-07-20T00:00:00.000Z,INJ,enter,trend,strict6,1,26.4,601.4300000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0017
2024-07-31T00:00:00.000Z,INJ,exit,trend,trend,1,23.18,601.4300000000001,sma-break,retq22-0017
2024-08-27T12:00:00.000Z,INJ,enter,trend,strict6,1,20.43,678.01,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0018
2024-08-28T00:00:00.000Z,INJ,exit,trend,trend,1,19,678.01,risk-off,retq22-0018
2024-09-18T12:00:00.000Z,INJ,enter,trend,strict6,1,18.68,685.33,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0019
2024-10-02T00:00:00.000Z,INJ,exit,trend,trend,1,20.69,685.33,sma-break,retq22-0019
2024-10-16T00:00:00.000Z,INJ,enter,trend,strict6,1,21.4,658.8100000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0020
2024-10-16T12:00:00.000Z,INJ,exit,trend,trend,1,21.03,658.8100000000001,sma-break,retq22-0020
2024-11-07T00:00:00.000Z,INJ,enter,trend,strict6,1,21.22,648.96,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0021
2024-12-10T00:00:00.000Z,INJ,exit,trend,trend,1,28,648.96,sma-break,retq22-0021
2025-01-06T12:00:00.000Z,INJ,enter,trend,strict6,1,25.87,698.69,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0022
2025-01-08T00:00:00.000Z,INJ,exit,trend,trend,1,23.8,698.69,risk-off,retq22-0022
2025-04-21T00:00:00.000Z,INJ,enter,trend,strict6,1,8.53,1937.24,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0023
2025-05-06T12:00:00.000Z,INJ,exit,trend,trend,1,9.04,1937.24,sma-break,retq22-0023
2025-05-13T00:00:00.000Z,INJ,enter,trend,strict6,1,13.76,1265.3,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0024
2025-05-31T00:00:00.000Z,INJ,exit,trend,trend,1,12.19,1265.3,sma-break,retq22-0024
