trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,INJ,2023-02-19T00:00:00.000Z,2023-02-25T00:00:00.000Z,4.417,3.644,2263.98,-1750.0565399999996,54.74982834,-1804.8063683399996,12,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,INJ,2023-03-18T12:00:00.000Z,2023-03-28T00:00:00.000Z,4.77,3.794,1718.06,-1676.8265599999995,44.14039752,-1720.9669575199996,19,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0003,trend,trend,INJ,2023-04-04T00:00:00.000Z,2023-04-22T12:00:00.000Z,5.872,7.224,1102.55,1490.6476000000011,43.316984399999996,1447.3306156000012,37,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0004,trend,trend,INJ,2023-04-26T00:00:00.000Z,2023-05-01T12:00:00.000Z,8.272,7.818,957.63,-434.7640200000005,46.2248001,-480.9888201000005,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,off22-strong
retq22-0005,trend,trend,INJ,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,7.085,7.545,1050.18,483.08280000000013,46.0924002,436.99039980000015,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0006,trend,trend,INJ,2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,8.024,8.166,981.74,139.40708000000086,47.683111800000006,91.72396820000085,47,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0007,trend,trend,INJ,2023-10-02T12:00:00.000Z,2023-10-11T00:00:00.000Z,7.783,7.339,1023.9300000000001,-454.6249200000002,46.45160838000001,-501.07652838000024,17,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,INJ,2023-10-19T00:00:00.000Z,2023-11-18T12:00:00.000Z,8.122,15.69,919.5,6958.776,65.685402,6893.090598,61,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,INJ,2023-12-02T00:00:00.000Z,2023-12-04T12:00:00.000Z,17.963,16.533,799.49,-1143.2706999999991,82.73762112,-1226.0083211199992,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,INJ,2023-12-13T00:00:00.000Z,2024-01-03T12:00:00.000Z,25.627,36,512.55,5316.68115,94.76075655,5221.92039345,43,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
