time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,INJ,enter,trend,strict6,1,4.417,2263.98,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,INJ,exit,trend,trend,1,3.644,2263.98,sma-break,retq22-0001
2023-04-04T00:00:00.000Z,INJ,enter,trend,strict6,1,5.872,1395.63,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0002
2023-04-22T12:00:00.000Z,INJ,exit,trend,trend,1,7.224,1395.63,risk-off,retq22-0002
2023-04-26T00:00:00.000Z,INJ,enter,trend,strict6,1,8.272,1212.19,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0003
2023-05-01T12:00:00.000Z,INJ,exit,trend,trend,1,7.818,1212.19,off22-strong,retq22-0003
2023-05-29T00:00:00.000Z,INJ,enter,trend,strict6,1,7.085,1329.34,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0004
2023-05-29T12:00:00.000Z,INJ,exit,trend,trend,1,7.545,1329.34,risk-off,retq22-0004
2023-10-19T00:00:00.000Z,INJ,enter,trend,strict6,1,8.122,1227.72,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0005
2023-11-18T12:00:00.000Z,INJ,exit,trend,trend,1,15.69,1227.72,sma-break,retq22-0005
2024-02-11T12:00:00.000Z,INJ,enter,trend,strict6,1,35.89,534.27,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0006
2024-02-16T00:00:00.000Z,INJ,exit,trend,trend,1,34.13,534.27,sma-break,retq22-0006
2024-11-23T12:00:00.000Z,INJ,enter,trend,strict6,1,28.93,626.4300000000001,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0007
2024-12-10T00:00:00.000Z,INJ,exit,trend,trend,1,28,626.4300000000001,sma-break,retq22-0007
2025-07-18T00:00:00.000Z,INJ,enter,trend,strict6,1,14.03,1242.56,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0008
2025-08-01T00:00:00.000Z,INJ,exit,trend,trend,1,13.2,1242.56,sma-break,retq22-0008
2026-03-17T00:00:00.000Z,INJ,enter,trend,strict6,1,3.329,4896.45,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0009
2026-03-19T12:00:00.000Z,INJ,exit,trend,trend,1,3.002,4896.45,sma-break,retq22-0009
