time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,INJ,enter,trend,strict6,1,4.417,2263.98,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,INJ,exit,trend,trend,1,3.644,2263.98,symbol-weak-exit,retq22-0001
2023-04-04T00:00:00.000Z,INJ,enter,trend,strict6,1,5.872,1395.63,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0002
2023-04-22T12:00:00.000Z,INJ,exit,trend,trend,1,7.224,1395.63,risk-off,retq22-0002
2023-04-26T00:00:00.000Z,INJ,enter,trend,strict6,1,8.272,1212.19,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0003
2023-04-26T12:00:00.000Z,INJ,exit,trend,trend,1,8.435,1212.19,symbol-weak-exit,retq22-0003
2023-05-29T00:00:00.000Z,INJ,enter,trend,strict6,1,7.085,1434.59,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0004
2023-05-29T12:00:00.000Z,INJ,exit,trend,trend,1,7.545,1434.59,risk-off,retq22-0004
2023-10-19T00:00:00.000Z,INJ,enter,trend,strict6,1,8.122,1324.92,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0005
2023-11-14T00:00:00.000Z,INJ,exit,trend,trend,1,15.418,1324.92,symbol-weak-exit,retq22-0005
2024-02-11T12:00:00.000Z,INJ,enter,trend,strict6,1,35.89,566.5600000000001,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0006
2024-02-12T00:00:00.000Z,INJ,exit,trend,trend,1,35.17,566.5600000000001,symbol-weak-exit,retq22-0006
2024-11-23T12:00:00.000Z,INJ,enter,trend,strict6,1,28.93,684.59,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0007
2024-11-26T12:00:00.000Z,INJ,exit,trend,trend,1,27.33,684.59,symbol-weak-exit,retq22-0007
2025-07-18T00:00:00.000Z,INJ,enter,trend,strict6,1,14.03,1325.33,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0008
2025-07-24T12:00:00.000Z,INJ,exit,trend,trend,1,13.65,1325.33,symbol-weak-exit,retq22-0008
2026-03-17T00:00:00.000Z,INJ,enter,trend,strict6,1,3.329,5401.26,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0009
2026-03-19T12:00:00.000Z,INJ,exit,trend,trend,1,3.002,5401.26,symbol-weak-exit,retq22-0009
