time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,INJ,enter,trend,strict6,1,4.417,2263.98,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,INJ,exit,trend,trend,1,3.644,2263.98,sma-break,retq22-0001
2023-04-04T00:00:00.000Z,INJ,enter,trend,strict6,1,5.872,1395.63,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0002
2023-04-19T00:00:00.000Z,INJ,exit,trend,trend,1,8.623,1395.63,trend-profit-trailing,retq22-0002
2023-04-26T00:00:00.000Z,INJ,enter,trend,strict6,1,8.272,1447.51,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0003
2023-05-01T12:00:00.000Z,INJ,exit,trend,trend,1,7.818,1447.51,off22-strong,retq22-0003
2023-05-29T00:00:00.000Z,INJ,enter,trend,strict6,1,7.085,1587.41,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0004
2023-05-29T12:00:00.000Z,INJ,exit,trend,trend,1,7.545,1587.41,risk-off,retq22-0004
2023-10-19T00:00:00.000Z,INJ,enter,trend,strict6,1,8.122,1466.06,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0005
2023-10-25T00:00:00.000Z,INJ,exit,trend,trend,1,11.797,1466.06,trend-profit-trailing,retq22-0005
2024-02-11T12:00:00.000Z,INJ,enter,trend,strict6,1,35.89,479.45,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0006
2024-02-16T00:00:00.000Z,INJ,exit,trend,trend,1,34.13,479.45,sma-break,retq22-0006
2024-11-23T12:00:00.000Z,INJ,enter,trend,strict6,1,28.93,562.14,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0007
2024-12-09T12:00:00.000Z,INJ,exit,trend,trend,1,30.31,562.14,trend-profit-trailing,retq22-0007
2025-07-18T00:00:00.000Z,INJ,enter,trend,strict6,1,14.03,1207.33,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0008
2025-08-01T00:00:00.000Z,INJ,exit,trend,trend,1,13.2,1207.33,sma-break,retq22-0008
2026-03-17T00:00:00.000Z,INJ,enter,trend,strict6,1,3.329,4757.62,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0009
2026-03-19T12:00:00.000Z,INJ,exit,trend,trend,1,3.002,4757.62,sma-break,retq22-0009
