period,start_equity,end_equity,return_pct
2023-02,10000,9452.366165900003,-5.476338340999975
2023-03,9452.366165900003,8536.198674300005,-9.692467214242384
2023-04,8536.198674300005,7818.236180700007,-8.410798775824802
2023-05,7818.236180700007,7673.132270700006,-1.8559673390041942
2023-06,7673.132270700006,7267.090164100006,-5.2917386573730685
2023-07,7410.032746000006,6571.543165700007,-11.315598851470964
2023-08,6571.543165700007,6571.543165700007,0
2023-09,6571.543165700007,6571.543165700007,0
2023-10,6571.543165700007,7257.69141790001,10.441204370098855
2023-11,7540.910005500009,10111.66333910001,34.09075737178944
2023-12,10204.25403120001,11043.645063800013,8.225893142541585
2024-01,10579.368684000012,9756.600416000012,-7.777101758863314
2024-02,9756.600416000012,12036.592235300013,23.368711662732487
2024-03,12281.144371300014,21289.83368120002,73.35382630101266
2024-04,21289.83368120002,21289.83368120002,0
2024-05,21289.83368120002,20383.04134860002,-4.259273915327677
2024-06,20383.04134860002,20383.04134860002,0
2024-07,20383.04134860002,17134.32664860003,-15.938321688304512
2024-08,17134.32664860003,16308.59727060003,-4.819152774045343
2024-09,16308.59727060003,21941.623485000033,34.540225139747726
2024-10,22248.634680000032,17926.009933400033,-19.428719149610274
2024-11,17926.009933400033,23934.179508200035,33.516491383871674
2024-12,23765.446131500034,22343.264813600035,-5.984239934023206
2025-01,22343.264813600035,20079.610841600035,-10.131258752401063
2025-02,20079.610841600035,20079.610841600035,0
2025-03,20079.610841600035,20079.610841600035,0
2025-04,20079.610841600035,18657.160451000032,-7.0840535796293125
2025-05,19395.260886800035,13190.089319900038,-31.993235889510995
2025-06,13190.089319900038,13190.089319900038,0
2025-07,13190.089319900038,15782.042824400041,19.650765371160105
2025-08,15782.042824400041,13808.021790900042,-12.508019750447241
2025-09,13808.021790900042,14649.403360500042,6.093425853039269
2025-10,14649.403360500042,14113.851212400044,-3.6557949489194552
2025-11,14113.851212400044,14113.851212400044,0
2025-12,14113.851212400044,14113.851212400044,0
2026-01,14113.851212400044,13245.613162800046,-6.1516735335653046
2026-02,13245.613162800046,13245.613162800046,0
2026-03,13245.613162800046,11306.159313600047,-14.642235322460607
2026-04,11306.159313600047,12004.727412400047,6.178650763922122
