trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,NEAR,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,2.433,2.314,4110.1,-489.10189999999784,58.5319341,-547.6338340999978,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,NEAR,2023-03-18T12:00:00.000Z,2023-03-21T00:00:00.000Z,2.193,1.993,4310.2,-862.039999999999,54.1274916,-916.167491599999,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0003,trend,trend,NEAR,2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,2.221,2.047,3843.4,-668.7515999999987,49.210893600000006,-717.9624935999987,12,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0004,trend,trend,NEAR,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1.667,1.646,4690,-98.49000000000069,46.613910000000004,-145.1039100000007,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0005,trend,trend,NEAR,2023-06-25T12:00:00.000Z,2023-07-07T00:00:00.000Z,1.445,1.311,5310.1,-711.5534000000007,43.9039068,-755.4573068000007,23,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0006,trend,trend,NEAR,2023-07-17T12:00:00.000Z,2023-07-24T12:00:00.000Z,1.449,1.385,4774.1,-305.54240000000027,40.589398200000005,-346.1317982000003,14,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0007,trend,trend,NEAR,2023-10-02T12:00:00.000Z,2023-10-03T12:00:00.000Z,1.149,1.11,5719.3,-223.05269999999928,38.7596961,-261.81239609999926,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,NEAR,2023-10-24T12:00:00.000Z,2023-12-18T12:00:00.000Z,1.155,2.115,5462.900000000001,5244.384000000003,53.59104900000001,5190.792951000003,110,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,NEAR,2023-12-24T00:00:00.000Z,2024-01-06T12:00:00.000Z,3.902,3.332,2947.3,-1679.9610000000011,63.962304599999996,-1743.923304600001,27,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,NEAR,2024-02-11T12:00:00.000Z,2024-03-30T00:00:00.000Z,3.182,6.974,3066.1000000000004,11626.651200000004,93.41793480000001,11533.233265200004,95,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0011,trend,trend,NEAR,2024-05-20T12:00:00.000Z,2024-05-30T00:00:00.000Z,7.874,7.585,2703.8,-781.3981999999996,125.3941326,-906.7923325999997,19,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0012,trend,trend,NEAR,2024-07-20T00:00:00.000Z,2024-07-29T00:00:00.000Z,6.435,5.445,3167.5,-3135.824999999997,112.8897,-3248.7146999999973,18,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0013,trend,trend,NEAR,2024-08-27T12:00:00.000Z,2024-08-28T00:00:00.000Z,4.726,4.526,3625.5,-725.1000000000022,100.629378,-825.7293780000022,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0014,trend,trend,NEAR,2024-09-18T12:00:00.000Z,2024-10-03T00:00:00.000Z,3.972,4.626,4105.8,2685.1932000000015,105.9050052,2579.2881948000013,29,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0015,trend,trend,NEAR,2024-10-16T00:00:00.000Z,2024-10-16T12:00:00.000Z,5.065,4.99,3729,-279.6750000000029,112.485285,-392.1602850000029,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
