period,start_equity,end_equity,return_pct
2023-02,10000,10000,0
2023-03,10000,10000,0
2023-04,10000,10000,0
2023-05,10000,10000,0
2023-06,10000,10000,0
2023-07,10000,10000,0
2023-08,10000,10000,0
2023-09,10000,10000,0
2023-10,10000,11502.396766000003,15.023967660000025
2023-11,11951.262117999999,13763.987578000002,15.1676487562751
2023-12,13763.987578000002,12798.682821400003,-7.013263788053081
2024-01,12798.682821400003,12798.682821400003,0
2024-02,12798.682821400003,12697.830178600007,-0.787992359896339
2024-03,12697.830178600007,12697.830178600007,0
2024-04,12697.830178600007,12697.830178600007,0
2024-05,12697.830178600007,12697.830178600007,0
2024-06,12697.830178600007,12697.830178600007,0
2024-07,12697.830178600007,11018.311400600009,-13.226817136289437
2024-08,11018.311400600009,11018.311400600009,0
2024-09,11018.311400600009,11365.975590500011,3.1553309509937177
2024-10,11525.119223000012,10234.994842200012,-11.19402199523779
2024-11,10234.994842200012,9969.476344000012,-2.5942221006818533
2024-12,9969.476344000012,9969.476344000012,0
2025-01,9969.476344000012,9969.476344000012,0
2025-02,9969.476344000012,9969.476344000012,0
2025-03,9969.476344000012,9969.476344000012,0
2025-04,9969.476344000012,9969.476344000012,0
2025-05,9969.476344000012,9271.34308150001,-7.002707448322132
2025-06,9271.34308150001,9271.34308150001,0
2025-07,9271.34308150001,9271.34308150001,0
2025-08,9271.34308150001,9271.34308150001,0
2025-09,9271.34308150001,9271.34308150001,0
2025-10,9271.34308150001,9271.34308150001,0
2025-11,9271.34308150001,9271.34308150001,0
2025-12,9271.34308150001,9271.34308150001,0
2026-01,9271.34308150001,9271.34308150001,0
2026-02,9271.34308150001,9271.34308150001,0
2026-03,9271.34308150001,8242.386436500012,-11.098247966394137
2026-04,8242.386436500012,8242.386436500012,0
