time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-10-24T12:00:00.000Z,NEAR,enter,trend,strict6,1,1.155,8658,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0001
2023-11-07T12:00:00.000Z,NEAR,exit,trend,trend,1,1.503,8658,trend-profit-trailing,retq22-0001
2023-12-24T00:00:00.000Z,NEAR,enter,trend,strict6,1,3.902,3317.2000000000003,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0002
2023-12-28T00:00:00.000Z,NEAR,exit,trend,trend,1,4.085,3317.2000000000003,trend-profit-trailing,retq22-0002
2024-02-11T12:00:00.000Z,NEAR,enter,trend,strict6,1,3.182,4233.6,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0003
2024-03-05T00:00:00.000Z,NEAR,exit,trend,trend,1,4.341,4233.6,trend-profit-trailing,retq22-0003
2024-07-20T00:00:00.000Z,NEAR,enter,trend,strict6,1,6.435,2841.1000000000004,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0004
2024-07-29T00:00:00.000Z,NEAR,exit,trend,trend,1,5.445,2841.1000000000004,sma-break,retq22-0004
2024-09-24T00:00:00.000Z,NEAR,enter,trend,strict6,1,5.177,2968.6000000000004,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0005
2024-10-03T00:00:00.000Z,NEAR,exit,trend,trend,1,4.626,2968.6000000000004,sma-break,retq22-0005
2024-11-23T12:00:00.000Z,NEAR,enter,trend,strict6,1,6.249,2183.6,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0006
2024-12-09T12:00:00.000Z,NEAR,exit,trend,trend,1,7.081,2183.6,trend-profit-trailing,retq22-0006
2025-05-29T12:00:00.000Z,NEAR,enter,trend,strict6,1,2.943,5224.3,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0007
2025-05-30T00:00:00.000Z,NEAR,exit,trend,trend,1,2.754,5224.3,sma-break,retq22-0007
2026-03-17T00:00:00.000Z,NEAR,enter,trend,strict6,1,1.491,9589.800000000001,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0008
2026-03-22T00:00:00.000Z,NEAR,exit,trend,trend,1,1.281,9589.800000000001,sma-break,retq22-0008
