time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,420.34000000000003,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.315,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-04-12T00:00:00.000Z,ETH,exit,trend,trend,1,1889.86,5.315,trend-rotate,retq22-0002
2023-04-12T00:00:00.000Z,SOL,enter,trend,strict6,1,22.99,434.40000000000003,trend-rotate-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0003
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,434.40000000000003,sma-break,retq22-0003
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,4.98,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,4.98,risk-off,retq22-0004
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.912,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-06-30T00:00:00.000Z,ETH,exit,trend,trend,1,1851.99,4.912,trend-rotate,retq22-0005
2023-06-30T00:00:00.000Z,SOL,enter,trend,strict6,1,18,502.3,trend-rotate-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0006
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,502.3,trend-switch,retq22-0006
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,7.101,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,7.101,sma-break,retq22-0007
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,545.27,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,545.27,off22-strong,retq22-0008
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,6.857,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0009
2023-07-30T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1880.45,6.857,range-time,retq22-0009
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,6.966,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0010
2023-08-04T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1834.6,6.966,range-time,retq22-0010
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,6.908,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0011
2023-08-10T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1855.36,6.908,range-time,retq22-0011
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,7.992,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0012
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,7.992,mean-revert,retq22-0012
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,543.34,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0013
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,543.34,sma-break,retq22-0013
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,491,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0014
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,491,trend-switch,retq22-0014
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,11.042,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0015
2023-11-08T12:00:00.000Z,ETH,exit,trend,trend,1,1880.88,11.042,trend-rotate,retq22-0015
2023-11-08T12:00:00.000Z,SOL,enter,trend,strict6,1,43.3,476.82,trend-rotate-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0016
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,476.82,trend-switch,retq22-0016
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,14.841000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0017
2023-11-17T00:00:00.000Z,ETH,exit,trend,trend,1,1961.77,14.841000000000001,trend-rotate,retq22-0017
2023-11-17T00:00:00.000Z,AVAX,enter,trend,strict6,1,21.71,1332.96,trend-rotate-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0018
2023-11-26T12:00:00.000Z,AVAX,exit,trend,trend,1,21.05,1332.96,trend-switch,retq22-0018
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,13.377,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0019
2023-12-07T12:00:00.000Z,ETH,exit,trend,trend,1,2236.04,13.377,trend-switch,retq22-0019
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1121.4,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0020
2023-12-22T12:00:00.000Z,AVAX,exit,trend,trend,1,44.59,1121.4,trend-rotate,retq22-0020
2023-12-22T12:00:00.000Z,SOL,enter,trend,strict6,1,93.79,530.59,trend-rotate-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0021
2023-12-24T00:00:00.000Z,SOL,exit,trend,trend,1,107.88,530.59,trend-switch,retq22-0021
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,24.659,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0022
2023-12-26T12:00:00.000Z,ETH,exit,trend,trend,1,2242.6,24.659,sma-break,retq22-0022
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,511.01,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0023
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,511.01,sma-break,retq22-0023
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,20.861,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0024
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,20.861,risk-off,retq22-0024
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,476.91,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0025
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,476.91,trend-rotate,retq22-0025
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,18.665,trend-rotate-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0026
2024-03-10T00:00:00.000Z,ETH,exit,trend,trend,1,3905.2,18.665,trend-switch,retq22-0026
2024-03-10T00:00:00.000Z,SOL,enter,trend,strict6,1,144.3,502.54,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0027
2024-04-02T12:00:00.000Z,SOL,exit,trend,trend,1,179.87,502.54,sma-break,retq22-0027
2024-04-06T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,46.92,1916.1200000000001,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0028
2024-04-08T12:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,50.43,1916.1200000000001,range-time,retq22-0028
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,540.57,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0029
2024-05-26T12:00:00.000Z,SOL,exit,trend,trend,1,164.03,540.57,trend-rotate,retq22-0029
2024-05-26T12:00:00.000Z,ETH,enter,trend,strict6,1,3813.79,23.104,trend-rotate-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0030
2024-06-09T00:00:00.000Z,ETH,exit,trend,trend,1,3681.58,23.104,sma-break,retq22-0030
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,499.89,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0031
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,499.89,sma-break,retq22-0031
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,30.851,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0032
2024-09-29T12:00:00.000Z,ETH,exit,trend,trend,1,2652.49,30.851,trend-switch,retq22-0032
2024-09-29T12:00:00.000Z,SOL,enter,trend,strict6,1,156.76,518.89,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0033
2024-10-03T00:00:00.000Z,SOL,exit,trend,trend,1,140.18,518.89,sma-break,retq22-0033
2024-10-05T00:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,26.27,2751.28,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0034
2024-10-07T00:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,26.93,2751.28,mean-revert,retq22-0034
2024-10-16T00:00:00.000Z,SOL,enter,trend,strict6,1,154.76,475.91,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0035
2024-11-03T12:00:00.000Z,SOL,exit,trend,trend,1,163.62,475.91,sma-break,retq22-0035
2024-11-07T00:00:00.000Z,SOL,enter,trend,strict6,1,186.59,414.89,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0036
2024-11-12T12:00:00.000Z,SOL,exit,trend,trend,1,211.12,414.89,trend-switch,retq22-0036
2024-11-12T12:00:00.000Z,AVAX,enter,trend,strict6,1,34.43,2529.68,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0037
2024-11-18T00:00:00.000Z,AVAX,exit,trend,trend,1,34.72,2529.68,trend-switch,retq22-0037
2024-11-18T00:00:00.000Z,SOL,enter,trend,strict6,1,237.47,367.65000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0038
2024-11-23T12:00:00.000Z,SOL,exit,trend,trend,1,256.13,367.65000000000003,trend-switch,retq22-0038
2024-11-23T12:00:00.000Z,AVAX,enter,trend,strict6,1,42.31,2212.76,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0039
2024-11-29T00:00:00.000Z,AVAX,exit,trend,trend,1,42.78,2212.76,trend-switch,retq22-0039
