time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,420.34000000000003,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.315,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-04-12T12:00:00.000Z,ETH,exit,trend,trend,1,1872.67,5.315,trend-rotate,retq22-0002
2023-04-12T12:00:00.000Z,SOL,enter,trend,strict6,1,23.5,421.09000000000003,trend-rotate-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0003
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,421.09000000000003,sma-break,retq22-0003
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,4.828,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,4.828,risk-off,retq22-0004
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.761,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,4.761,trend-switch,retq22-0005
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,485.53000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0006
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,485.53000000000003,trend-switch,retq22-0006
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,6.863,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,6.863,sma-break,retq22-0007
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,527.02,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,527.02,off22-strong,retq22-0008
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,6.628,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0009
2023-07-30T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1880.45,6.628,range-time,retq22-0009
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,6.7330000000000005,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0010
2023-08-04T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1834.6,6.7330000000000005,range-time,retq22-0010
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,6.676,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0011
2023-08-10T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1855.36,6.676,range-time,retq22-0011
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,7.7250000000000005,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0012
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,7.7250000000000005,mean-revert,retq22-0012
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,525.15,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0013
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,525.15,sma-break,retq22-0013
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,474.56,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0014
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,474.56,trend-switch,retq22-0014
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,10.672,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0015
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,10.672,trend-switch,retq22-0015
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,496.99,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0016
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,496.99,trend-switch,retq22-0016
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,15.467,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0017
2023-11-20T00:00:00.000Z,ETH,exit,trend,trend,1,2011.47,15.467,trend-rotate,retq22-0017
2023-11-20T00:00:00.000Z,SOL,enter,trend,strict6,1,61.1,506.15000000000003,trend-rotate-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0018
2023-11-26T12:00:00.000Z,SOL,exit,trend,trend,1,57.86,506.15000000000003,trend-switch,retq22-0018
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,13.961,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0019
2023-12-07T12:00:00.000Z,ETH,exit,trend,trend,1,2236.04,13.961,trend-switch,retq22-0019
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1170.3700000000001,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0020
2023-12-24T00:00:00.000Z,AVAX,exit,trend,trend,1,48.04,1170.3700000000001,trend-switch,retq22-0020
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,24.245,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0021
2023-12-26T12:00:00.000Z,ETH,exit,trend,trend,1,2242.6,24.245,sma-break,retq22-0021
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,502.42,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0022
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,502.42,sma-break,retq22-0022
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,20.511,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0023
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,20.511,risk-off,retq22-0023
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,468.90000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0024
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,468.90000000000003,trend-switch,retq22-0024
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,18.352,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0025
2024-03-10T00:00:00.000Z,ETH,exit,trend,trend,1,3905.2,18.352,trend-switch,retq22-0025
2024-03-10T00:00:00.000Z,SOL,enter,trend,strict6,1,144.3,494.11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0026
2024-04-02T12:00:00.000Z,SOL,exit,trend,trend,1,179.87,494.11,sma-break,retq22-0026
2024-04-06T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,46.92,1883.95,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0027
2024-04-08T12:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,50.43,1883.95,range-time,retq22-0027
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,531.49,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0028
2024-05-31T00:00:00.000Z,SOL,exit,trend,trend,1,166.88,531.49,trend-rotate,retq22-0028
2024-05-31T00:00:00.000Z,ETH,enter,trend,strict6,1,3747.9,23.518,trend-rotate-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0029
2024-06-09T00:00:00.000Z,ETH,exit,trend,trend,1,3681.58,23.518,sma-break,retq22-0029
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,508.88,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0030
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,508.88,sma-break,retq22-0030
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,31.406000000000002,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0031
2024-09-29T12:00:00.000Z,ETH,exit,trend,trend,1,2652.49,31.406000000000002,trend-switch,retq22-0031
2024-09-29T12:00:00.000Z,SOL,enter,trend,strict6,1,156.76,528.22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0032
2024-10-03T00:00:00.000Z,SOL,exit,trend,trend,1,140.18,528.22,sma-break,retq22-0032
2024-10-05T00:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,26.27,2800.78,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0033
2024-10-07T00:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,26.93,2800.78,mean-revert,retq22-0033
2024-10-16T00:00:00.000Z,SOL,enter,trend,strict6,1,154.76,484.48,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0034
2024-11-03T12:00:00.000Z,SOL,exit,trend,trend,1,163.62,484.48,sma-break,retq22-0034
2024-11-07T00:00:00.000Z,SOL,enter,trend,strict6,1,186.59,422.35,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0035
2024-11-12T12:00:00.000Z,SOL,exit,trend,trend,1,211.12,422.35,trend-switch,retq22-0035
2024-11-12T12:00:00.000Z,AVAX,enter,trend,strict6,1,34.43,2575.2000000000003,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0036
2024-11-18T00:00:00.000Z,AVAX,exit,trend,trend,1,34.72,2575.2000000000003,trend-switch,retq22-0036
2024-11-18T00:00:00.000Z,SOL,enter,trend,strict6,1,237.47,374.26,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0037
2024-11-23T12:00:00.000Z,SOL,exit,trend,trend,1,256.13,374.26,trend-switch,retq22-0037
2024-11-23T12:00:00.000Z,AVAX,enter,trend,strict6,1,42.31,2252.57,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0038
2024-11-29T00:00:00.000Z,AVAX,exit,trend,trend,1,42.78,2252.57,trend-switch,retq22-0038
2024-11-29T00:00:00.000Z,ETH,enter,trend,strict6,1,3578.8,26.765,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0039
2024-12-04T12:00:00.000Z,ETH,exit,trend,trend,1,3729.09,26.765,trend-switch,retq22-0039
