trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,420.34000000000003,-302.64480000000003,59.0913972,-361.73619720000005,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-03-24T12:00:00.000Z,1813.16,1789.52,5.315,-125.64660000000003,57.44473260000001,-183.09133260000004,12,trend-close>sma40|mom20-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0003,trend,trend,ETH,2023-04-04T00:00:00.000Z,2023-04-06T12:00:00.000Z,1810.51,1868.68,5.222,303.7637400000003,57.638190540000004,246.12554946000031,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0004,trend,trend,ETH,2023-04-09T12:00:00.000Z,2023-04-15T00:00:00.000Z,1839.22,2099.99,5.274,1375.3009799999982,62.32618062,1312.974799379998,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0005,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,24.72,22.19,445.56,-1127.2667999999976,62.7036588,-1189.9704587999977,12,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0006,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.147,-27.69086000000061,58.859547899999995,-86.55040790000061,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0007,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-06-28T12:00:00.000Z,1918.37,1861.1,5.0760000000000005,-290.70252000000073,57.55376916000001,-348.25628916000073,6,trend-close>sma40|mom20-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0008,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,498.11,4129.331899999999,68.7242367,4060.6076632999993,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,7.041,-112.23353999999927,80.35696152,-192.59050151999926,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T00:00:00.000Z,24.52,24.76,540.6800000000001,129.76320000000123,79.93413120000002,49.82906880000121,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0011,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-30T00:00:00.000Z,1866.63,1880.45,7.1290000000000004,98.52277999999933,80.13879996000001,18.383980039999315,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0012,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-04T12:00:00.000Z,1839.9,1834.6,7.242,-38.38260000000082,79.832187,-118.21478700000083,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
