time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,420.34000000000003,symbol-weak-exit,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.315,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-03-24T12:00:00.000Z,ETH,exit,trend,trend,1,1789.52,5.315,symbol-weak-exit,retq22-0002
2023-04-04T00:00:00.000Z,ETH,enter,trend,strict6,1,1810.51,5.222,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-04-06T12:00:00.000Z,ETH,exit,trend,trend,1,1868.68,5.222,symbol-weak-exit,retq22-0003
2023-04-09T12:00:00.000Z,ETH,enter,trend,strict6,1,1839.22,5.274,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.274,trend-switch,retq22-0004
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,445.56,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0005
2023-04-21T00:00:00.000Z,SOL,exit,trend,trend,1,22.19,445.56,symbol-weak-exit,retq22-0005
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.147,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,5.147,risk-off,retq22-0006
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,5.0760000000000005,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-06-28T12:00:00.000Z,ETH,exit,trend,trend,1,1861.1,5.0760000000000005,symbol-weak-exit,retq22-0007
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,498.11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,498.11,trend-switch,retq22-0008
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,7.041,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,7.041,sma-break,retq22-0009
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,540.6800000000001,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0010
2023-07-24T00:00:00.000Z,SOL,exit,trend,trend,1,24.76,540.6800000000001,symbol-weak-exit,retq22-0010
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,7.1290000000000004,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0011
2023-07-30T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1880.45,7.1290000000000004,range-time,retq22-0011
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,7.242,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0012
2023-08-04T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1834.6,7.242,range-time,retq22-0012
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,7.181,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0013
2023-08-10T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1855.36,7.181,range-time,retq22-0013
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,8.309000000000001,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0014
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,8.309000000000001,mean-revert,retq22-0014
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,564.84,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0015
2023-10-11T00:00:00.000Z,SOL,exit,trend,trend,1,22.11,564.84,symbol-weak-exit,retq22-0015
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,530.15,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0016
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,530.15,trend-switch,retq22-0016
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,11.923,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0017
2023-11-07T12:00:00.000Z,ETH,exit,trend,trend,1,1873.4,11.923,symbol-weak-exit,retq22-0017
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,490.15000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0018
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,490.15000000000003,trend-switch,retq22-0018
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,15.255,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0019
2023-11-17T00:00:00.000Z,ETH,exit,trend,trend,1,1961.77,15.255,symbol-weak-exit,retq22-0019
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,14.268,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0020
2023-11-27T12:00:00.000Z,ETH,exit,trend,trend,1,2024.99,14.268,symbol-weak-exit,retq22-0020
2023-12-02T00:00:00.000Z,ETH,enter,trend,strict6,1,2087.24,13.758000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0021
2023-12-02T12:00:00.000Z,ETH,exit,trend,trend,1,2099.15,13.758000000000001,symbol-weak-exit,retq22-0021
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1082.53,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0022
2023-12-24T00:00:00.000Z,AVAX,exit,trend,trend,1,48.04,1082.53,trend-switch,retq22-0022
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,22.425,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0023
2023-12-24T12:00:00.000Z,ETH,exit,trend,trend,1,2288.92,22.425,symbol-weak-exit,retq22-0023
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,474.35,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0024
2024-01-03T00:00:00.000Z,SOL,exit,trend,trend,1,106.72,474.35,symbol-weak-exit,retq22-0024
2024-01-04T00:00:00.000Z,AVAX,enter,range,range-atr_snapback,1,36.79,1367.7,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0025
2024-01-06T00:00:00.000Z,AVAX,exit,range,range-atr_snapback,1,36.46,1367.7,range-time,retq22-0025
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,21.561,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0026
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,21.561,risk-off,retq22-0026
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,492.92,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0027
2024-02-12T12:00:00.000Z,SOL,exit,trend,trend,1,104.21,492.92,symbol-weak-exit,retq22-0027
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,18.22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0028
2024-02-24T12:00:00.000Z,ETH,exit,trend,trend,1,2961.53,18.22,symbol-weak-exit,retq22-0028
2024-02-28T00:00:00.000Z,ETH,enter,trend,strict6,1,3242.35,16.545,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0029
2024-03-10T00:00:00.000Z,ETH,exit,trend,trend,1,3905.2,16.545,trend-switch,retq22-0029
2024-03-10T00:00:00.000Z,SOL,enter,trend,strict6,1,144.3,445.31,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0030
2024-03-24T00:00:00.000Z,SOL,exit,trend,trend,1,172.65,445.31,symbol-weak-exit,retq22-0030
2024-03-26T12:00:00.000Z,SOL,enter,trend,strict6,1,194.8,392.5,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0031
