time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,ETH,enter,trend,strict6,1,1691.62,5.9110000000000005,trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-02-24T12:00:00.000Z,ETH,exit,trend,trend,1,1647.43,5.9110000000000005,trend-switch,retq22-0001
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,406.87,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0002
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,406.87,sma-break,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.1450000000000005,trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.1450000000000005,trend-switch,retq22-0003
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,434.65000000000003,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0004
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,434.65000000000003,sma-break,retq22-0004
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,4.982,trend-close>sma40|mom20-ok|retq22-off,retq22-0005
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,4.982,risk-off,retq22-0005
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.913,trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,4.913,trend-switch,retq22-0006
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,501.08,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0007
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,501.08,off22-strong,retq22-0007
2023-07-28T12:00:00.000Z,ETH,enter,range,range-overlay,0.5,1866.63,3.153,range-close<sma45|mom20-ok|pullback-ok|box-rebound|range-fallback,retq22-0008
2023-07-30T00:00:00.000Z,ETH,exit,range,range,0.5,1880.45,3.153,range-time,retq22-0008
2023-08-08T12:00:00.000Z,ETH,enter,range,range-overlay,0.5,1839.08,3.202,range-close<sma45|mom20-ok|pullback-ok|box-rebound|range-fallback,retq22-0009
2023-08-10T00:00:00.000Z,ETH,exit,range,range,0.5,1855.36,3.202,range-time,retq22-0009
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,495.03000000000003,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0010
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,495.03000000000003,sma-break,retq22-0010
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,447.33,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0011
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,447.33,trend-switch,retq22-0011
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,10.06,trend-close>sma40|mom20-ok|retq22-off,retq22-0012
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,10.06,trend-switch,retq22-0012
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,468.48,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0013
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,468.48,trend-switch,retq22-0013
2023-11-15T12:00:00.000Z,AVAX,enter,trend,strict6,1,19.64,1494.53,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0014
2023-11-26T12:00:00.000Z,AVAX,exit,trend,trend,1,21.05,1494.53,trend-switch,retq22-0014
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,15.003,trend-close>sma40|mom20-ok|retq22-off,retq22-0015
2023-12-02T00:00:00.000Z,ETH,exit,trend,trend,1,2087.24,15.003,trend-switch,retq22-0015
2023-12-02T00:00:00.000Z,SOL,enter,trend,strict6,1,59.74,521.0600000000001,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0016
2023-12-07T12:00:00.000Z,SOL,exit,trend,trend,1,64.18,521.0600000000001,trend-switch,retq22-0016
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1253.71,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0017
2023-12-24T00:00:00.000Z,AVAX,exit,trend,trend,1,48.04,1253.71,trend-switch,retq22-0017
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,25.971,trend-close>sma40|mom20-ok|retq22-off,retq22-0018
2023-12-26T12:00:00.000Z,ETH,exit,trend,trend,1,2242.6,25.971,sma-break,retq22-0018
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,538.2,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0019
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,538.2,sma-break,retq22-0019
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,21.971,trend-close>sma40|mom20-ok|retq22-off,retq22-0020
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,21.971,risk-off,retq22-0020
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,502.29,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0021
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,502.29,trend-switch,retq22-0021
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,19.659,trend-close>sma40|mom20-ok|retq22-off,retq22-0022
2024-03-04T12:00:00.000Z,ETH,exit,trend,trend,1,3506.92,19.659,trend-switch,retq22-0022
2024-03-04T12:00:00.000Z,SOL,enter,trend,strict6,1,132.59,517.16,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0023
2024-04-02T12:00:00.000Z,SOL,exit,trend,trend,1,179.87,517.16,sma-break,retq22-0023
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,520.69,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0024
2024-05-26T00:00:00.000Z,SOL,exit,trend,trend,1,168.35,520.69,trend-switch,retq22-0024
2024-05-26T00:00:00.000Z,ETH,enter,trend,strict6,1,3749.25,23.236,trend-close>sma40|mom20-ok|retq22-off,retq22-0025
2024-06-09T00:00:00.000Z,ETH,exit,trend,trend,1,3681.58,23.236,sma-break,retq22-0025
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,502.76,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0026
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,502.76,sma-break,retq22-0026
2024-08-27T12:00:00.000Z,SOL,enter,trend,strict6,1,154.26,532.42,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0027
2024-08-28T00:00:00.000Z,SOL,exit,trend,trend,1,146.78,532.42,risk-off,retq22-0027
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,29.342000000000002,trend-close>sma40|mom20-ok|retq22-off,retq22-0028
2024-09-29T12:00:00.000Z,ETH,exit,trend,trend,1,2652.49,29.342000000000002,trend-switch,retq22-0028
2024-09-29T12:00:00.000Z,SOL,enter,trend,strict6,1,156.76,493.51,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0029
2024-10-03T00:00:00.000Z,SOL,exit,trend,trend,1,140.18,493.51,sma-break,retq22-0029
2024-10-16T00:00:00.000Z,SOL,enter,trend,strict6,1,154.76,444.18,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0030
2024-11-03T12:00:00.000Z,SOL,exit,trend,trend,1,163.62,444.18,sma-break,retq22-0030
2024-11-07T00:00:00.000Z,SOL,enter,trend,strict6,1,186.59,387.22,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0031
2024-11-12T12:00:00.000Z,SOL,exit,trend,trend,1,211.12,387.22,trend-switch,retq22-0031
2024-11-12T12:00:00.000Z,AVAX,enter,trend,strict6,1,34.43,2360.9900000000002,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0032
2024-11-18T00:00:00.000Z,AVAX,exit,trend,trend,1,34.72,2360.9900000000002,trend-switch,retq22-0032
2024-11-18T00:00:00.000Z,SOL,enter,trend,strict6,1,237.47,343.13,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0033
2024-11-23T12:00:00.000Z,SOL,exit,trend,trend,1,256.13,343.13,trend-switch,retq22-0033
2024-11-23T12:00:00.000Z,AVAX,enter,trend,strict6,1,42.31,2065.2,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0034
2024-11-29T00:00:00.000Z,AVAX,exit,trend,trend,1,42.78,2065.2,trend-switch,retq22-0034
2024-11-29T00:00:00.000Z,ETH,enter,trend,strict6,1,3578.8,24.539,trend-close>sma40|mom20-ok|retq22-off,retq22-0035
2024-12-04T12:00:00.000Z,ETH,exit,trend,trend,1,3729.09,24.539,trend-switch,retq22-0035
2024-12-04T12:00:00.000Z,AVAX,enter,trend,strict6,1,53.93,1686.8500000000001,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0036
2024-12-10T00:00:00.000Z,AVAX,exit,trend,trend,1,45.02,1686.8500000000001,trend-switch,retq22-0036
2024-12-10T00:00:00.000Z,ETH,enter,trend,strict6,1,3712,20.323,trend-close>sma40|mom20-ok|retq22-off,retq22-0037
2024-12-19T00:00:00.000Z,ETH,exit,trend,trend,1,3626.8,20.323,sma-break,retq22-0037
2025-01-06T12:00:00.000Z,SOL,enter,trend,strict6,1,216.26,338.77,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0038
2025-01-08T00:00:00.000Z,SOL,exit,trend,trend,1,202.17,338.77,risk-off,retq22-0038
