ts,iso_time,equity,cash,position_symbol,position_side,position_qty,position_entry_price
1704067200000,2024-01-01T00:00:00.000Z,10000,10000,CASH,cash,0,0
1704110400000,2024-01-01T12:00:00.000Z,10000,10000,CASH,cash,0,0
1704153600000,2024-01-02T00:00:00.000Z,10000,10000,CASH,cash,0,0
1704196800000,2024-01-02T12:00:00.000Z,10000,10000,CASH,cash,0,0
1704240000000,2024-01-03T00:00:00.000Z,10000,10000,CASH,cash,0,0
1704283200000,2024-01-03T12:00:00.000Z,10000,10000,CASH,cash,0,0
1704326400000,2024-01-04T00:00:00.000Z,9980.464070360002,6491.519279720001,ETH,range,1.583,2209.72
1704369600000,2024-01-04T12:00:00.000Z,10020.472733210001,6491.519279720001,ETH,range,1.583,2209.72
1704412800000,2024-01-05T00:00:00.000Z,10070.39281234,6491.519279720001,ETH,range,1.583,2209.72
1704456000000,2024-01-05T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704499200000,2024-01-06T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704542400000,2024-01-06T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704585600000,2024-01-07T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704628800000,2024-01-07T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704672000000,2024-01-08T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704715200000,2024-01-08T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704758400000,2024-01-09T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704801600000,2024-01-09T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704844800000,2024-01-10T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704888000000,2024-01-10T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704931200000,2024-01-11T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1704974400000,2024-01-11T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705017600000,2024-01-12T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705060800000,2024-01-12T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705104000000,2024-01-13T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705147200000,2024-01-13T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705190400000,2024-01-14T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705233600000,2024-01-14T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705276800000,2024-01-15T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705320000000,2024-01-15T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705363200000,2024-01-16T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705406400000,2024-01-16T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705449600000,2024-01-17T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705492800000,2024-01-17T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705536000000,2024-01-18T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705579200000,2024-01-18T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705622400000,2024-01-19T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705665600000,2024-01-19T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705708800000,2024-01-20T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705752000000,2024-01-20T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705795200000,2024-01-21T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705838400000,2024-01-21T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705881600000,2024-01-22T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705924800000,2024-01-22T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1705968000000,2024-01-23T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706011200000,2024-01-23T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706054400000,2024-01-24T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706097600000,2024-01-24T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706140800000,2024-01-25T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706184000000,2024-01-25T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706227200000,2024-01-26T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706270400000,2024-01-26T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706313600000,2024-01-27T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706356800000,2024-01-27T12:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
1706400000000,2024-01-28T00:00:00.000Z,10029.91067419,10029.91067419,CASH,cash,0,0
