period,start_equity,end_equity,return_pct
2023-12,10000,10000,0
2024-01,10000,10000,0
2024-02,10000,10000,0
2024-03,10000,10000,0
2024-04,10000,10000,0
2024-05,10000,10000,0
2024-06,10000,10000,0
2024-07,10000,10000,0
2024-08,10000,10000,0
2024-09,10000,10000,0
2024-10,10000,10026.7417499,0.2674174990000111
2024-11,10026.7417499,10026.7417499,0
2024-12,10026.7417499,10026.7417499,0
2025-01,10026.7417499,9765.157514040002,-2.608865794938897
2025-02,9765.157514040002,9786.032990600002,0.2137751135093069
2025-03,9786.032990600002,9786.032990600002,0
2025-04,9786.032990600002,9786.032990600002,0
2025-05,9786.032990600002,9786.032990600002,0
2025-06,9786.032990600002,9425.496475160004,-3.6841947680568143
2025-07,9425.496475160004,9425.496475160004,0
2025-08,9425.496475160004,9425.496475160004,0
2025-09,9425.496475160004,9425.496475160004,0
2025-10,9425.496475160004,9425.496475160004,0
2025-11,9425.496475160004,9425.496475160004,0
2025-12,9425.496475160004,9425.496475160004,0
