trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,ETH,2024-01-09T12:00:00.000Z,2024-01-13T00:00:00.000Z,2298.77,2522.55,4.3500000000000005,973.4430000000011,62.91822600000001,910.5247740000011,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0002,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,109.71,110.32,99.44,60.658400000000256,65.6393496,-4.980949599999747,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,ETH,2024-02-17T00:00:00.000Z,2024-03-10T00:00:00.000Z,2801.81,3905.2,3.892,4294.39388,78.31104876,4216.08283124,44,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0004,trend,trend,SOL,2024-03-10T00:00:00.000Z,2024-04-02T12:00:00.000Z,144.3,179.87,104.79,3727.380299999999,101.9093229,3625.470977099999,47,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0005,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-05-31T12:00:00.000Z,177.72,168.74,105.48,-947.2103999999999,109.63380240000001,-1056.8442023999999,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0006,trend,trend,ETH,2024-05-31T12:00:00.000Z,2024-06-09T00:00:00.000Z,3802.62,3681.58,4.652,-563.078080000003,104.4494952,-667.527575200003,17,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0007,trend,trend,SOL,2024-07-20T00:00:00.000Z,2024-08-02T12:00:00.000Z,169.12,164.36,100.65,-479.0939999999973,100.694286,-579.7882859999974,27,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,ETH,2024-09-24T00:00:00.000Z,2024-09-29T12:00:00.000Z,2646.98,2652.49,6.211,34.222609999997076,98.74502451000001,-64.52241451000293,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,SOL,2024-09-29T12:00:00.000Z,2024-10-03T00:00:00.000Z,156.76,140.18,104.48,-1732.2783999999974,93.07287360000001,-1825.3512735999975,7,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,SOL,2024-10-16T00:00:00.000Z,2024-11-03T12:00:00.000Z,154.76,163.62,94.03,833.1058000000012,89.81181420000001,743.2939858000011,37,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0011,trend,trend,SOL,2024-11-07T00:00:00.000Z,2024-11-12T12:00:00.000Z,186.59,211.12,81.97,2010.7240999999976,97.80086610000001,1912.9232338999977,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0012,trend,trend,AVAX,2024-11-12T12:00:00.000Z,2024-11-18T00:00:00.000Z,34.43,34.72,499.83,144.9506999999976,103.68973349999999,41.26096649999761,11,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0013,trend,trend,SOL,2024-11-18T00:00:00.000Z,2024-11-23T12:00:00.000Z,237.47,256.13,72.64,1355.4623999999967,107.565312,1247.8970879999968,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0014,trend,trend,AVAX,2024-11-23T12:00:00.000Z,2024-11-29T00:00:00.000Z,42.31,42.78,437.21000000000004,205.48869999999806,111.60659670000003,93.88210329999804,11,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0015,trend,trend,ETH,2024-11-29T00:00:00.000Z,2024-12-04T12:00:00.000Z,3578.8,3729.09,5.195,780.7565499999982,113.89346565000001,666.8630843499982,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
