ts,iso_time,equity,cash,position_symbol,position_side,position_qty,position_entry_price
1676462400000,2023-02-15T12:00:00.000Z,10000,10000,CASH,cash,0,0
1676466000000,2023-02-15T13:00:00.000Z,10000,10000,CASH,cash,0,0
1676469600000,2023-02-15T14:00:00.000Z,10000,10000,CASH,cash,0,0
1676473200000,2023-02-15T15:00:00.000Z,10000,10000,CASH,cash,0,0
1676476800000,2023-02-15T16:00:00.000Z,10000,10000,CASH,cash,0,0
1676480400000,2023-02-15T17:00:00.000Z,10000,10000,CASH,cash,0,0
1676484000000,2023-02-15T18:00:00.000Z,10000,10000,CASH,cash,0,0
1676487600000,2023-02-15T19:00:00.000Z,10000,10000,CASH,cash,0,0
1676491200000,2023-02-15T20:00:00.000Z,10000,10000,CASH,cash,0,0
1676494800000,2023-02-15T21:00:00.000Z,10000,10000,CASH,cash,0,0
1676498400000,2023-02-15T22:00:00.000Z,10000,10000,CASH,cash,0,0
1676502000000,2023-02-15T23:00:00.000Z,10000,10000,CASH,cash,0,0
1676505600000,2023-02-16T00:00:00.000Z,10004.286937600002,-29.270217199999024,ETH,trend,5.97,1674.92
1676509200000,2023-02-16T01:00:00.000Z,10051.8441367,-29.270217199999024,ETH,trend,5.97,1674.92
1676512800000,2023-02-16T02:00:00.000Z,10045.8920467,-29.270217199999024,ETH,trend,5.97,1674.92
1676516400000,2023-02-16T03:00:00.000Z,10038.213850600001,-29.270217199999024,ETH,trend,5.97,1674.92
1676520000000,2023-02-16T04:00:00.000Z,10054.8201817,-29.270217199999024,ETH,trend,5.97,1674.92
1676523600000,2023-02-16T05:00:00.000Z,10049.1656962,-29.270217199999024,ETH,trend,5.97,1674.92
1676527200000,2023-02-16T06:00:00.000Z,9999.882391000001,-29.270217199999024,ETH,trend,5.97,1674.92
1676530800000,2023-02-16T07:00:00.000Z,9981.4904329,-29.270217199999024,ETH,trend,5.97,1674.92
1676534400000,2023-02-16T08:00:00.000Z,9983.633185300001,-29.270217199999024,ETH,trend,5.97,1674.92
1676538000000,2023-02-16T09:00:00.000Z,10017.5005774,-29.270217199999024,ETH,trend,5.97,1674.92
1676541600000,2023-02-16T10:00:00.000Z,10012.1436964,-29.270217199999024,ETH,trend,5.97,1674.92
1676545200000,2023-02-16T11:00:00.000Z,9987.025876599999,-29.270217199999024,ETH,trend,5.97,1674.92
1676548800000,2023-02-16T12:00:00.000Z,10013.6912398,-29.270217199999024,ETH,trend,5.97,1674.92
