time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-01-30T00:00:00.000Z,SOL,enter,trend,strict6,1,26.07,383.58,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-01-30T12:00:00.000Z,SOL,exit,trend,trend,1,24.01,383.58,sma-break,retq22-0001
2023-02-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1661.92,5.507,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-02-07T00:00:00.000Z,ETH,exit,trend,trend,1,1614.28,5.507,sma-break,retq22-0002
2023-02-21T00:00:00.000Z,SOL,enter,trend,strict6,1,26.26,336.47,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0003
2023-02-24T18:00:00.000Z,SOL,exit,trend,trend,1,22.86,336.47,risk-off,retq22-0003
2023-03-15T00:00:00.000Z,ETH,enter,trend,strict6,1,1699.41,4.496,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-03-20T12:00:00.000Z,ETH,exit,trend,trend,1,1779.4,4.496,trend-switch,retq22-0004
2023-03-20T12:00:00.000Z,SOL,enter,trend,strict6,1,23.33,340.97,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0005
2023-03-24T18:00:00.000Z,SOL,exit,trend,trend,1,20.42,340.97,sma-break,retq22-0005
2023-04-06T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.68,3.624,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-04-09T00:00:00.000Z,ETH,exit,trend,trend,1,1848.82,3.624,off22-strong,retq22-0006
2023-04-11T12:00:00.000Z,SOL,enter,trend,strict6,1,22.22,299.73,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0007
2023-04-19T12:00:00.000Z,SOL,exit,trend,trend,1,23.21,299.73,sma-break,retq22-0007
2023-04-30T18:00:00.000Z,SOL,enter,trend,strict6,1,23.51,294.17,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-05-01T00:00:00.000Z,SOL,exit,trend,trend,1,22.73,294.17,off22-strong,retq22-0008
2023-05-06T06:00:00.000Z,ETH,enter,trend,strict6,1,1959.94,3.39,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2023-05-06T18:00:00.000Z,ETH,exit,trend,trend,1,1882.41,3.39,risk-off,retq22-0009
2023-05-31T00:00:00.000Z,SOL,enter,trend,strict6,1,21.25,298.53000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0010
2023-06-01T06:00:00.000Z,SOL,exit,trend,trend,1,20.63,298.53000000000003,risk-off,retq22-0010
