time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,ETH,enter,trend,top2-trend,0.5,1691.62,2.955,top2-trend-ETH,retq22-0001
2023-02-19T00:00:00.000Z,SOL,enter,trend,top2-trend,0.5,23.46,106.27,top2-trend-SOL,retq22-0002
2023-02-25T00:00:00.000Z,ETH,exit,trend,top2-trend,0.5,1607.8,2.955,sma-break,retq22-0001
2023-02-25T00:00:00.000Z,SOL,exit,trend,top2-trend,0.5,23.07,106.27,sma-break,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,top2-trend,0.5,1813.16,2.665,top2-trend-ETH,retq22-0003
2023-03-18T12:00:00.000Z,SOL,enter,trend,top2-trend,0.5,22.48,107.21000000000001,top2-trend-SOL,retq22-0004
2023-03-26T00:00:00.000Z,SOL,exit,trend,top2-trend,0.5,20.4,107.21000000000001,sma-break,retq22-0004
2023-04-15T00:00:00.000Z,ETH,exit,trend,top2-trend,0.5,2099.99,2.665,top2-rebalance,retq22-0003
2023-04-15T00:00:00.000Z,SOL,enter,trend,top2-trend,0.5,24.72,205.56,top2-trend-SOL,retq22-0005
2023-04-15T00:00:00.000Z,ETH,enter,trend,top2-trend,0.5,2099.99,1.206,top2-trend-ETH,retq22-0006
2023-04-21T12:00:00.000Z,SOL,exit,trend,top2-trend,0.5,22.02,205.56,sma-break,retq22-0005
2023-04-21T12:00:00.000Z,ETH,exit,trend,top2-trend,0.5,1909.01,1.206,sma-break,retq22-0006
2023-05-29T00:00:00.000Z,ETH,enter,trend,top2-trend,0.5,1908.64,2.445,top2-trend-ETH,retq22-0007
2023-05-29T00:00:00.000Z,SOL,enter,trend,top2-trend,0.5,20.81,111.81,top2-trend-SOL,retq22-0008
2023-05-29T12:00:00.000Z,ETH,exit,trend,top2-trend,0.5,1903.26,2.445,risk-off,retq22-0007
2023-05-29T12:00:00.000Z,SOL,exit,trend,top2-trend,0.5,20.75,111.81,risk-off,retq22-0008
2023-06-25T12:00:00.000Z,ETH,enter,trend,top2-trend,0.5,1918.37,2.416,top2-trend-ETH,retq22-0009
