trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,420.34000000000003,-302.64480000000003,59.0913972,-361.73619720000005,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-03-29T12:00:00.000Z,1813.16,1811.23,5.315,-10.257949999999255,57.79089855000001,-68.04884854999926,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,DOGE,2023-03-29T12:00:00.000Z,2023-04-04T00:00:00.000Z,0.076,0.09601,125923.88,2519.7368388000014,64.98049979640001,2454.756339003601,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0004,trend,trend,ETH,2023-04-04T00:00:00.000Z,2023-04-06T00:00:00.000Z,1810.51,1908.68,6.641,651.9469700000009,74.09742237,577.8495476300009,4,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0005,trend,trend,DOGE,2023-04-06T00:00:00.000Z,2023-04-09T12:00:00.000Z,0.09268,0.08178,135982.097,-1482.2048572999993,71.17030992786002,-1553.3751672278593,7,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0006,trend,trend,ETH,2023-04-09T12:00:00.000Z,2023-04-15T00:00:00.000Z,1839.22,2099.99,6.007000000000001,1566.445389999999,70.98850340999999,1495.456886589999,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0007,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,507.47,-1370.1689999999999,71.1574434,-1441.3264433999998,13,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.817,-31.295459999999366,66.52146690000001,-97.81692689999937,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0009,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,5.737,88.5219100000013,66.29969787,22.222212130001296,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0010,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,585.03,4849.8987,80.7165891,4769.182110899999,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0011,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,8.27,-131.82380000000012,94.38319440000001,-226.20699440000013,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0012,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,24.52,23.62,635.03,-571.5269999999982,91.7110326,-663.2380325999982,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,off22-strong
retq22-0013,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-30T00:00:00.000Z,1866.63,1880.45,7.986,110.36651999999958,89.77254264,20.593977359999585,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0014,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-04T12:00:00.000Z,1839.9,1834.6,8.113,-42.99890000000232,89.4336555,-132.4325555000023,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0015,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-10T00:00:00.000Z,1839.08,1855.36,8.045,130.97260000000097,89.1653094,41.80729060000097,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0016,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,9.308,331.45787999999993,90.0172026,241.4406773999999,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0017,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,632.77,-1607.2358000000004,85.65174719999999,-1692.8875472000004,21,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0018,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-10-30T00:00:00.000Z,23.41,32.83,571.8100000000001,5386.450199999999,96.47578320000001,5289.9744168,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0019,trend,trend,DOGE,2023-10-30T00:00:00.000Z,2023-11-04T12:00:00.000Z,0.06936,0.06867,269264.918,-185.79279342000518,111.49990989462,-297.2927033146252,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0020,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,10.002,2838.967679999998,118.78835292,2720.179327079998,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0021,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,465.76,8234.636799999997,151.2974784,8083.339321599997,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0022,trend,trend,ETH,2023-11-15T12:00:00.000Z,2023-11-18T00:00:00.000Z,2013.16,1960.82,14.495000000000001,-758.6683000000012,172.80852030000003,-931.4768203000012,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0023,trend,trend,DOGE,2023-11-18T00:00:00.000Z,2023-11-22T00:00:00.000Z,0.08642,0.07175,326903.076,-4795.668124920001,155.11877859276,-4950.786903512761,8,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,sma-break
retq22-0024,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-12-02T12:00:00.000Z,2084.65,2099.15,11.177,162.06650000000081,140.2869978,21.77950220000082,12,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0025,trend,trend,DOGE,2023-12-02T12:00:00.000Z,2023-12-07T12:00:00.000Z,0.08387,0.09448,278072.689,2950.351230289998,148.78279224945,2801.5684380405482,10,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,strict-extra-trailing
