time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-03-18T12:00:00.000Z,SOL,enter,trend,strict6,1,22.48,444.83,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0001
2023-03-23T00:00:00.000Z,SOL,exit,trend,trend,1,21.41,444.83,symbol-weak-exit,retq22-0001
2023-12-07T12:00:00.000Z,SOL,enter,trend,strict6,1,64.18,147.48,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0002
2023-12-13T00:00:00.000Z,SOL,exit,trend,trend,1,68.6,147.48,symbol-weak-exit,retq22-0002
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,56.59,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0003
2024-05-26T00:00:00.000Z,SOL,exit,trend,trend,1,168.35,56.59,symbol-weak-exit,retq22-0003
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,55.99,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0004
2024-07-26T00:00:00.000Z,SOL,exit,trend,trend,1,171.86,55.99,symbol-weak-exit,retq22-0004
2025-10-03T00:00:00.000Z,SOL,enter,trend,strict6,1,234.74,40.75,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0005
2025-10-03T12:00:00.000Z,SOL,exit,trend,trend,1,230.79,40.75,symbol-weak-exit,retq22-0005
2026-03-17T00:00:00.000Z,SOL,enter,trend,strict6,1,96.19,97.18,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0006
2026-03-19T12:00:00.000Z,SOL,exit,trend,trend,1,89.62,97.18,symbol-weak-exit,retq22-0006
2026-04-08T00:00:00.000Z,SOL,enter,trend,strict6,1,85.56,101.15,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0007
2026-04-08T12:00:00.000Z,SOL,exit,trend,trend,1,84.46,101.15,symbol-weak-exit,retq22-0007
