trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,420.34000000000003,-302.64480000000003,59.0913972,-361.73619720000005,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,SOL,2023-03-18T12:00:00.000Z,2023-03-26T00:00:00.000Z,22.48,20.4,428.74,-891.7792000000009,55.15311360000001,-946.9323136000008,15,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0003,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,351.59000000000003,-949.2929999999997,49.2999498,-998.5929497999997,13,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0004,trend,trend,SOL,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,20.81,20.75,369.66,-22.179599999999482,46.08920880000001,-68.26880879999949,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,risk-off
retq22-0005,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,18.85,23.62,404.48,1929.369599999999,51.53479680000001,1877.834803199999,47,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,off22-strong
retq22-0006,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,398.75,-1012.8250000000007,53.9748,-1066.7998000000007,21,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0007,trend,trend,SOL,2023-10-19T00:00:00.000Z,2024-01-06T12:00:00.000Z,23.41,94.45,360.33,25597.8432,127.40548140000001,25470.4377186,159,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-21T12:00:00.000Z,109.71,102.73,309.05,-2157.168999999998,196.96374600000001,-2354.132745999998,20,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,SOL,2024-03-10T00:00:00.000Z,2024-04-02T12:00:00.000Z,144.3,179.87,218.65,7777.380499999996,212.63931150000002,7564.741188499996,47,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-06-03T00:00:00.000Z,177.72,163.14,220.1,-3209.0580000000045,225.06985799999998,-3434.1278580000044,27,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
