period,start_equity,end_equity,return_pct
2023-02,10000,10000,0
2023-03,10000,10000,0
2023-04,10000,10000,0
2023-05,10000,10000,0
2023-06,10000,10000,0
2023-07,10000,10000,0
2023-08,10000,10000,0
2023-09,10000,10000,0
2023-10,10000,10000,0
2023-11,10000,10000,0
2023-12,10000,10000,0
2024-01,10000,10000,0
2024-02,10000,10000,0
2024-03,10000,10000,0
2024-04,10000,10000,0
2024-05,10000,10000,0
2024-06,10000,10000,0
2024-07,10000,10109.764556800003,1.0976455680000274
2024-08,10053.1796224,9836.860133600003,-2.151751952367442
2024-09,9836.860133600003,9836.860133600003,0
2024-10,9836.860133600003,9836.860133600003,0
2024-11,9836.860133600003,9836.860133600003,0
2024-12,9836.860133600003,9836.860133600003,0
2025-01,9836.860133600003,9836.860133600003,0
2025-02,9836.860133600003,9836.860133600003,0
2025-03,9836.860133600003,9836.860133600003,0
2025-04,9836.860133600003,9836.860133600003,0
2025-05,9836.860133600003,9836.860133600003,0
2025-06,9836.860133600003,9836.860133600003,0
2025-07,9836.860133600003,9836.860133600003,0
2025-08,9836.860133600003,9836.860133600003,0
2025-09,9836.860133600003,9836.860133600003,0
2025-10,9836.860133600003,9161.257829600001,-6.868068619704482
2025-11,9161.257829600001,9161.257829600001,0
2025-12,9161.257829600001,9161.257829600001,0
2026-01,9161.257829600001,9161.257829600001,0
2026-02,9161.257829600001,9161.257829600001,0
2026-03,9161.257829600001,8285.886036800002,-9.555148529623025
2026-04,8285.886036800002,8129.967826400003,-1.8817324991862283
