trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,ETH,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,1647.43,1607.8,6.07,-240.5541000000012,59.2777383,-299.8318383000012,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-03-29T12:00:00.000Z,1813.16,1811.23,5.349,-10.323570000000473,58.16058633,-68.48415633000047,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,DOGE,2023-03-29T12:00:00.000Z,2023-04-04T00:00:00.000Z,0.076,0.09601,126732.68400000001,2535.921006839999,65.39786692452,2470.523139915479,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0004,trend,trend,ETH,2023-04-04T00:00:00.000Z,2023-04-06T00:00:00.000Z,1810.51,1908.68,6.684,656.1682799999999,74.57719788,581.5910821199999,4,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0005,trend,trend,DOGE,2023-04-06T00:00:00.000Z,2023-04-09T12:00:00.000Z,0.09268,0.08178,136855.828,-1491.7285251999983,71.62760325864001,-1563.3561284586383,7,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0006,trend,trend,ETH,2023-04-09T12:00:00.000Z,2023-04-21T12:00:00.000Z,1839.22,1909.01,6.046,421.9503399999994,67.98539574,353.9649442599994,24,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0007,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,6.011,-32.33917999999903,68.7399927,-101.07917269999903,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0008,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-10T00:00:00.000Z,1918.37,1862.81,5.928,-329.35967999999957,67.24450512,-396.60418511999956,29,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,5.746,-91.59123999999974,65.57748912000001,-157.16872911999974,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-30T00:00:00.000Z,1866.63,1880.45,5.796,80.10071999999855,65.15422704000001,14.946492959998537,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0011,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-04T12:00:00.000Z,1839.9,1834.6,5.888,-31.20640000000094,64.906368,-96.11276800000094,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0012,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-10T00:00:00.000Z,1839.08,1855.36,5.839,95.05892000000131,64.71550548,30.343414520001303,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0013,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,6.755,240.54555000000255,65.32726725,175.21828275000254,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
