period,start_equity,end_equity,return_pct
2023-02,10000,9700.1681617,-2.9983183830000093
2023-03,9700.1681617,9716.672210587241,0.17014188426554
2023-04,9671.185315645962,11474.407043206846,18.645302191073164
2023-05,11474.407043206846,11373.327870506848,-0.8809097700594459
2023-06,11373.327870506848,11249.55473452685,-1.0882754580650467
2023-07,11068.727847526852,16173.796861126857,46.1215514910384
2023-08,16173.796861126857,16075.607559006856,-0.6070887557392046
2023-09,16075.607559006856,16337.176939206858,1.6271197168747031
2023-10,16337.176939206858,20479.393030623105,25.35454018053467
2023-11,20292.09429445252,25625.286603098953,26.28211869735115
2023-12,26096.261546738955,48219.37065017263,84.77501294126255
2024-01,49547.75351017263,54250.84846737265,9.492044793180021
2024-02,54250.84846737265,72111.80224955332,32.92290219741456
2024-03,73679.09518678095,97189.24107955696,31.908841759221353
2024-04,94747.24551035697,92447.40538815697,-2.427342462371207
2024-05,92447.40538815697,82928.68209371704,-10.296366084557885
2024-06,83626.07944619705,81104.09085815704,-3.015791969133974
2024-07,81104.09085815704,78034.89156935705,-3.7842718614129023
2024-08,78034.89156935705,78034.89156935705,0
2024-09,78034.89156935705,81389.84924692764,4.299304593239195
2024-10,82666.34435297445,97460.14175575569,17.89579243956121
2024-11,96399.96647592951,312646.50148756267,224.32220976511292
2024-12,312143.2469939626,254559.31914851276,-18.447917230310484
2025-01,254559.31914851276,232180.85765214902,-8.791059612831498
2025-02,232180.85765214902,246599.274525549,6.209993803624192
2025-03,246599.274525549,246599.274525549,0
2025-04,246599.274525549,441725.7223470141,79.12693506373189
2025-05,441725.7223470141,569515.018691857,28.929557388205083
2025-06,569515.018691857,551929.0444681072,-3.0878859462115327
2025-07,551929.0444681072,843090.1209305925,52.75335287764693
2025-08,862681.8937325339,961827.0310047783,11.492664676579324
2025-09,961827.0310047783,906754.7843933784,-5.725795266313982
2025-10,906754.7843933784,904383.8394767785,-0.2614758650748228
2025-11,904383.8394767785,904383.8394767785,0
2025-12,904383.8394767785,904383.8394767785,0
2026-01,904383.8394767785,815942.5647673069,-9.779174599209817
2026-02,815942.5647673069,815942.5647673069,0
2026-03,815942.5647673069,713205.1297870871,-12.591258186110043
2026-04,713205.1297870871,767043.8453948899,7.548840208689378
