trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-21T12:00:00.000Z,1813.16,1909.01,5.515,528.6127499999984,61.58330265,467.0294473499984,68,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.484,-29.503920000001017,62.7133788,-92.21729880000102,1,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,risk-off
retq22-0003,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-06T12:00:00.000Z,1918.37,1917.66,5.408,-3.8396799999973155,62.23575072,-66.07543071999731,22,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0004,trend,trend,SOL,2023-07-06T12:00:00.000Z,2023-07-24T12:00:00.000Z,19.89,23.62,518.28,1933.1844,67.65108839999999,1865.5333116000002,36,trend-close>sma40|mom20-ok|sol-ok|accel-ok|eff-ok|retq22-off,off22-strong
retq22-0005,trend,trend,ETH,2023-10-24T12:00:00.000Z,2023-11-22T00:00:00.000Z,1845.69,1933.01,6.596,575.9627199999995,74.7729156,501.1898043999995,57,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0006,trend,trend,ETH,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,2087.24,2236.04,6.072,903.513600000002,78.75286847999999,824.7607315200021,11,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0007,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-29T00:00:00.000Z,26.52,39.8,509.05,6760.183999999999,101.280588,6658.903412,43,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,SOL,2023-12-29T12:00:00.000Z,2024-01-06T12:00:00.000Z,107.56,94.45,187.42000000000002,-2457.0761999999995,113.58214260000003,-2570.6583425999997,16,trend-close>sma40|mom20-ok|sol-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-21T12:00:00.000Z,109.71,102.73,160.31,-1118.9637999999977,102.1687692,-1221.1325691999978,20,trend-close>sma40|mom20-ok|sol-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,ETH,2024-02-22T12:00:00.000Z,2024-03-17T00:00:00.000Z,2990.8,3523.09,5.472,2912.6908799999983,106.93201824000002,2805.758861759998,47,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0011,trend,trend,SOL,2024-04-01T00:00:00.000Z,2024-04-02T12:00:00.000Z,202.45,179.87,94.7,-2138.3259999999973,108.617112,-2246.943111999997,3,trend-close>sma40|mom20-ok|sol-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0012,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-06-03T00:00:00.000Z,177.72,163.14,95.24,-1388.5992000000006,97.39051919999999,-1485.9897192000005,27,trend-close>sma40|mom20-ok|sol-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0013,trend,trend,SOL,2024-06-06T00:00:00.000Z,2024-06-08T00:00:00.000Z,173.55,162.51,88.96000000000001,-982.1184000000012,89.68769280000001,-1071.8060928000011,4,trend-close>sma40|mom20-ok|sol-ok|accel-ok|eff-ok|retq22-off,sma-break
