trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T12:00:00.000Z,23.79,22.77,420.34000000000003,-428.746799999999,58.71309120000001,-487.459891199999,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.246,1504.7101799999982,61.585154700000004,1443.1250252999982,55,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,24.72,22.19,443.19,-1121.2706999999991,62.370128699999995,-1183.640828699999,12,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0004,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.119,-27.540220000000772,58.5393483,-86.07956830000077,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0005,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,5.049,77.90606999999909,58.34881899,19.557251009999092,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0006,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,514.88,4268.355199999998,71.03799360000001,4197.317206399998,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0007,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,7.2780000000000005,-116.0113199999978,83.06177616000001,-199.07309615999782,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0008,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,24.52,23.62,558.88,-502.9920000000002,80.7134496,-583.7054496000002,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0009,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-12T12:00:00.000Z,23.83,21.51,550.5600000000001,-1277.2991999999995,74.88717120000001,-1352.1863711999995,20,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0010,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,23.41,41.52,502.68,9103.5348,97.91703720000001,9005.617762799999,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0011,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,11.305,3208.8112,134.2633803,3074.5478197,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0012,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,526.44,9307.459200000001,171.0087696,9136.450430400002,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0013,trend,trend,ETH,2023-11-15T12:00:00.000Z,2023-11-22T00:00:00.000Z,2013.16,1933.01,16.384,-1313.177599999999,193.96214784,-1507.139747839999,13,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0014,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-11-30T00:00:00.000Z,2084.65,2028.8,15.099,-843.2791500000021,186.32694465000003,-1029.6060946500022,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0015,trend,trend,ETH,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,2087.24,2236.04,14.587,2170.545600000005,189.19105608,1981.354543920005,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0016,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,1222.81,26314.8712,273.51814079999997,26041.353059200002,33,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
