time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,DOGE,enter,trend,strict6,1,0.08882,112587.255,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,retq22-0001
2023-02-22T00:00:00.000Z,DOGE,exit,trend,trend,1,0.08546,112587.255,sma-break,retq22-0001
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,401.96000000000004,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0002
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,401.96000000000004,sma-break,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.083,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-03-29T12:00:00.000Z,ETH,exit,trend,trend,1,1811.23,5.083,trend-switch,retq22-0003
2023-03-29T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.076,120419.005,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,retq22-0004
2023-03-30T18:00:00.000Z,DOGE,exit,trend,trend,1,0.07365,120419.005,sma-break,retq22-0004
2023-04-04T00:00:00.000Z,ETH,enter,trend,strict6,1,1810.51,4.868,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,4.868,trend-switch,retq22-0005
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,411.28000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0006
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,411.28000000000003,sma-break,retq22-0006
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,4.714,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,4.714,risk-off,retq22-0007
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.649,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0008
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,4.649,trend-switch,retq22-0008
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,474.13,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0009
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,474.13,trend-switch,retq22-0009
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,6.702,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0010
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,6.702,sma-break,retq22-0010
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,514.65,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0011
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,514.65,off22-strong,retq22-0011
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,506.99,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0012
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,506.99,sma-break,retq22-0012
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,458.15000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0013
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,458.15000000000003,trend-switch,retq22-0013
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,10.303,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0014
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,10.303,trend-switch,retq22-0014
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,479.8,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0015
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,479.8,trend-switch,retq22-0015
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,14.932,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0016
2023-11-22T00:00:00.000Z,ETH,exit,trend,trend,1,1933.01,14.932,sma-break,retq22-0016
