trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,420.34000000000003,-302.64480000000003,59.0913972,-361.73619720000005,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-03-29T12:00:00.000Z,1813.16,1811.23,5.315,-10.257949999999255,57.79089855000001,-68.04884854999926,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,DOGE,2023-03-29T12:00:00.000Z,2023-04-04T00:00:00.000Z,0.076,0.09601,125923.88,2519.7368388000014,64.98049979640001,2454.756339003601,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0004,trend,trend,ETH,2023-04-04T00:00:00.000Z,2023-04-15T00:00:00.000Z,1810.51,2099.99,6.641,1922.436679999999,77.9088915,1844.527788499999,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0005,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,561.0600000000001,-1514.8619999999992,78.67183320000001,-1593.5338331999992,13,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0006,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,6.431,-34.59878000000026,73.5429867,-108.14176670000026,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0007,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,6.3420000000000005,97.85706000000027,73.29138642000001,24.565673580000265,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0008,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,646.8100000000001,5362.054900000001,89.24037570000002,5272.814524300001,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,9.143,-145.73941999999806,104.34649896000002,-250.08591895999808,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,24.52,23.62,702.08,-631.8719999999994,101.3943936,-733.2663935999994,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,off22-strong
retq22-0011,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,691.64,-1756.7655999999988,93.62039039999999,-1850.3859903999987,21,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0012,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-10-30T00:00:00.000Z,23.41,32.83,625,5887.5,105.45,5782.05,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0013,trend,trend,DOGE,2023-10-30T00:00:00.000Z,2023-11-04T12:00:00.000Z,0.06936,0.06867,294312.505,-203.0756284500021,121.87186519545001,-324.94749364545214,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0014,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,10.932,3102.9388800000015,129.83346072,2973.1054192800016,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0015,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,509.08,9000.5344,165.3695472,8835.1648528,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0016,trend,trend,ETH,2023-11-15T12:00:00.000Z,2023-11-21T00:00:00.000Z,2013.16,2021.41,15.844000000000001,130.71299999999974,191.77118124000003,-61.058181240000295,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0017,trend,trend,DOGE,2023-11-21T00:00:00.000Z,2023-11-22T00:00:00.000Z,0.07768,0.07175,409832.38800000004,-2430.3060608400046,183.72376121652002,-2614.0298220565246,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,sma-break
retq22-0018,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-12-07T12:00:00.000Z,2084.65,2236.04,14.017,2122.033629999998,181.68933519,1940.344294809998,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0019,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,1175.04,25286.860799999995,262.8329472,25024.027852799994,33,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0020,trend,trend,ETH,2023-12-24T00:00:00.000Z,2023-12-26T12:00:00.000Z,2308.2,2242.6,24.341,-1596.7695999999924,332.3130684,-1929.0826683999924,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0021,trend,trend,SOL,2023-12-29T12:00:00.000Z,2024-01-06T12:00:00.000Z,107.56,94.45,504.43,-6613.077299999997,305.6997129,-6918.777012899997,16,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0022,trend,trend,ETH,2024-01-09T12:00:00.000Z,2024-01-13T00:00:00.000Z,2298.77,2522.55,20.592,4608.077760000007,297.84186432,4310.235895680007,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0023,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,109.71,110.32,470.77,287.16969999999856,310.75056929999994,-23.580869300001382,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0024,trend,trend,ETH,2024-02-17T00:00:00.000Z,2024-03-10T00:00:00.000Z,2801.81,3905.2,18.425,20329.96075,370.72997775,19959.230772249997,44,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0025,trend,trend,SOL,2024-03-10T00:00:00.000Z,2024-04-02T12:00:00.000Z,144.3,179.87,496.07,17645.2099,482.4330357,17162.7768643,47,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0026,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-05-31T12:00:00.000Z,177.72,168.74,499.36,-4484.2527999999875,519.0247968000001,-5003.277596799988,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
