period,start_equity,end_equity,return_pct
2023-02,10000,9512.540108800004,-4.874598911999961
2023-03,9512.540108800004,9506.150323420003,-0.06717223062312483
2023-04,9526.182226880004,9772.024305400004,2.5806988850823
2023-05,9772.024305400004,9685.944737100004,-0.8808775501349508
2023-06,9685.944737100004,9580.535463310005,-1.088270443937711
2023-07,9426.534855310007,13120.04064875001,39.18200961575435
2023-08,13120.04064875001,13120.04064875001,0
2023-09,13120.04064875001,13120.04064875001,0
2023-10,13120.04064875001,15998.816554779369,21.941821546899163
2023-11,15852.495904119747,22733.643903215852,43.40734759191977
2023-12,22733.643903215852,39716.387888175865,74.70313187477029
2024-01,40810.52759217587,40130.80553637588,-1.6655556688522366
2024-02,40130.80553637588,48106.228504255894,19.873568101320128
2024-03,48752.0841072559,77456.7402491959,58.87882880819819
2024-04,75512.21438019589,68956.16471119589,-8.68210490556004
2024-05,68956.16471119589,64021.960096785915,-7.1555670694209095
2024-06,64560.36318730591,62557.55828150591,-3.102220630310526
2024-07,62557.55828150591,63244.32941750591,1.0978227969026033
2024-08,62890.29072950591,61536.830328505916,-2.152097542085296
2024-09,61536.830328505916,64237.52241774623,4.388740978082617
2024-10,65031.612977746234,63430.51784224624,-2.462025870476081
2024-11,63641.166395046246,76430.92687906629,20.096678311376117
2024-12,76307.90058850628,62230.7036707663,-18.447889155871145
2025-01,62230.7036707663,58719.474143686304,-5.642278360945873
2025-02,58719.474143686304,58719.474143686304,0
2025-03,58719.474143686304,58719.474143686304,0
2025-04,58719.474143686304,59428.86095688631,1.208094628817924
2025-05,61080.12824888631,83007.60460978633,35.899525736997504
2025-06,83007.60460978633,76786.97662501632,-7.494045893762136
2025-07,76786.97662501632,94892.89756084634,23.579416369326502
2025-08,94406.71547590633,95264.12933084635,0.9082127797983341
2025-09,95264.12933084635,89095.51671834635,-6.475273175569363
2025-10,89095.51671834635,70222.42940404634,-21.182982050558895
2025-11,70222.42940404634,70222.42940404634,0
2025-12,70222.42940404634,70222.42940404634,0
2026-01,70222.42940404634,69660.44346844636,-0.8002940661115843
2026-02,69660.44346844636,69660.44346844636,0
2026-03,69660.44346844636,61328.90104699639,-11.960220186114457
2026-04,61328.90104699639,66607.6348837364,8.60725326334304
