trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T12:00:00.000Z,23.79,22.77,420.34000000000003,-428.746799999999,58.71309120000001,-487.459891199999,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.246,1504.7101799999982,61.585154700000004,1443.1250252999982,55,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,24.72,22.19,443.19,-1121.2706999999991,62.370128699999995,-1183.640828699999,12,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0004,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.119,-27.540220000000772,58.5393483,-86.07956830000077,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0005,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,5.049,77.90606999999909,58.34881899,19.557251009999092,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0006,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,514.88,4268.355199999998,71.03799360000001,4197.317206399998,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0007,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,7.2780000000000005,-116.0113199999978,83.06177616000001,-199.07309615999782,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
retq22-0008,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,24.52,23.62,558.88,-502.9920000000002,80.7134496,-583.7054496000002,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0009,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-12T12:00:00.000Z,23.83,21.51,550.5600000000001,-1277.2991999999995,74.88717120000001,-1352.1863711999995,20,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma40-break
retq22-0010,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-10-30T00:00:00.000Z,23.41,32.83,502.68,4735.245599999997,84.8121696,4650.433430399997,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0011,trend,trend,DOGE,2023-10-30T00:00:00.000Z,2023-11-04T12:00:00.000Z,0.06936,0.06867,236711.18300000002,-163.3307162700039,98.01973376847002,-261.3504500384739,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0012,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,8.792,2495.521279999999,104.41783631999999,2391.103443679999,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0013,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,409.44,7238.8992,133.0024896,7105.8967104,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0014,trend,trend,ETH,2023-11-15T12:00:00.000Z,2023-11-21T00:00:00.000Z,2013.16,2021.41,12.743,105.12975000000006,154.23757653,-49.107826529999954,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0015,trend,trend,DOGE,2023-11-21T00:00:00.000Z,2023-11-22T00:00:00.000Z,0.07768,0.07175,329619.33,-1954.6426269000003,147.76504944570001,-2102.4076763457006,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,sma40-break
retq22-0016,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-11-30T00:00:00.000Z,2084.65,2028.8,11.274000000000001,-629.652900000001,139.1251059,-768.778005900001,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma40-break
